,X,Y,name,qs_id,gn_id,woe_id,gn_pop,placetype,gn_fcode,name_adm1,gn_country,woe_adm0,name_adm0,photos,photos_all,photos_1k,photos_9k,photos_sr,photos_9r,pop_sr,aaroncc,actionplan,_placetype,_newplan,wof_id,_joinme,_joinme2
45000,78.7467,27.89012,Soron,131189,1255704.0,,28683.0,,PPL,,IN,,,,,,,0,0,7,IN,10.0,locality,import,,,
45001,75.84833,12.59479,Somvārpet,131191,1255811.0,,7227.0,,PPL,,IN,,,,,,,0,0,5,IN,10.0,locality,import,,,
45002,84.58449,18.94419,Sompeta,131192,1255816.0,,17982.0,,PPL,,IN,,,,,,,0,0,6,IN,10.0,locality,import,,,
45003,79.42025,13.1181,Sholingur,131237,1256435.0,2294173.0,28645.0,Town,PPL,Tamil Nadu,IN,23424848.0,India,,21.0,,1.0,0,1,7,IN,10.0,locality,import,,,
45004,76.35337,9.68428,Shertalai,131239,1256558.0,56123371.0,45474.0,Town,PPL,Kerala,IN,23424848.0,India,,,,,0,0,7,IN,10.0,locality,import,,,
45005,78.44708,9.16931,Sāyalkudi,131248,1256934.0,,12415.0,,PPL,,IN,,,,,,,0,0,6,IN,10.0,locality,import,,,
45006,75.33724,14.97335,Savanūr,131249,1256967.0,,37819.0,,PPL,,IN,,,,,,,0,0,7,IN,10.0,locality,import,,,
45007,73.82191,15.90412,Sāvantvādi,131250,1256968.0,,23384.0,,PPL,,IN,,,,,,,0,0,7,IN,10.0,locality,import,,,
45008,79.48785,27.02965,Saurikh,131251,1256976.0,,12055.0,,PPL,,IN,,,,,,,0,0,6,IN,10.0,locality,import,,,
45009,93.72225,26.62248,Numāligarh,131481,1261142.0,,7386.0,,PPL,,IN,,,,,,,0,0,5,IN,10.0,locality,import,,,
45010,74.491,28.44062,Sardarshahar,131263,1257198.0,2294987.0,86672.0,Town,PPL,Rajasthan,IN,23424848.0,India,,7.0,,1.0,0,1,8,IN,10.0,locality,import,,,
45011,79.0914,28.4929,Sandauli,131264,1257219.0,29096393.0,20923.0,Town,PPL,Uttar Pradesh,IN,23424848.0,India,,,,,0,0,7,IN,10.0,locality,import,,,
45012,83.00548,21.31506,Saraipali,131265,1257259.0,29180298.0,18394.0,Town,PPL,Chhattisgarh,IN,23424848.0,India,,,,,0,0,6,IN,10.0,locality,import,,,
45013,81.5113,25.37841,Sarāi Ākil,131267,1257268.0,,17443.0,,PPL,,IN,,,,,,,0,0,6,IN,10.0,locality,import,,,
45014,77.79395,31.50988,Sarāhan,131268,1257277.0,,1495.0,,PPL,,IN,,,,,,,0,0,3,IN,10.0,locality,import,,,
45015,88.22515,22.54997,Sānkrāil,131270,1257354.0,,27523.0,,PPL,,IN,,,,,,,0,0,7,IN,10.0,locality,import,,,
45016,75.8899,12.72811,Sanivārsante,131271,1257390.0,,4432.0,,PPL,,IN,,,,,,,0,0,4,IN,10.0,locality,import,,,
45017,75.19379,17.43948,Sāngola,131272,1257409.0,,31279.0,,PPL,,IN,,,,,,,0,0,7,IN,10.0,locality,import,,,
