X,Y,name,qs_id,gn_id,woe_id,gn_pop,placetype,gn_fcode,name_adm1,gn_country,woe_adm0,name_adm0,photos,photos_all,photos_1k,photos_9k,photos_sr,photos_9r,pop_sr,aaroncc,actionplan,_placetype,_newplan,wof_id
-72.63808,7.43637,Pamplonita,266520,3673041,368545,941,Town,PPL,Norte de Santander,CO,23424787,Colombia,34,34,7,1,2,2,2,CO,2,locality,import,
-78.6,-0.75,Lasso,266531,3654879,376109,0,Town,PPL,Cotopaxi,EC,23424801,Ecuador,56,56,11,1,2,2,0,EC,2,locality,import,
-77.00052,-12.04692,El Agustino,266535,3941417,402306,0,Town,PPL,Lima Metropolitan Area,PE,23424919,Perú,47,47,10,1,2,2,0,PE,2,locality,import,
-74.87695,-13.21423,Ayacucho,266537,3932785,418449,0,Town,PPL,Ayacucho,PE,23424919,Perú,45,45,9,1,2,2,0,PE,2,locality,import,
-65.62385,-33.05258,La Toma,266566,3847482,332608,6663,Town,PPL,San Luis,AR,23424747,Argentina,,63,,1,0,2,7,AR,2,locality,import,
-67.54956,-33.46091,La Paz,266567,3849516,332492,0,Town,PPL,Mendoza,AR,23424747,Argentina,,2,,1,0,1,4,AR,2,locality,import,
170.02358,9.5134,Wotje Atoll,571845,2079842,,866,,ATOL,,MH,,,,,,,0,0,2,MH,3,locality_funky,import,
165.98299,10.10315,Wotho Atoll,571846,2079845,,145,,ATOL,,MH,,,,,,,0,0,1,MH,3,locality_funky,import,
169.80417,11.26832,Utrik Atoll,571847,2079871,,433,,ATOL,,MH,,,,,,,0,0,2,MH,3,locality_funky,import,
165.62525,9.08735,Ujae Atoll,571848,2079889,,440,,ATOL,,MH,,,,,,,0,0,2,MH,3,locality_funky,import,
166.8304,11.33363,Rongelap Atoll,571849,2079981,,19,,ATOL,,MH,,,,,,,0,0,1,MH,3,locality_funky,import,
168.17064,7.99974,Namu Atoll,571850,2080100,,903,,ATOL,,MH,,,,,,,0,0,2,MH,3,locality_funky,import,
168.11773,5.59997,Namdrik Atoll,571851,2080105,,772,,ATOL,,MH,,,,,,,0,0,2,MH,3,locality_funky,import,
171.92471,6.13373,Mili Atoll,571853,2080153,,1032,,ATOL,,MH,,,,,,,0,0,3,MH,3,locality_funky,import,
170.86946,10.27641,Mejit Island,571854,2080167,,416,,ISL,,MH,,,,,,,0,0,2,MH,3,locality_funky,import,
171.03928,8.75242,Maloelap Atoll,571856,2080201,,856,,ATOL,,MH,,,,,,,0,0,2,MH,3,locality_funky,import,
171.2,7.148,Majuro Atoll,571857,2080205,,23676,,ATOL,,MH,,,,,,,0,0,7,MH,3,locality_funky,import,
169.14345,9.88498,Likiep Atoll,571858,2080251,,527,,ATOL,,MH,,,,,,,0,0,2,MH,3,locality_funky,import,
167.3786,8.31444,Lib Island,571859,2080256,,147,,ISL,,MH,,,,,,,0,0,1,MH,3,locality_funky,import,
166.23181,8.93408,Lae Atoll,571860,2080274,,322,,ATOL,,MH,,,,,,,0,0,2,MH,3,locality_funky,import,
167.309,9.182,Kwajalein Atoll,571861,2080283,,10902,,ATOL,,MH,,,,,,,0,0,6,MH,3,locality_funky,import,
169.12791,5.64716,Kili Island,571862,2080312,,774,,ISL,,MH,,,,,,,0,0,2,MH,3,locality_funky,import,
169.58453,5.99994,Jaluit Atoll,571863,2080409,,1669,,ATOL,,MH,,,,,,,0,0,3,MH,3,locality_funky,import,
168.97698,7.75254,Jabat Island,571864,2080416,,95,,ISL,,MH,,,,,,,0,0,1,MH,3,locality_funky,import,
162.25365,11.49954,Enewetak Atoll,571866,2080551,,853,,ATOL,,MH,,,,,,,0,0,2,MH,3,locality_funky,import,
169.92725,10.28553,Ailuk Atoll,571872,2081087,,513,,ATOL,,MH,,,,,,,0,0,2,MH,3,locality_funky,import,
168.77403,7.38085,Ailinglaplap Atoll,571873,2081089,,1959,,ATOL,,MH,,,,,,,0,0,3,MH,3,locality_funky,import,
162.982,5.325,Kosrae,571874,2081155,,7686,,ISL,,FM,,,,,,,0,0,5,FM,3,locality_funky,import,
151.882,7.44,Weno Island,571875,2081240,,13802,,ISL,,FM,,,,,,,0,0,6,FM,3,locality_funky,import,
150.34,8.75,Unanu,571876,2081289,,178,,ISL,,FM,,,,,,,0,0,1,FM,3,locality_funky,import,
151.5845,7.337,Polle Island,571888,2081545,,1851,,ISL,,FM,,,,,,,0,0,3,FM,3,locality_funky,import,
151.7636,7.678,Piis Island,571889,2081598,,523,,ISL,,FM,,,,,,,0,0,2,FM,3,locality_funky,import,
150.4185,8.569,Pisaras,571890,2081600,,245,,ISL,,FM,,,,,,,0,0,2,FM,3,locality_funky,import,
151.7895,7.362,Parem Island,571891,2081639,,385,,ISL,,FM,,,,,,,0,0,2,FM,3,locality_funky,import,
151.5835,7.376,Paata Island,571892,2081660,,1950,,ISL,,FM,,,,,,,0,0,3,FM,3,locality_funky,import,
151.7394,7.3854,Eot Island,571893,2081663,,382,,ISL,,FM,,,,,,,0,0,2,FM,3,locality_funky,import,
154.931,3.841,Nukuoro Atoll,571896,2081720,,362,,ATOL,,FM,,,,,,,0,0,2,FM,3,locality_funky,import,
157.281,5.815,Sapwuafik Atoll,571898,2081765,,640,,ATOL,,FM,,,,,,,0,0,2,FM,3,locality_funky,import,
152.5745,6.993,Nema Island,571899,2081809,,995,,ISL,,FM,,,,,,,0,0,2,FM,3,locality_funky,import,
150.0,8.725,Namonuito Atoll,571900,2081848,,1341,,ATOL,,FM,,,,,,,0,0,3,FM,3,locality_funky,import,
153.137,5.915,Namoluk Atoll,571901,2081850,,407,,ATOL,,FM,,,,,,,0,0,2,FM,3,locality_funky,import,
152.3425,8.692,Murilo,571902,2081881,,607,,ISL,,FM,,,,,,,0,0,2,FM,3,locality_funky,import,
159.758,6.688,Mokil Atoll,571903,2081900,,177,,ATOL,,FM,,,,,,,0,0,1,FM,3,locality_funky,import,
150.1265,8.985,Makur Islands,571905,2081967,,156,,ISLS,,FM,,,,,,,0,0,1,FM,3,locality_funky,import,
175.01169,-1.44484,Tewai Village,571989,2110035,,331,,PPL,,KI,,,,,,,0,0,2,KI,3,locality,import,
175.99926,-1.34313,Teteirio Village,571990,2110039,,74,,PPL,,KI,,,,,,,0,0,1,KI,3,locality,import,
173.25847,2.03535,Temotu Village,571991,2110041,,116,,PPL,,KI,,,,,,,0,0,1,KI,3,locality,import,
174.45381,-0.80552,Temotu Village,571992,2110042,,210,,PPL,,KI,,,,,,,0,0,2,KI,3,locality,import,
172.94588,1.91657,Tebunginako Village,571993,2110060,,358,,PPL,,KI,,,,,,,0,0,2,KI,3,locality,import,
173.00392,1.00789,Tebikerai Village,571994,2110063,,75,,PPL,,KI,,,,,,,0,0,1,KI,3,locality,import,
173.00624,1.71546,Tebanga Village,571995,2110067,,287,,PPL,,KI,,,,,,,0,0,2,KI,3,locality,import,
173.93529,0.35739,Tebanga Village,571996,2110068,,246,,PPL,,KI,,,,,,,0,0,2,KI,3,locality,import,
172.96973,1.59039,Tearinibai Village,571997,2110069,,317,,PPL,,KI,,,,,,,0,0,2,KI,3,locality,import,
173.01162,1.33309,Teaoraereke Village,571998,2110070,,3939,,PPL,,KI,,,,,,,0,0,4,KI,3,locality,import,
172.99183,1.5488,Taratai Village,571999,2110076,,203,,PPL,,KI,,,,,,,0,0,2,KI,3,locality,import,
174.3783,-0.59909,Temanoku Village,572000,2110078,,289,,PPL,,KI,,,,,,,0,0,2,KI,3,locality,import,
173.91151,0.42351,Tabontebike Village,572001,2110082,,305,,PPL,,KI,,,,,,,0,0,2,KI,3,locality,import,
172.87764,3.10106,Tanimaiaki Village,572002,2110083,,250,,PPL,,KI,,,,,,,0,0,2,KI,3,locality,import,
173.29218,1.9998,Norauea Village,572022,2110125,,311,,PPL,,KI,,,,,,,0,0,2,KI,3,locality,import,
175.99223,-1.32041,Rongorongo Village,572023,2110126,,315,,PPL,,KI,,,,,,,0,0,2,KI,3,locality,import,
174.24865,-0.54652,Abamakoro Village,572024,2110133,,210,,PPL,,KI,,,,,,,0,0,2,KI,3,locality,import,
169.52233,-0.85414,Tabewa Village,572025,2110135,,58,,PPL,,KI,,,,,,,0,0,1,KI,3,locality,import,
169.54192,-0.87054,Umwa Village,572026,2110141,,135,,PPL,,KI,,,,,,,0,0,1,KI,3,locality,import,
174.66317,-1.11824,Tekabwibwi Village,572027,2110147,,145,,PPL,,KI,,,,,,,0,0,1,KI,3,locality,import,
175.99513,-1.33045,Nuka Village,572028,2110150,,348,,PPL,,KI,,,,,,,0,0,2,KI,3,locality,import,
172.97581,1.56146,Nuatabu Village,572029,2110151,,199,,PPL,,KI,,,,,,,0,0,1,KI,3,locality,import,
175.06819,-1.48223,Nikutoru Village,572030,2110157,,168,,PPL,,KI,,,,,,,0,0,1,KI,3,locality,import,
173.91988,0.40456,Kariatebike Village,572042,2110205,,140,,PPL,,KI,,,,,,,0,0,1,KI,3,locality,import,
174.35091,-0.58113,Teuabu Village,572043,2110206,,304,,PPL,,KI,,,,,,,0,0,2,KI,3,locality,import,
173.92941,0.31373,Kabangaki Village,572044,2110208,,363,,PPL,,KI,,,,,,,0,0,2,KI,3,locality,import,
174.72788,-1.178,Eita Village,572047,2110221,,814,,PPL,,KI,,,,,,,0,0,2,KI,3,locality,import,
173.26007,2.01543,Buota Village,572048,2110228,,259,,PPL,,KI,,,,,,,0,0,2,KI,3,locality,import,
173.13082,1.39078,Buota Village,572049,2110229,,1373,,PPL,,KI,,,,,,,0,0,3,KI,3,locality,import,
172.95526,1.60909,Buariki Village,572050,2110230,,597,,PPL,,KI,,,,,,,0,0,2,KI,3,locality,import,
175.05641,-1.47793,Buariki Village,572051,2110231,,447,,PPL,,KI,,,,,,,0,0,2,KI,3,locality,import,
172.97102,1.89521,Borotiam Village,572052,2110235,,338,,PPL,,KI,,,,,,,0,0,2,KI,3,locality,import,
173.91622,0.40868,Binoinano,572053,2110239,,369,,PPLX,,KI,,,,,,,0,0,2,KI,3,neighbourhood,import,
172.92105,1.35797,Betio Village,572054,2110248,,12509,,PPL,,KI,,,,,,,0,0,6,KI,3,locality,import,
175.98072,-1.32957,Beru Island,572055,2110250,,2169,,ATOL,,KI,,,,,,,0,0,4,KI,3,locality_funky,import,
173.90597,0.43012,Baretoa Village,572056,2110253,,310,,PPL,,KI,,,,,,,0,0,2,KI,3,locality,import,
173.03464,1.3454,Banraeaba Village,572057,2110254,,1789,,PPL,,KI,,,,,,,0,0,3,KI,3,locality,import,
174.43715,-0.65078,Autukia Village,572058,2110260,,163,,PPL,,KI,,,,,,,0,0,1,KI,3,locality,import,
175.97009,-1.29682,Autokia Village,572059,2110262,,204,,PPL,,KI,,,,,,,0,0,2,KI,3,locality,import,
172.98506,1.87901,Aonobuaka Village,572060,2110273,,372,,PPL,,KI,,,,,,,0,0,2,KI,3,locality,import,
176.31472,-6.28764,Toga Village,572069,2110302,,308,,PPL,,TV,,,,,,,0,0,2,TV,3,locality,import,
177.14511,-7.24562,Tanrake Village,572070,2110322,,408,,PPL,,TV,,,,,,,0,0,2,TV,3,locality,import,
179.83864,-9.38166,Nukulaelae Island,572071,2110337,,393,,ATOL,,TV,,,,,,,0,0,2,TV,3,locality_funky,import,
178.36667,-8.0,Nukufetau Island,572072,2110338,,586,,ATOL,,TV,,,,,,,0,0,2,TV,3,locality_funky,import,
167.41636,-16.09992,Lakatoro,572777,2136697,,705,,PPLA,,VU,,,,,,,0,0,2,VU,3,locality,import,
166.4572,-22.27631,Nouméa,572771,2139521,,93060,,PPLC,,NC,,,,,,,0,0,8,NC,3,locality,import,
165.85,-21.65,Sarraméa,572783,2138356,,623,,PPL,,NC,,,,,,,0,0,2,NC,3,locality,import,
166.58333,-22.28333,Mont-Dore,572786,2140066,,24680,,PPL,,NC,,,,,,,0,0,7,NC,3,locality,import,
