71.618328,22.695753,Surendranagar Dudhrej,43943,,2295080,,Town,,Gujarat,,23424848,India,62,62,13,1,2,2,0,IN,9,locality,import,
76.622943,11.3250445,Emerald,44261,,29214479,,Town,,Tamil Nadu,,23424848,India,38,38,8,1,2,2,0,IN,9,locality,import,
85.402908,22.773649,Pashchimi Singhbhum,44569,,12586399,,County,,Jharkhand,,23424848,India,1,1,1,1,1,1,0,IN,9,county,import,
81.373841,26.258891,Jamalpur Rampur,66577,,29103814,,Town,,Uttar Pradesh,,23424848,India,5,5,1,1,1,1,0,IN,9,locality,import,
71.993064,21.745309,Rajpara,66601,,29185723,,Town,,Gujarat,,23424848,India,11,11,2,1,1,1,0,IN,9,locality,import,
72.622897,22.610549,Marala,66602,,29186522,,Town,,Gujarat,,23424848,India,23,23,5,1,1,1,0,IN,9,locality,import,
73.182887,22.1430325,Por,66603,,29187734,,Town,,Gujarat,,23424848,India,4,4,1,1,1,1,0,IN,9,locality,import,
72.588214,23.028792,Mirzapur,66648,,29229209,,Suburb,,Gujarat,,23424848,India,15,15,3,1,1,1,0,IN,9,neighbourhood,import,
77.160415,9.540489,Vallakadavu Town,69877,,55923792,,Town,,Kerala,,23424848,India,96,96,19,1,3,3,0,IN,9,locality,import,
74.8629,12.8108,Ullal,279476,1253888,2294213,59116,Town,PPL,Karnataka,IN,23424848,India,86,86,17,1,3,3,8,IN,10,locality,import,
76.05,10.53333,Chavakkad,279477,1274468,2294563,38011,Town,PPL,Kerala,IN,23424848,India,98,175,20,1,3,4,7,IN,10,locality,import,
77.14673,12.15496,Paduvarahalli,74564,1264519,55954177,0,Suburb,PPL,Karnataka,IN,23424848,India,2,2,1,1,1,1,0,IN,10,neighbourhood,import,
78.3784555,30.738294,Matali,461580,,29131283,,Town,,Uttarakhand,,23424848,India,30,30,6,1,2,2,0,IN,9,locality,import,
73.745899,18.67308,Dehu Cantt,115965,,28999170,,Town,,Maharashtra,,23424848,India,45,45,9,1,2,2,0,IN,9,locality,import,
86.37609,23.77574,Kenduadih,464432,1267280,2279845,9032,Town,PPL,Jharkhand,IN,23424848,India,,,,,0,0,5,IN,10,locality,import,
87.304476,22.314269,Paschimpathri,119710,,29012981,,Town,,West Bengal,,23424848,India,131,131,27,1,3,3,0,IN,9,locality,import,
80.58094,22.427849,Aurai,120874,,29029383,,Town,,Madhya Pradesh,,23424848,India,119,119,24,1,3,3,0,IN,9,locality,import,
77.338256,28.5760605,Gadarpur,124706,,29216499,,Suburb,,Uttar Pradesh,,23424848,India,1,1,1,1,1,1,0,IN,9,neighbourhood,import,
77.224541,28.568042,Wazir Nagar,124709,,29216118,,Suburb,,Delhi,,23424848,India,24,24,5,1,1,1,0,IN,9,neighbourhood,import,
77.304529,28.487855,Katan Pahari,124710,,29216170,,Suburb,,Haryana,,23424848,India,5,5,1,1,1,1,0,IN,9,neighbourhood,import,
77.3330725,28.5893315,Sector 10,124713,,29216503,,Suburb,,Uttar Pradesh,,23424848,India,4,4,1,1,1,1,0,IN,9,neighbourhood,import,
77.32933,28.582185,Sector 20,124714,,29216512,,Suburb,,Uttar Pradesh,,23424848,India,13,13,3,1,1,1,0,IN,9,neighbourhood,import,
77.326755,28.577677,Sector 27,124715,,29216521,,Suburb,,Uttar Pradesh,,23424848,India,14,14,3,1,1,1,0,IN,9,neighbourhood,import,
81.39085,23.68582,Jaisinghnagar,466023,1269503,2289368,7600,Town,PPL,Madhya Pradesh,IN,23424848,India,,,,,0,0,5,IN,10,locality,import,
79.65497,27.72664,Jalalabad,466139,1269447,2291248,35051,Town,PPL,Uttar Pradesh,IN,23424848,India,,,,,0,0,7,IN,10,locality,import,
73.088092,17.846069,Anjarla,125985,,2273148,,Town,,Maharashtra,,23424848,India,15,15,3,1,1,1,0,IN,9,locality,import,
77.199125,28.531078,Navjivan Vihar,128265,,29215393,,Suburb,,Delhi,,23424848,India,30,30,6,1,2,2,0,IN,9,neighbourhood,import,
77.186508,28.493861,Rajpur Khurd,128270,,29215960,,Suburb,,Delhi,,23424848,India,30,30,6,1,2,2,0,IN,9,neighbourhood,import,
73.56299,22.69021,Velpura,131076,1253315,29187265,121610,Town,PPL,Gujarat,IN,23424848,India,,,,,0,0,9,IN,10,locality,import,
77.41132,9.23921,Vasudevanallur,131077,1253357,2294705,19021,Town,PPL,Tamil Nadu,IN,23424848,India,,1,,1,0,1,6,IN,10,locality,import,
74.7275,19.92672,Vaipur,131083,1253545,29030712,40043,Town,PPL,Maharashtra,IN,23424848,India,,,,,0,0,7,IN,10,locality,import,
77.96113,10.08481,Vadipatti,131084,1253579,2294606,22441,Town,PPL,Tamil Nadu,IN,23424848,India,59,59,12,1,2,2,7,IN,10,locality,import,
77.32718,9.80701,Uthamapalayam,131085,1253635,2294653,22778,Town,PPL,Tamil Nadu,IN,23424848,India,,1,,1,0,1,7,IN,10,locality,import,
74.04775,34.08711,Uri,131086,1253694,2290362,6755,Town,PPL,Jammu and Kashmir,IN,23424848,India,,2,,1,0,1,5,IN,10,locality,import,
73.11561,22.69881,Umreth,131102,1253805,2291780,32802,Town,PPL,Gujarat,IN,23424848,India,,2,,1,0,1,7,IN,10,locality,import,
75.97514,24.73355,Budhpura,131118,1253947,29000300,10014,Town,PPL,Rajasthan,IN,23424848,India,,2,,1,0,1,6,IN,10,locality,import,
79.01774,9.74172,Thondi,131132,1254249,2294657,16468,Town,PPL,Tamil Nadu,IN,23424848,India,,2,,1,0,1,6,IN,10,locality,import,
79.45227,10.99857,Thiruvidaimarudur,131133,1254321,2294486,14183,Town,PPL,Tamil Nadu,IN,23424848,India,,1,,1,0,1,6,IN,10,locality,import,
79.90889,13.14376,Tiruvallur,131135,1254331,2287533,48095,Town,PPL,Tamil Nadu,IN,23424848,India,59,1296,12,6,2,7,7,IN,10,locality,import,
77.83333,9.48333,Kiltiruthangal,131138,1254343,29084424,54499,Town,PPL,Tamil Nadu,IN,23424848,India,,,,,0,0,8,IN,10,locality,import,
76.90232,12.21227,Tirumakudal - Narsipur,131141,1254374,2287505,9890,Town,PPL,Karnataka,IN,23424848,India,,7,,1,0,1,5,IN,10,locality,import,
79.71906,21.68522,Tarodi,131149,1254400,29033605,8870,Town,PPL,Maharashtra,IN,23424848,India,,1,,1,0,1,5,IN,10,locality,import,
