,X,Y,name,qs_id,gn_id,woe_id,gn_pop,placetype,gn_fcode,name_adm1,gn_country,woe_adm0,name_adm0,photos,photos_all,photos_1k,photos_9k,photos_sr,photos_9r,pop_sr,aaroncc,actionplan,_placetype,_newplan,wof_id
65000,78.434577,17.461797,Lingampally,127973,,55924467.0,,Suburb,,Andhra Pradesh,,23424848.0,India,1.0,1.0,1.0,1.0,1,1,0,IN,9.0,neighbourhood,import,
65001,78.434577,17.461797,Himayath Nagar,127974,,55924469.0,,Suburb,,Andhra Pradesh,,23424848.0,India,1.0,1.0,1.0,1.0,1,1,0,IN,9.0,neighbourhood,import,
65002,72.8851,19.07777,Kurla West,128035,,55925557.0,,Suburb,,Maharashtra,,23424848.0,India,6.0,6.0,1.0,1.0,1,1,0,IN,9.0,neighbourhood,import,
65003,76.95308,8.489255,Thampanoor,128215,,55954384.0,,Suburb,,Kerala,,23424848.0,India,21.0,21.0,4.0,1.0,1,1,0,IN,9.0,neighbourhood,import,
65004,77.21024,28.636497,Palika Niketan,131097,,29216034.0,,Suburb,,Delhi,,23424848.0,India,43.0,43.0,9.0,1.0,2,2,0,IN,9.0,neighbourhood,import,
65005,75.80715,30.1297,Sunām,131170,1255449.0,,53647.0,,PPL,,IN,,,,,,,0,0,8,IN,10.0,locality,import,
65006,92.66876,26.83772,Rangāpāra,131313,1258501.0,,18739.0,,PPL,,IN,,,,,,,0,0,6,IN,10.0,locality,import,
65007,79.43378,12.57021,Peranamallūr,131393,1259893.0,,5723.0,,PPL,,IN,,,,,,,0,0,5,IN,10.0,locality,import,
65008,78.26569,15.85668,Nandi Kotkur,131535,1261957.0,2293489.0,45343.0,Town,PPL,Andhra Pradesh,IN,23424848.0,India,,1.0,,1.0,0,1,7,IN,10.0,locality,import,
65009,74.65733,20.30713,Nandgaon,131536,1261971.0,2291996.0,24209.0,Town,PPL,Maharashtra,IN,23424848.0,India,,,,,0,0,7,IN,10.0,locality,import,
65010,81.77707,24.78778,Naigarhī,131543,1262134.0,,9391.0,,PPL,,IN,,,,,,,0,0,5,IN,10.0,locality,import,
65011,77.34484,20.31186,Mangrūl Pīr,131618,1263744.0,,29198.0,,PPL,,IN,,,,,,,0,0,7,IN,10.0,locality,import,
65012,84.14934,26.235,Miwa,131640,1264282.0,29121185.0,20163.0,Town,PPL,Uttar Pradesh,IN,23424848.0,India,,,,,0,0,7,IN,10.0,locality,import,
65013,76.38441,14.90467,Kūdligi,131702,1265795.0,,22975.0,,PPL,,IN,,,,,,,0,0,7,IN,10.0,locality,import,
65014,77.54116,31.11745,Kot Khāi,131719,1265972.0,,1253.0,,PPL,,IN,,,,,,,0,0,3,IN,10.0,locality,import,
65015,77.5028,10.59358,Kīranūr,131765,1266512.0,,6487.0,,PPL,,IN,,,,,,,0,0,5,IN,10.0,locality,import,
65016,81.90606,25.43806,Jhūsi,131882,1268929.0,,16642.0,,PPL,,IN,,,,,,,0,0,6,IN,10.0,locality,import,
65017,88.18982,26.26541,Islāmpur,131944,1269665.0,,55691.0,,PPL,,IN,,,,,,,0,0,8,IN,10.0,locality,import,
65018,79.50829,26.80172,Bidhūna,132294,1275732.0,,27158.0,,PPL,,IN,,,,,,,0,0,7,IN,10.0,locality,import,
65019,78.59443,26.86991,Bah,132500,1277841.0,2291308.0,15359.0,Town,PPL,Uttar Pradesh,IN,23424848.0,India,,,,,0,0,6,IN,10.0,locality,import,
65020,76.22496,19.37648,Āshti,132524,1278290.0,,13084.0,,PPL,,IN,,,,,,,0,0,6,IN,10.0,locality,import,
65021,76.38616,18.73312,Ambājogāi,132557,1278862.0,,74114.0,,PPL,,IN,,,,,,,0,0,8,IN,10.0,locality,import,
65022,75.65614,31.43161,Alawalpur,132574,1279050.0,29057152.0,7410.0,Town,PPL,Punjab,IN,23424848.0,India,,,,,0,0,5,IN,10.0,locality,import,
65023,79.17045,27.49435,Alīganj,132573,1279023.0,,26652.0,,PPL,,IN,,,,,,,0,0,7,IN,10.0,locality,import,
65024,88.407669,26.74423,Udaysing,134141,,29000604.0,,Town,,West Bengal,,23424848.0,India,9.0,9.0,2.0,1.0,1,1,0,IN,9.0,locality,import,
65025,88.3970685,26.636315,Narayan,134142,,29000685.0,,Town,,West Bengal,,23424848.0,India,8.0,8.0,2.0,1.0,1,1,0,IN,9.0,locality,import,
65026,88.760776,26.724146,Lataguri,134143,,29000790.0,,Town,,West Bengal,,23424848.0,India,25.0,25.0,5.0,1.0,1,1,0,IN,9.0,locality,import,
65027,87.446365,23.4582855,Ijjatganj,134145,,29006063.0,,Town,,West Bengal,,23424848.0,India,6.0,6.0,1.0,1.0,1,1,0,IN,9.0,locality,import,
65028,73.241386,17.2152475,Kharviwada,134174,,29046957.0,,Town,,Maharashtra,IN,23424848.0,India,10.0,10.0,2.0,1.0,1,1,0,IN,4.0,locality,import,
65029,93.9876855,24.6563155,Chaobok,134175,,29047298.0,,Town,,Manipur,,23424848.0,India,10.0,10.0,2.0,1.0,1,1,0,IN,9.0,locality,import,
65030,94.034508,24.6001975,Khangabok,134176,,29047301.0,,Town,,Manipur,,23424848.0,India,16.0,16.0,3.0,1.0,1,1,0,IN,9.0,locality,import,
65031,94.01229,24.562345,Kang Samaram,134177,,29047324.0,,Town,,Manipur,,23424848.0,India,5.0,5.0,1.0,1.0,1,1,0,IN,9.0,locality,import,
65032,79.1613,12.893933,Palamadai,134210,,29075441.0,,Town,,Tamil Nadu,,23424848.0,India,3.0,3.0,1.0,1.0,1,1,0,IN,9.0,locality,import,
65033,76.898245,11.342658,Jackanarai,134211,,29078255.0,,Town,,Tamil Nadu,,23424848.0,India,15.0,15.0,3.0,1.0,1,1,0,IN,9.0,locality,import,
65034,76.848719,11.343313,Burliyar,134212,,29078257.0,,Town,,Tamil Nadu,,23424848.0,India,25.0,25.0,5.0,1.0,1,1,0,IN,9.0,locality,import,
65035,80.121917,12.946261,Kavanur,134213,,29074696.0,,Suburb,,Tamil Nadu,,23424848.0,India,2.0,2.0,1.0,1.0,1,1,0,IN,9.0,neighbourhood,import,
65036,80.121917,12.946261,Kolapakkam,134214,,29074704.0,,Suburb,,Tamil Nadu,,23424848.0,India,2.0,2.0,1.0,1.0,1,1,0,IN,9.0,neighbourhood,import,
65037,80.121917,12.946261,Varadharajapuram,134215,,29074728.0,,Suburb,,Tamil Nadu,,23424848.0,India,1.0,1.0,1.0,1.0,1,1,0,IN,9.0,neighbourhood,import,
65038,81.667184,26.167288,Bahan Pur,134242,,29115194.0,,Town,,Uttar Pradesh,,23424848.0,India,6.0,6.0,1.0,1.0,1,1,0,IN,9.0,locality,import,
65039,81.824365,26.174428,Parsanwa,134243,,29115214.0,,Town,,Uttar Pradesh,,23424848.0,India,5.0,5.0,1.0,1.0,1,1,0,IN,9.0,locality,import,
65040,81.741405,26.1487845,Darkha,134244,,29115216.0,,Town,,Uttar Pradesh,,23424848.0,India,4.0,4.0,1.0,1.0,1,1,0,IN,9.0,locality,import,
65041,81.7617765,26.1724725,Kushitali,134246,,29115217.0,,Town,,Uttar Pradesh,,23424848.0,India,8.0,8.0,2.0,1.0,1,1,0,IN,9.0,locality,import,
65042,77.26774,29.50278,Khera,134427,,29215207.0,,Suburb,,Delhi,,23424848.0,India,3.0,3.0,1.0,1.0,1,1,0,IN,9.0,neighbourhood,import,
65043,77.2630575,28.5707045,Maharani Bagh,134428,,29215485.0,,Suburb,,Delhi,,23424848.0,India,10.0,10.0,2.0,1.0,1,1,0,IN,9.0,neighbourhood,import,
65044,76.7726,28.78056,Mandi,134429,,29215502.0,,Suburb,,Delhi,,23424848.0,India,3.0,3.0,1.0,1.0,1,1,0,IN,9.0,neighbourhood,import,
65045,78.316525,17.3756975,Foridabad,136218,,55807218.0,,Town,,Andhra Pradesh,,23424848.0,India,18.0,18.0,4.0,1.0,1,1,0,IN,9.0,locality,import,
65046,73.2425705,22.342169,Darjipura,140344,,55923295.0,,Town,,Gujarat,,23424848.0,India,2.0,2.0,1.0,1.0,1,1,0,IN,9.0,locality,import,
65047,77.5581545,12.972776,Kempapura Agrahara,140387,,55924854.0,,Suburb,,Karnataka,,23424848.0,India,14.0,14.0,3.0,1.0,1,1,0,IN,9.0,neighbourhood,import,
65048,73.945283,15.171605,Mobor,141451,,55923241.0,,Town,,Goa,,23424848.0,India,60.0,60.0,12.0,1.0,2,2,0,IN,9.0,locality,import,
65049,78.10757,29.92426,Jwalapur,969006,1269117.0,55958148.0,0.0,Suburb,PPL,Uttarakhand,IN,23424848.0,India,4.0,4.0,1.0,1.0,1,1,7,IN,10.0,neighbourhood,import,
65050,77.26079,33.98918,Skio,1030305,1255918.0,2290511.0,0.0,Town,PPL,Jammu and Kashmir,IN,23424848.0,India,52.0,52.0,11.0,1.0,2,2,3,IN,10.0,locality,import,
65051,77.10756,10.06484,Devi Kulam,1164300,1273094.0,55923390.0,0.0,Town,PPL,Kerala,IN,23424848.0,India,125.0,125.0,25.0,1.0,3,3,3,IN,10.0,locality,import,
65052,79.60087,17.98362,Mathwada,533849,1263357.0,55952718.0,0.0,Suburb,PPL,Andhra Pradesh,IN,23424848.0,India,5.0,5.0,1.0,1.0,1,1,7,IN,10.0,neighbourhood,import,
65053,76.78975,9.55451,Kanjirappally,1333267,1268043.0,2294670.0,0.0,Town,PPL,Kerala,IN,23424848.0,India,33.0,33.0,7.0,1.0,2,2,7,IN,10.0,locality,import,
65054,80.07514,12.99623,Kavanur,1198155,1465873.0,29074744.0,0.0,Town,PPL,Tamil Nadu,IN,23424848.0,India,193.0,193.0,39.0,1.0,4,4,0,IN,10.0,locality,import,
65055,77.93649,30.3935,Kanwali,1199084,1440926.0,55958468.0,0.0,Suburb,PPL,Uttarakhand,IN,23424848.0,India,1.0,1.0,1.0,1.0,1,1,0,IN,10.0,neighbourhood,import,
65056,75.2566045,12.02956,Madayi,1307126,,29132278.0,,Town,,Kerala,,23424848.0,India,38.0,38.0,8.0,1.0,2,2,0,IN,9.0,locality,import,
65057,87.33559,22.84616,Amlagora,1308692,1278774.0,2273037.0,19038.0,Town,PPL,West Bengal,IN,23424848.0,India,,,,,0,0,6,IN,10.0,locality,import,
65058,74.79844,32.52095,Arnia,1308701,1278373.0,2273269.0,9662.0,Town,PPL,Jammu and Kashmir,IN,23424848.0,India,,,,,0,0,5,IN,10.0,locality,import,
65059,73.90812,25.52533,Devgarh,1308839,1273098.0,2276389.0,17500.0,Town,PPL,Rajasthan,IN,23424848.0,India,,,,,0,0,6,IN,10.0,locality,import,
65060,76.03755,20.01757,Deulgaon Raja,1308840,1273136.0,2276450.0,26688.0,Town,PPL,Maharashtra,IN,23424848.0,India,,,,,0,0,7,IN,10.0,locality,import,
65061,78.29095,11.14555,Erumaipatti,1308869,1272001.0,2277089.0,9585.0,Town,PPL,Tamil Nadu,IN,23424848.0,India,,,,,0,0,5,IN,10.0,locality,import,
65062,76.61129,30.33162,Ghanaur,1308885,1271386.0,2277446.0,6091.0,Town,PPL,Punjab,IN,23424848.0,India,,,,,0,0,5,IN,10.0,locality,import,
65063,80.47054,28.07837,Gola Gokarannath,1308891,1271049.0,2277641.0,58986.0,Town,PPL,Uttar Pradesh,IN,23424848.0,India,,,,,0,0,8,IN,10.0,locality,import,
65064,83.78095,19.34836,Gudari,1308897,1270818.0,2277773.0,6895.0,Town,PPL,Orissa,IN,23424848.0,India,,,,,0,0,5,IN,10.0,locality,import,
65065,73.95554,19.04437,Kalamb,1308962,1268484.0,2279148.0,27287.0,Town,PPL,Maharashtra,IN,23424848.0,India,,,,,0,0,7,IN,10.0,locality,import,
65066,77.37173,28.615945,Sector 64,774080,,29216574.0,,Suburb,,Uttar Pradesh,,23424848.0,India,16.0,16.0,3.0,1.0,1,1,0,IN,9.0,neighbourhood,import,
65067,88.406928,22.621602,Dum Dum,774141,,2290029.0,,Town,,West Bengal,,23424848.0,India,96.0,96.0,19.0,1.0,3,3,0,IN,9.0,locality,import,
65068,72.587834,23.038098,Nagoriwad,774772,,29229167.0,,Suburb,,Gujarat,,23424848.0,India,34.0,34.0,7.0,1.0,2,2,0,IN,9.0,neighbourhood,import,
65069,88.358745,22.54994,Dhakuria,776476,,55926167.0,,Suburb,,West Bengal,,23424848.0,India,5.0,5.0,1.0,1.0,1,1,0,IN,9.0,neighbourhood,import,
65070,88.358745,22.54994,Ramchandrapur,776490,,55927121.0,,Suburb,,West Bengal,,23424848.0,India,5.0,5.0,1.0,1.0,1,1,0,IN,9.0,neighbourhood,import,
65071,78.434577,17.461797,Kondapur,776491,,55927126.0,,Suburb,,Andhra Pradesh,,23424848.0,India,13.0,13.0,3.0,1.0,1,1,0,IN,9.0,neighbourhood,import,
65072,76.650613,12.334363,Bannimantap,776676,,55954207.0,,Suburb,,Karnataka,,23424848.0,India,9.0,9.0,2.0,1.0,1,1,0,IN,9.0,neighbourhood,import,
65073,73.331611,28.039805,New Gandhi Nagar,776694,,55957434.0,,Suburb,,Rajasthan,,23424848.0,India,23.0,23.0,5.0,1.0,1,1,0,IN,9.0,neighbourhood,import,
65074,73.717575,15.640559,Gawade Wada,776710,,55923260.0,,Town,,Goa,IN,23424848.0,India,547.0,547.0,111.0,2.0,7,5,0,IN,4.0,locality,import,
65075,80.98012,21.41879,Khairagarh,785182,1267174.0,2289602.0,15734.0,Town,PPL,Chhattisgarh,IN,23424848.0,India,,7.0,,1.0,0,1,6,IN,10.0,locality,import,
65076,85.28153,25.31586,Hilsa,785183,1270102.0,2289749.0,41110.0,Town,PPL,Bihar,IN,23424848.0,India,,2.0,,1.0,0,1,7,IN,10.0,locality,import,
65077,79.657417,29.604506,Mahatgaon,141131,,55958346.0,,Suburb,,Uttarakhand,,23424848.0,India,2.0,2.0,1.0,1.0,1,1,0,IN,9.0,neighbourhood,import,
65078,88.278408,26.876296,Kurseong,1218659,,2279616.0,,Town,,West Bengal,,23424848.0,India,229.0,229.0,46.0,1.0,4,4,0,IN,9.0,locality,import,
65079,88.129508,23.647433,Katwa,1218661,,2279737.0,,Town,,West Bengal,,23424848.0,India,140.0,140.0,28.0,1.0,3,3,0,IN,9.0,locality,import,
65080,75.19213,20.00633,Khuldabad,885884,1266631.0,2292635.0,14413.0,Town,PPL,Maharashtra,IN,23424848.0,India,465.0,465.0,94.0,2.0,7,5,6,IN,10.0,locality,import,
65081,73.97555,15.21447,Chinchinim,811084,1274172.0,2275831.0,7355.0,Town,PPL,Goa,IN,23424848.0,India,251.0,251.0,51.0,1.0,5,4,5,IN,10.0,locality,import,
65082,86.1516,23.87355,Gomoh,892030,1271005.0,2289843.0,31395.0,Town,PPL,Jharkhand,IN,23424848.0,India,,8.0,,1.0,0,1,7,IN,10.0,locality,import,
65083,78.311667,30.120852,Muni Ki Reti,1232676,,28999776.0,,Town,,Uttarakhand,,23424848.0,India,309.0,309.0,63.0,1.0,5,5,0,IN,9.0,locality,import,
