,X,Y,name,qs_id,gn_id,woe_id,gn_pop,placetype,gn_fcode,name_adm1,gn_country,woe_adm0,name_adm0,photos,photos_all,photos_1k,photos_9k,photos_sr,photos_9r,pop_sr,aaroncc,actionplan,_placetype,_newplan,wof_id
55000,30.45639,59.70056,Tyarlevo,8426,479999.0,2099070.0,1523.0,Town,PPL,Saint Petersburg Federal City,RU,23424936.0,Russia,256.0,256.0,52.0,1.0,5,4,3,RU,8.0,locality,import,
55001,29.91091,58.85973,Tolmachevo,8514,482390.0,2123922.0,3361.0,Town,PPL,Leningrad Oblast,RU,23424936.0,Russia,33.0,33.0,7.0,1.0,2,2,4,RU,8.0,locality,import,
55002,50.793914,61.713309,Syktyvkar Raion,220115,,12597455.0,,County,,Komi Republic,,23424936.0,Russia,165.0,584.0,33.0,3.0,4,5,0,RU,7.0,county,import,
55003,35.770111,55.605505,Mozhayskiy Raion,220116,,12598748.0,,County,,Moscow Oblast,,23424936.0,Russia,248.0,1350.0,50.0,6.0,4,7,0,RU,7.0,county,import,
55004,37.380981,55.664857,Odintsovskiy Raion,220117,,12598757.0,,County,,Moscow Oblast,,23424936.0,Russia,253.0,3874.0,51.0,17.0,5,12,0,RU,7.0,county,import,
55005,37.364673,55.38067,Podol'skiy Raion,220118,,12598765.0,,County,,Moscow Oblast,,23424936.0,Russia,38.0,405.0,8.0,2.0,2,5,0,RU,7.0,county,import,
55006,35.107412,69.17379,Severomorsk Raion,220119,,12598812.0,,County,,Murmansk Oblast,,23424936.0,Russia,85.0,764.0,17.0,3.0,3,6,0,RU,7.0,county,import,
55007,88.1797,50.940936,Ulaganskiy Raion,221445,,12597721.0,,County,,Altai Republic,,23424936.0,Russia,583.0,609.0,118.0,3.0,8,5,0,RU,7.0,county,import,
55008,38.370437,44.589489,Gelendzhik Raion,221448,,12597775.0,,County,,Krasnodar Krai,,23424936.0,Russia,486.0,1963.0,98.0,9.0,7,9,0,RU,7.0,county,import,
55009,41.802978,43.296198,Karachaevskiy Raion,221449,,12597949.0,,County,,Karachay-Cherkessia Republic,,23424936.0,Russia,103.0,855.0,21.0,4.0,3,6,0,RU,7.0,county,import,
55010,41.823277,45.025843,Stavropol' Raion,221450,,12597973.0,,County,,Stavropol Krai,,23424936.0,Russia,122.0,870.0,25.0,4.0,3,6,0,RU,7.0,county,import,
