,Unnamed: 0,X,Y,name,qs_id,gn_id,woe_id,gn_pop,placetype,gn_fcode,name_adm1,gn_country,woe_adm0,name_adm0,photos,photos_all,photos_1k,photos_9k,photos_sr,photos_9r,pop_sr,aaroncc,actionplan,_placetype,_newplan,wof_id,_joinme,_joinme2,wk:page,wordcount
0,40000,101.43333,2.8,Kampong Kelanang,1164652,1768486.0,1144543.0,0.0,Town,PPL,Selangor,MY,23424901.0,Malaysia,,194.0,,1.0,0,4,0,MY,10.0,locality,import,,,,Morib (state constituency),179
1,40001,100.73333,5.0,Pondok Tanjung,1164655,1734412.0,1152662.0,0.0,Town,PPL,Perak,MY,23424901.0,Malaysia,,130.0,,1.0,0,3,0,MY,10.0,locality,import,,,,Bukit Merah railway station,21
2,40002,100.48231,6.0303,Tanah Merah,1164658,1751521.0,1155180.0,0.0,Town,PPL,Kedah,MY,23424901.0,Malaysia,,1.0,,1.0,0,1,0,MY,10.0,locality,import,,,,Tanah Merah,60
3,40003,102.4191,2.4756,Batang Melaka,1165545,1734740.0,1140804.0,0.0,Town,PPL,Melaka,MY,23424901.0,Malaysia,,2.0,,1.0,0,1,0,MY,10.0,locality,import,,,,Batang Melaka,151
4,40004,102.19932,6.04081,Kampong Alor,1165683,1764900.0,1141310.0,0.0,Town,PPL,Terengganu,MY,23424901.0,Malaysia,,12.0,,1.0,0,1,0,MY,10.0,locality,import,,,,Pasukan Bola Sepak Maktab Mahmud Pokok Sena,55
5,40005,101.48333,3.05,Kampong Padang Jawa,1166135,1766520.0,1146517.0,0.0,Town,PPL,Selangor,MY,23424901.0,Malaysia,,1.0,,1.0,0,1,0,MY,10.0,locality,import,,,,Kuala Pilah (federal constituency),374
6,40006,100.39547,5.97256,Kota Sarang Semut,1166433,6807198.0,1151789.0,0.0,Town,PPL,Kedah,MY,23424901.0,Malaysia,,1.0,,1.0,0,1,0,MY,10.0,locality,import,,,,Kota Sarang Semut,208
7,40007,100.47189,5.70264,Semiling,1166579,1745139.0,1153933.0,0.0,Town,PPL,Kedah,MY,23424901.0,Malaysia,,4.0,,1.0,0,1,0,MY,10.0,locality,import,,,,List of Malayan federal electoral districts 1955–59,72
8,40008,101.582817,3.20774,Sungai Buloh,1168246,,1155154.0,,Town,,Selangor,,23424901.0,Malaysia,106.0,106.0,21.0,1.0,3,3,0,MY,9.0,locality,import,,,,Sungai Buloh,383
9,40009,100.7,4.81667,Simpang,1167108,1743587.0,1154020.0,0.0,Town,PPL,Perak,MY,23424901.0,Malaysia,,1.0,,1.0,0,1,0,MY,10.0,locality,import,,,,Simpang,86
