,Unnamed: 0,X,Y,name,qs_id,gn_id,woe_id,gn_pop,placetype,gn_fcode,name_adm1,gn_country,woe_adm0,name_adm0,photos,photos_all,photos_1k,photos_9k,photos_sr,photos_9r,pop_sr,aaroncc,actionplan,_placetype,_newplan,wof_id,_joinme,_joinme2,wk:page,wordcount
72,60072,139.732511,35.587369,２丁目,249214,,28528178.0,,Suburb,,東京都,,23424856.0,日本,111.0,111.0,22.0,1.0,3,3,0,JP,9.0,neighbourhood,import,,,,Pippu Station,64
73,60073,139.671872,35.521986,４丁目,249598,,28531911.0,,Suburb,,神奈川県,,23424856.0,日本,9.0,9.0,2.0,1.0,1,1,0,JP,9.0,neighbourhood,import,,,,Nagai Station (Osaka),412
74,60074,135.540584,34.7031065,２丁目,249637,,28558694.0,,Suburb,,大阪府,,23424856.0,日本,16.0,16.0,3.0,1.0,1,1,0,JP,9.0,neighbourhood,import,,,,Pippu Station,64
75,60075,137.213802,36.700267,１丁目,1349107,,28537403.0,,Suburb,,富山県,,23424856.0,日本,59.0,59.0,12.0,1.0,2,2,0,JP,9.0,neighbourhood,import,,,,Isezakichō,360
76,60076,135.490997,34.695755,３丁目,1350724,,28559482.0,,Suburb,,大阪府,,23424856.0,日本,48.0,48.0,10.0,1.0,2,2,0,JP,9.0,neighbourhood,import,,,,Tama and Friends,859
77,60077,136.578254,35.9245745,大野市,1351076,,1117998.0,,Town,,福井県,,23424856.0,日本,70.0,92.0,14.0,1.0,2,3,0,JP,9.0,locality,import,,,,Bungo-ōno,127
78,60078,139.95167,39.05839,Yuza-machi,1041500,7450469.0,,0.0,,ADM3,,JP,,,,,,,0,0,0,JP,10.0,localadmin,import,,,,Yuza,355
79,60079,139.81317,37.40862,Aizumisato-machi,1041501,7451505.0,,0.0,,ADM3,,JP,,,,,,,0,0,0,JP,10.0,localadmin,import,,,,Aizumisato,282
80,60080,140.46134,37.14554,Ishikawa-machi,1041508,7451512.0,,0.0,,ADM3,,JP,,,,,,,0,0,0,JP,10.0,localadmin,import,,,,"Ishikawa, Fukushima",266
81,60081,140.30083,38.75861,Shinjō,572201,2111065.0,,41140.0,,PPL,,JP,,,,,,,0,0,7,JP,10.0,locality,import,,,,Shinjō,25
