,Unnamed: 0,X,Y,name,qs_id,gn_id,woe_id,gn_pop,placetype,gn_fcode,name_adm1,gn_country,woe_adm0,name_adm0,photos,photos_all,photos_1k,photos_9k,photos_sr,photos_9r,pop_sr,aaroncc,actionplan,_placetype,_newplan,wof_id,_joinme,_joinme2,wk:page,wordcount
0,20000,36.00833,35.6,Al haffah,1168202,4544.0,1941029.0,0.0,Town,PPL,مُحافظة اللاذقية,SY,23424956.0,سوريا,45.0,45.0,9.0,1.0,2,2,0,SY,2.0,locality,import,,,,Al Haffah,33
1,20001,48.41517,40.75728,Xankändi,1168203,585970.0,1951551.0,0.0,Town,PPL,Ismayilli,AZ,23424741.0,Azerbaijan,66.0,66.0,13.0,1.0,2,2,0,AZ,2.0,locality,import,,,,Stepanakert,2419
2,20002,49.82083,40.30694,Xanlar,1168204,585968.0,1951553.0,0.0,Town,PPL,Baki,AZ,23424741.0,Azerbaijan,55.0,55.0,11.0,1.0,2,2,0,AZ,2.0,locality,import,,,,Goygol,91
4,20004,44.47616,42.47797,Gudauri,1168218,614410.0,1966829.0,0.0,Town,PPL,Dushet´is Raioni,GE,23424823.0,Georgia,410.0,410.0,83.0,2.0,6,5,0,GE,2.0,locality,import,,,,Gudauri,393
5,20005,50.50694,26.11528,مدينة حمد,1168220,290247.0,1967029.0,52718.0,Town,PPL,الشمالية,BH,23424753.0,البحرين,30.0,261.0,6.0,1.0,2,4,8,BH,2.0,locality,import,,,,Hamad Town,427
6,20006,50.555,26.13,Ar Rifa,1168222,385038.0,1967060.0,79550.0,Town,PPL,الوسطى,BH,23424753.0,البحرين,69.0,69.0,14.0,1.0,2,2,8,BH,2.0,locality,import,,,,"Rifa and Southern Region, Bahrain",54
7,20007,34.90698,32.13968,Adanim,1168223,295758.0,1967069.0,0.0,Town,PPL,Central,IL,23424852.0,Israel,81.0,81.0,16.0,1.0,3,3,0,IL,2.0,locality,import,,,,Adanim,123
8,20008,34.88482,32.28572,Hadassim,1168228,294949.0,1967421.0,0.0,Town,PPL,Central,IL,23424852.0,Israel,196.0,196.0,40.0,1.0,4,4,0,IL,2.0,locality,import,,,,Hadass,156
9,20009,34.93237,32.63629,HaBonim,1168229,294955.0,1967406.0,0.0,Town,PPL,Haifa,IL,23424852.0,Israel,102.0,102.0,21.0,1.0,3,3,0,IL,2.0,locality,import,,,,HaBonim,21
10,20010,35.50145,32.8392,Migdal,1168237,294214.0,1967683.0,0.0,Town,PPL,Northern,IL,23424852.0,Israel,425.0,425.0,86.0,2.0,6,5,0,IL,2.0,locality,import,,,,Migdal,101
11,20011,34.87091,32.40535,Mikhmoret,1168239,294204.0,1967688.0,0.0,Town,PPL,Central,IL,23424852.0,Israel,295.0,295.0,60.0,1.0,5,4,0,IL,2.0,locality,import,,,,Mikhmoret,114
13,20013,35.31979,32.56298,Yizreel,1168241,293166.0,1968103.0,0.0,Town,PPL,Northern,IL,23424852.0,Israel,134.0,134.0,27.0,1.0,3,3,0,IL,2.0,locality,import,,,,Yizre'el,205
