,Unnamed: 0,X,Y,name,qs_id,gn_id,woe_id,gn_pop,placetype,gn_fcode,name_adm1,gn_country,woe_adm0,name_adm0,photos,photos_all,photos_1k,photos_9k,photos_sr,photos_9r,pop_sr,aaroncc,actionplan,_placetype,_newplan,wof_id,_joinme,_joinme2,wk:page,wordcount
0,30000,120.86667,24.7,Zhunan Zhen,1030941,1677512.0,,0.0,,ADMD,,TW,,,,,,,0,0,0,TW,10.0,localadmin,import,,,,"Zhunan, Miaoli",517
4,30004,120.652751,24.143531,大同里,996510,,28760474.0,,Suburb,,台中市,,23424971.0,臺灣,52.0,52.0,11.0,1.0,2,2,0,TW,9.0,neighbourhood,import,,,,Sangwon County,155
5,30005,120.63333,23.55,Meishan Xiang,1030902,1672015.0,,0.0,,ADMD,,TW,,,,,,,0,0,0,TW,10.0,localadmin,import,,,,"Meishan, Chiayi",151
6,30006,119.56667,23.55,Magong Shi,1030903,1672227.0,,0.0,,ADMD,,TW,,,,,,,0,0,0,TW,10.0,localadmin,import,,,,County-controlled city,290
7,30007,120.25,23.78333,Mailiao Xiang,1030904,1672242.0,,0.0,,ADMD,,TW,,,,,,,0,0,0,TW,10.0,localadmin,import,,,,"Mailiao, Yunlin",130
8,30008,120.5,22.8,Ligang Xiang,903637,1672943.0,,0.0,,ADMD,,TW,,,,,,,0,0,0,TW,10.0,localadmin,import,,,,Ligang,100
9,30009,121.83333,24.55,Su’ao Zhen,1151912,1668724.0,,0.0,,ADMD,,TW,,,,,,,0,0,0,TW,10.0,localadmin,import,,,,Su'ao,258
10,30010,121.4,24.98333,Shulin Shi,1151913,1668874.0,,0.0,,ADMD,,TW,,,,,,,0,0,0,TW,10.0,localadmin,import,,,,Taipei County,161
11,30011,121.81667,25.0,Shuangxi Xiang,1151914,1669085.0,,0.0,,ADMD,,TW,,,,,,,0,0,0,TW,10.0,localadmin,import,,,,Taipei County,161
12,30012,120.6,23.91667,Shetou Xiang,1151916,1669503.0,,0.0,,ADMD,,TW,,,,,,,0,0,0,TW,10.0,localadmin,import,,,,"Shetou, Changhua",152
13,30013,120.68333,22.8,Sandimen Xiang,1151917,1669955.0,,0.0,,ADMD,,TW,,,,,,,0,0,0,TW,10.0,localadmin,import,,,,Sandimen,410
14,30014,121.65,24.68333,Sanxing Xiang,1151918,1670088.0,,0.0,,ADMD,,TW,,,,,,,0,0,0,TW,10.0,localadmin,import,,,,Sanxing,181
15,30015,121.16111,24.67416,Hsinchu,1151920,1675107.0,,0.0,,ADM2,,TW,,,,,,,0,0,0,TW,10.0,county,import,,hsinchu_county_TW,hsinchu_county_TW_121_25,Hsinchu,1744
16,30016,121.4034,24.93882,Xibei Li,1151922,1674746.0,,0.0,,ADMD,,TW,,,,,,,0,0,0,TW,10.0,localadmin,import,,,,Ma clique,2050
17,30017,120.45,22.51667,Sinyuan Township,1151923,1674761.0,,0.0,,ADMD,,TW,,,,,,,0,0,0,TW,10.0,localadmin,import,,,,"Xinyuan, Pingtung",178
18,30018,121.06667,24.98333,Xinwu Xiang,1151924,1674774.0,,0.0,,ADMD,,TW,,,,,,,0,0,0,TW,10.0,localadmin,import,,,,"Taoyuan County, Taiwan",147
