,Unnamed: 0,X,Y,name,qs_id,gn_id,woe_id,gn_pop,placetype,gn_fcode,name_adm1,gn_country,woe_adm0,name_adm0,photos,photos_all,photos_1k,photos_9k,photos_sr,photos_9r,pop_sr,aaroncc,actionplan,_placetype,_newplan,wof_id,_joinme,_joinme2,wk:page,wordcount
1,1,103.19822,13.10271,Bătdâmbâng,564349,1831797.0,,150444.0,,PPLA,,KH,,,,,,,0,0,9,KH,3.0,locality,import,,,,Battambang,1677
2,2,16.41667,78.65,Pyramiden,575778,2729216.0,,5.0,,PPLQ,,SJ,,,,,,,0,0,1,SJ,,locality,import,,,,Pyramiden,794
6,6,121.0328,14.6627,Bagong Pagasa,569679,1966336.0,,46365.0,,PPL,,PH,,,,,,,0,0,7,PH,3.0,locality,import,,,,List of Philippine television specials aired in 2014,1378
7,7,121.0341,14.3388,Magsaysay,569685,1966068.0,,2569.0,,PPL,,PH,,,,,,,0,0,4,PH,3.0,locality,import,,,,Ramon Magsaysay,3784
8,8,121.2177,14.3449,Gulod,569686,1966167.0,,5764.0,,PPL,,PH,,,,,,,0,0,5,PH,3.0,locality,import,,,,"Gulod, Cabuyao",556
9,9,124.72056,6.84722,Badak,569688,1966226.0,,6653.0,,PPL,,PH,,,,,,,0,0,5,PH,3.0,locality,import,,,,Jalan Permatang Badak,75
11,11,124.25278,7.73417,Lumbac,569690,1978540.0,,2448.0,,PPL,,PH,,,,,,,0,0,4,PH,3.0,locality,import,,,,"Maguing, Lanao del Sur",154
12,12,124.475,7.16083,Malingao,569718,1978681.0,,1121974.0,,PPL,,PH,,,,,,,0,0,12,PH,3.0,locality,import,,,,"Tubod, Lanao del Norte",330
13,13,149.686,8.575,Onoun,571894,2081677.0,,580.0,,ISL,,FM,,,,,,,0,0,2,FM,3.0,locality_funky,import,,,,Namonuito Atoll,532
14,14,123.0214,10.4154,San Miguel,558687,1689005.0,,3783.0,,PPL,,PH,,,,,,,0,0,4,PH,3.0,locality,import,,,,San Miguel,976
15,15,-65.62385,-33.05258,La Toma,266566,3847482.0,332608.0,6663.0,Town,PPL,San Luis,AR,23424747.0,Argentina,,63.0,,1.0,0,2,7,AR,2.0,locality,import,,,,La Toma,69
16,16,-67.54956,-33.46091,La Paz,266567,3849516.0,332492.0,0.0,Town,PPL,Mendoza,AR,23424747.0,Argentina,,2.0,,1.0,0,1,4,AR,2.0,locality,import,,,,La Paz,5317
17,17,170.02358,9.5134,Wotje Atoll,571845,2079842.0,,866.0,,ATOL,,MH,,,,,,,0,0,2,MH,3.0,locality_funky,import,,,,Wotje Atoll,877
18,18,165.98299,10.10315,Wotho Atoll,571846,2079845.0,,145.0,,ATOL,,MH,,,,,,,0,0,1,MH,3.0,locality_funky,import,,,,Wotho Atoll,302
19,19,169.80417,11.26832,Utrik Atoll,571847,2079871.0,,433.0,,ATOL,,MH,,,,,,,0,0,2,MH,3.0,locality_funky,import,,,,Utirik Atoll,357
20,20,165.62525,9.08735,Ujae Atoll,571848,2079889.0,,440.0,,ATOL,,MH,,,,,,,0,0,2,MH,3.0,locality_funky,import,,,,Ujae Atoll,236
21,21,166.8304,11.33363,Rongelap Atoll,571849,2079981.0,,19.0,,ATOL,,MH,,,,,,,0,0,1,MH,3.0,locality_funky,import,,,,Rongelap Atoll,1464
22,22,168.17064,7.99974,Namu Atoll,571850,2080100.0,,903.0,,ATOL,,MH,,,,,,,0,0,2,MH,3.0,locality_funky,import,,,,Namu Atoll,301
23,23,168.11773,5.59997,Namdrik Atoll,571851,2080105.0,,772.0,,ATOL,,MH,,,,,,,0,0,2,MH,3.0,locality_funky,import,,,,Namdrik Atoll,628
24,24,171.92471,6.13373,Mili Atoll,571853,2080153.0,,1032.0,,ATOL,,MH,,,,,,,0,0,3,MH,3.0,locality_funky,import,,,,Mili Atoll,926
25,25,170.86946,10.27641,Mejit Island,571854,2080167.0,,416.0,,ISL,,MH,,,,,,,0,0,2,MH,3.0,locality_funky,import,,,,Mejit Island,378
26,26,171.03928,8.75242,Maloelap Atoll,571856,2080201.0,,856.0,,ATOL,,MH,,,,,,,0,0,2,MH,3.0,locality_funky,import,,,,Maloelap Atoll,442
27,27,171.2,7.148,Majuro Atoll,571857,2080205.0,,23676.0,,ATOL,,MH,,,,,,,0,0,7,MH,3.0,locality_funky,import,,,,Majuro,1301
28,28,169.14345,9.88498,Likiep Atoll,571858,2080251.0,,527.0,,ATOL,,MH,,,,,,,0,0,2,MH,3.0,locality_funky,import,,,,Likiep Atoll,371
29,29,167.3786,8.31444,Lib Island,571859,2080256.0,,147.0,,ISL,,MH,,,,,,,0,0,1,MH,3.0,locality_funky,import,,,,Lib Island,163
30,30,166.23181,8.93408,Lae Atoll,571860,2080274.0,,322.0,,ATOL,,MH,,,,,,,0,0,2,MH,3.0,locality_funky,import,,,,Lae Atoll,185
31,31,167.309,9.182,Kwajalein Atoll,571861,2080283.0,,10902.0,,ATOL,,MH,,,,,,,0,0,6,MH,3.0,locality_funky,import,,,,Kwajalein Atoll,7694
32,32,169.12791,5.64716,Kili Island,571862,2080312.0,,774.0,,ISL,,MH,,,,,,,0,0,2,MH,3.0,locality_funky,import,,,,Kili Island,1200
33,33,169.58453,5.99994,Jaluit Atoll,571863,2080409.0,,1669.0,,ATOL,,MH,,,,,,,0,0,3,MH,3.0,locality_funky,import,,,,Jaluit Atoll,641
34,34,168.97698,7.75254,Jabat Island,571864,2080416.0,,95.0,,ISL,,MH,,,,,,,0,0,1,MH,3.0,locality_funky,import,,,,Jabat Island,263
35,35,162.25365,11.49954,Enewetak Atoll,571866,2080551.0,,853.0,,ATOL,,MH,,,,,,,0,0,2,MH,3.0,locality_funky,import,,,,Enewetak Atoll,2832
36,36,169.92725,10.28553,Ailuk Atoll,571872,2081087.0,,513.0,,ATOL,,MH,,,,,,,0,0,2,MH,3.0,locality_funky,import,,,,Ailuk Atoll,372
37,37,168.77403,7.38085,Ailinglaplap Atoll,571873,2081089.0,,1959.0,,ATOL,,MH,,,,,,,0,0,3,MH,3.0,locality_funky,import,,,,Ailinglaplap Atoll,476
38,38,162.982,5.325,Kosrae,571874,2081155.0,,7686.0,,ISL,,FM,,,,,,,0,0,5,FM,3.0,locality_funky,import,,,,Kosrae,2013
39,39,151.882,7.44,Weno Island,571875,2081240.0,,13802.0,,ISL,,FM,,,,,,,0,0,6,FM,3.0,locality_funky,import,,,,Chuuk State,992
40,40,150.34,8.75,Unanu,571876,2081289.0,,178.0,,ISL,,FM,,,,,,,0,0,1,FM,3.0,locality_funky,import,,,,Chuuk State,992
