,Unnamed: 0,X,Y,name,qs_id,gn_id,woe_id,gn_pop,placetype,gn_fcode,name_adm1,gn_country,woe_adm0,name_adm0,photos,photos_all,photos_1k,photos_9k,photos_sr,photos_9r,pop_sr,aaroncc,actionplan,_placetype,_newplan,wof_id,_joinme,_joinme2,wk:page,wordcount
0,45000,78.7467,27.89012,Soron,131189,1255704.0,,28683.0,,PPL,,IN,,,,,,,0,0,7,IN,10.0,locality,import,,,,Soron,693
1,45001,75.84833,12.59479,Somvārpet,131191,1255811.0,,7227.0,,PPL,,IN,,,,,,,0,0,5,IN,10.0,locality,import,,,,Somwarpet,455
2,45002,84.58449,18.94419,Sompeta,131192,1255816.0,,17982.0,,PPL,,IN,,,,,,,0,0,6,IN,10.0,locality,import,,,,Sompeta,386
3,45003,79.42025,13.1181,Sholingur,131237,1256435.0,2294173.0,28645.0,Town,PPL,Tamil Nadu,IN,23424848.0,India,,21.0,,1.0,0,1,7,IN,10.0,locality,import,,,,Sholinghur,1445
4,45004,76.35337,9.68428,Shertalai,131239,1256558.0,56123371.0,45474.0,Town,PPL,Kerala,IN,23424848.0,India,,,,,0,0,7,IN,10.0,locality,import,,,,List of railway stations in India,2536
5,45005,78.44708,9.16931,Sāyalkudi,131248,1256934.0,,12415.0,,PPL,,IN,,,,,,,0,0,6,IN,10.0,locality,import,,,,Aranthangi,1159
6,45006,75.33724,14.97335,Savanūr,131249,1256967.0,,37819.0,,PPL,,IN,,,,,,,0,0,7,IN,10.0,locality,import,,,,Savanur,858
7,45007,73.82191,15.90412,Sāvantvādi,131250,1256968.0,,23384.0,,PPL,,IN,,,,,,,0,0,7,IN,10.0,locality,import,,,,Sawantwadi State,557
8,45008,79.48785,27.02965,Saurikh,131251,1256976.0,,12055.0,,PPL,,IN,,,,,,,0,0,6,IN,10.0,locality,import,,,,Saurikh,288
9,45009,93.72225,26.62248,Numāligarh,131481,1261142.0,,7386.0,,PPL,,IN,,,,,,,0,0,5,IN,10.0,locality,import,,,,Numaligarh Refinery,87
10,45010,74.491,28.44062,Sardarshahar,131263,1257198.0,2294987.0,86672.0,Town,PPL,Rajasthan,IN,23424848.0,India,,7.0,,1.0,0,1,8,IN,10.0,locality,import,,,,Sardarshahar,811
11,45011,79.0914,28.4929,Sandauli,131264,1257219.0,29096393.0,20923.0,Town,PPL,Uttar Pradesh,IN,23424848.0,India,,,,,0,0,7,IN,10.0,locality,import,,,,Barabanki district,9049
12,45012,83.00548,21.31506,Saraipali,131265,1257259.0,29180298.0,18394.0,Town,PPL,Chhattisgarh,IN,23424848.0,India,,,,,0,0,6,IN,10.0,locality,import,,,,Saraipali,489
13,45013,81.5113,25.37841,Sarāi Ākil,131267,1257268.0,,17443.0,,PPL,,IN,,,,,,,0,0,6,IN,10.0,locality,import,,,,Kaushambi district,770
14,45014,77.79395,31.50988,Sarāhan,131268,1257277.0,,1495.0,,PPL,,IN,,,,,,,0,0,3,IN,10.0,locality,import,,,,Sarahan,1307
15,45015,88.22515,22.54997,Sānkrāil,131270,1257354.0,,27523.0,,PPL,,IN,,,,,,,0,0,7,IN,10.0,locality,import,,,,Sankrail,278
17,45017,75.19379,17.43948,Sāngola,131272,1257409.0,,31279.0,,PPL,,IN,,,,,,,0,0,7,IN,10.0,locality,import,,,,Sangola (Vidhan Sabha constituency),77
18,45018,86.87156,21.52798,Remu,131294,1258229.0,29014638.0,30319.0,Town,PPL,West Bengal,IN,23424848.0,India,,,,,0,0,7,IN,10.0,locality,import,,,,Shinigami (Death Note),4692
19,45019,74.77391,16.49178,Rāybāg,131295,1258278.0,,17389.0,,PPL,,IN,,,,,,,0,0,6,IN,10.0,locality,import,,,,Raybag,182
21,45021,84.85109,26.9832,Raxaul,131297,1258294.0,,47965.0,,PPL,,IN,,,,,,,0,0,7,IN,10.0,locality,import,,,,Raxaul,969
22,45022,74.30838,33.37541,Rajauri,131331,1258891.0,2290377.0,27792.0,Town,PPL,Jammu and Kashmir,IN,23424848.0,India,,1.0,,1.0,0,1,7,IN,10.0,locality,import,,,,Rajauri,655
23,45023,81.15137,25.38727,Rajapur,131333,1258911.0,29103752.0,13962.0,Town,PPL,Uttar Pradesh,IN,23424848.0,India,,,,,0,0,6,IN,10.0,locality,import,,,,Rajapur,22
24,45024,77.39799,9.17489,Puliyankudi,131355,1259263.0,2294695.0,62494.0,Town,PPL,Tamil Nadu,IN,23424848.0,India,,1.0,,1.0,0,1,8,IN,10.0,locality,import,,,,Puliyankudi,489
25,45025,78.13545,9.29147,Pudur,131356,1259293.0,29084399.0,8281.0,Town,PPL,Tamil Nadu,IN,23424848.0,India,,,,,0,0,5,IN,10.0,locality,import,,,,Pudur,34
26,45026,80.11488,13.04888,Poonamalle,131365,1259400.0,,48837.0,,PPL,,IN,,,,,,,0,0,7,IN,10.0,locality,import,,,,Saveetha University,125
27,45027,84.23162,20.47916,Phulabāni,131378,1259756.0,,36613.0,,PPL,,IN,,,,,,,0,0,7,IN,10.0,locality,import,,,,Phulbani,852
28,45028,79.46392,26.59941,Phaphūnd,131379,1259801.0,,16675.0,,PPL,,IN,,,,,,,0,0,6,IN,10.0,locality,import,,,,Phaphund,155
29,45029,72.36826,27.13102,Phalodi,131381,1259813.0,,46788.0,,PPL,,IN,,,,,,,0,0,7,IN,10.0,locality,import,,,,Phalodi,968
32,45032,80.16176,24.26659,Mawai,131401,1260009.0,29028663.0,13083.0,Town,PPL,Madhya Pradesh,IN,23424848.0,India,,,,,0,0,6,IN,10.0,locality,import,,,,Mawai,31
33,45033,80.10305,28.06626,Pawāyan,131400,1260003.0,,25708.0,,PPL,,IN,,,,,,,0,0,7,IN,10.0,locality,import,,,,Pawayan,230
34,45034,76.7,8.78333,Paravūr,131410,1260354.0,,38946.0,,PPL,,IN,,,,,,,0,0,7,IN,10.0,locality,import,,,,"Paravur, Kollam",1276
35,45035,77.32698,28.14327,Palwal,131433,1260637.0,,121965.0,,PPL,,IN,,,,,,,0,0,9,IN,10.0,locality,import,,,,Palwal,1178
36,45036,83.98104,26.90424,Parsauna,131454,1260909.0,29120577.0,47181.0,Town,PPL,Uttar Pradesh,IN,23424848.0,India,,,,,0,0,7,IN,10.0,locality,import,,,,Benipatti (Vidhan Sabha constituency),286
37,45037,73.62539,29.70885,Padampur,131455,1260938.0,2283605.0,18454.0,Town,PPL,Rajasthan,IN,23424848.0,India,,1.0,,1.0,0,1,6,IN,10.0,locality,import,,,,Padampur,52
38,45038,73.92816,20.09473,Ojhar,131462,1261068.0,,44935.0,,PPL,,IN,,,,,,,0,0,7,IN,10.0,locality,import,,,,Maintenance Command,154
40,45040,88.62943,26.83644,Odlābāri,131464,1261077.0,,12311.0,,PPL,,IN,,,,,,,0,0,6,IN,10.0,locality,import,,,,Mal (community development block),244
41,45041,79.30882,25.80766,Kotra,131711,1265954.0,,8534.0,,PPL,,IN,,,,,,,0,0,5,IN,10.0,locality,import,,,,KOTRA,468
42,45042,82.9859,24.41656,Obra,131476,1261086.0,,56110.0,,PPL,,IN,,,,,,,0,0,8,IN,10.0,locality,import,,,,Obra,117
44,45044,77.00144,28.10296,Nuh,131482,1261145.0,2291225.0,12698.0,Town,PPL,Haryana,IN,23424848.0,India,,,,,0,0,6,IN,10.0,locality,import,,,,Nuh,90
45,45045,85.50416,22.16094,Noamundi,131484,1261242.0,2290040.0,16558.0,Town,PPL,Jharkhand,IN,23424848.0,India,,7.0,,1.0,0,1,6,IN,10.0,locality,import,,,,Noamundi,613
46,45046,93.06532,23.13227,North Vanlaiphai,131483,1261173.0,,3475.0,,PPL,,IN,,,,,,,0,0,4,IN,10.0,locality,import,,,,North Vanlaiphai,345
47,45047,77.09318,23.70758,Narsinghgarh,131518,1261752.0,,29981.0,,PPL,,IN,,,,,,,0,0,7,IN,10.0,locality,import,,,,Narsinghgarh,77
48,45048,76.14171,29.22123,Nārnaund,131520,1261771.0,,16299.0,,PPL,,IN,,,,,,,0,0,6,IN,10.0,locality,import,,,,Narnaund,522
