,Unnamed: 0,Unnamed: 0.1,fct:id,nyt:id,wof:id,dbp:id,iata:code,faa:code,gn:id,wd:id,fips:code,fb:id,mzb:id,icao:code,wk:page,gp:id,loc:id,qs:id,oa:id,tgn:id,link,wk_page_id,wordcount
0,25000,66355,08ccdb02-8f76-11e1-848f-cfd5bf3ef515,,101729973.0,,,,5812604.0,Q1044814,5368750.0,,,,"Sunnyside, Washington",2502246.0,,1240340.0,,,,,2172
1,25001,66356,,,101758507.0,,,,2780113.0,Q252161,,,,,Elsbethen,12674739.0,,1122848.0,,,,,184
2,25002,66360,08cbdd1a-8f76-11e1-848f-cfd5bf3ef515,,101729975.0,,,,5809928.0,Q947107,5363280.0,,,,"Selah, Washington",2490624.0,,465888.0,,,,,1089
3,25003,66361,08c88f48-8f76-11e1-848f-cfd5bf3ef515,,101729977.0,,,,5804430.0,Q658219,5347805.0,,,,"Naches, Washington",2456819.0,,246482.0,,,,,836
4,25004,66363,0a5308ac-8f76-11e1-848f-cfd5bf3ef515,,101754935.0,,,,2981515.0,Q128043,,,,,Saint-Avé,623142.0,,210482.0,,,,,97
5,25005,66364,,,101758515.0,,,,2764354.0,Q662757,,,,,Steyregg,546885.0,,236881.0,,,,,52
6,25006,66365,03bc980a-8f76-11e1-848f-cfd5bf3ef515,,101736665.0,,,,6325493.0,Q1103923,,,,,"Kamouraska, Quebec",23394386.0,,1112323.0,,,,,436
7,25007,66366,0a65b57e-8f76-11e1-848f-cfd5bf3ef515,,101754937.0,,,,2986732.0,Q128369,,,,,Ploemeur,616941.0,,902897.0,,,,,218
8,25008,66368,,,101758519.0,,,,2798307.0,Q2356647,,,,,NaN,969624.0,,1286176.0,,,,,2354
9,25009,66370,0a519bb6-8f76-11e1-848f-cfd5bf3ef515,,101754939.0,,,,3007794.0,Q71535,,,,,Lanester,601200.0,,144327.0,,,,,106
10,25010,66371,08cadc6c-8f76-11e1-848f-cfd5bf3ef515,,101729981.0,,,,5808201.0,Q1006641,5357850.0,,,,"Republic, Washington",2480269.0,,1053220.0,,,,,1344
11,25011,66372,036a6f44-8f76-11e1-848f-cfd5bf3ef515,,101758521.0,,,,2800438.0,Q503363,,,,,Chaudfontaine,968283.0,,141516.0,,,,,119
12,25012,66374,,,101758525.0,,,,2798668.0,Q842970,,,,,Erps-Kwerps,969426.0,,182693.0,,,,,243
13,25013,66376,,,101729983.0,,,,5815599.0,Q917589,5377665.0,,,,"West Richland, Washington",2517642.0,,189045.0,,,,,1333
14,25014,66378,,,101736671.0,,,,6137322.0,Q3461668,,,,,"Saint-Adelphe, Quebec",23396488.0,,1095645.0,,,,,1332
15,25015,66379,,,101758533.0,,,,2783274.0,Q179249,,,,,Zemst,979147.0,,1145654.0,,,,,84
16,25016,66380,,,101758535.0,,,,2783913.0,Q2638828,,,,,Weerde,978751.0,,1072576.0,,,,,166
17,25017,66383,,,101729985.0,,,,5807487.0,Q543792,5356450.0,,,,"Prosser, Washington",,,280194.0,,,,,2056
18,25018,66385,0a579d68-8f76-11e1-848f-cfd5bf3ef515,,101759923.0,,,,2997965.0,Q383391,,,,,Locmaria-Plouzané,608332.0,,1156748.0,,,,,64
19,25019,66386,0a527068-8f76-11e1-848f-cfd5bf3ef515,,101759925.0,,,,2986674.0,Q383277,,,,,Plougastel-Daoulas,616992.0,,1342338.0,,,,,717
20,25020,66387,0a50c880-8f76-11e1-848f-cfd5bf3ef515,,101759927.0,,,,3021747.0,Q6912991,,,,,Morningside High School,588503.0,,1042287.0,,,http://en.wikipedia.org/wiki/Morningside_High_School,12584814.0,870
21,25021,66388,0a51b2ae-8f76-11e1-848f-cfd5bf3ef515,,101759929.0,,,,2997616.0,Q495647,,,,,Loperhet,608618.0,,144196.0,,,,,77
22,25022,66390,0a558ec4-8f76-11e1-848f-cfd5bf3ef515,,101759933.0,,,,3021328.0,Q221287,,,,,Dirinon,588797.0,,144678.0,,,,,57
23,25023,66391,0a5594c8-8f76-11e1-848f-cfd5bf3ef515,,101759935.0,,,,2976730.0,Q5449282,,,,,Filtvet,627160.0,,143376.0,,,http://en.wikipedia.org/wiki/Filtvet,3618321.0,179
24,25024,66392,0a571528-8f76-11e1-848f-cfd5bf3ef515,,101759937.0,,,,2977390.0,Q389304,,,,,Tresnuraghes,626547.0,,143405.0,,,http://en.wikipedia.org/wiki/Tresnuraghes,6824903.0,151
25,25025,66393,0a566308-8f76-11e1-848f-cfd5bf3ef515,,101759939.0,,,,2986685.0,Q622457,,,,,Plouénan,616983.0,,143765.0,,,,,43
26,25026,66394,0a506fac-8f76-11e1-848f-cfd5bf3ef515,,101759941.0,,,,3014304.0,Q475506,,,,,Guiclan,594015.0,,329390.0,,,,,46
27,25027,66395,0a5301ae-8f76-11e1-848f-cfd5bf3ef515,,101754941.0,,,,2992537.0,Q230365,,,,,Montgermont,612664.0,,336275.0,,,,,53
28,25028,66396,0a519a80-8f76-11e1-848f-cfd5bf3ef515,,101754943.0,,,,2979619.0,Q59236,,,,,Monsampietro Morico,624480.0,,455315.0,,,http://en.wikipedia.org/wiki/Monsampietro_Morico,6734875.0,120
29,25029,66397,,,101738525.0,,,,6049268.0,Q3217100,,,,,"Landrienne, Quebec",,,,,,,,223
30,25030,66398,0a546d0a-8f76-11e1-848f-cfd5bf3ef515,,101759943.0,,,,3028667.0,Q459642,,,,,Carantec,583026.0,,1339971.0,,,,,196
31,25031,66399,0a544410-8f76-11e1-848f-cfd5bf3ef515,,101754947.0,,,,3026842.0,Q216863,,,,,Chantepie,584496.0,,862555.0,,,,,53
32,25032,66401,0a508e38-8f76-11e1-848f-cfd5bf3ef515,,101759945.0,,,,2973303.0,Q328746,,,,,Taulé,628115.0,,143270.0,,,,,43
33,25033,66402,,,101738527.0,,,,6137618.0,Q3461990,,,,,"Saint-Clet, Quebec",,,,,,,,464
