,Unnamed: 0,Unnamed: 0.1,fct:id,nyt:id,wof:id,dbp:id,iata:code,faa:code,gn:id,wd:id,fips:code,fb:id,mzb:id,icao:code,wk:page,gp:id,loc:id,qs:id,oa:id,tgn:id,link,wk_page_id,wordcount
2811,22811,61633,0a42061a-8f76-11e1-848f-cfd5bf3ef515,,101762029.0,,,,3019313.0,Q1100865,,,,,Eurville-Bienville,590357.0,,173788.0,,,,,225
2812,22812,61636,0a44c3dc-8f76-11e1-848f-cfd5bf3ef515,,101762031.0,,,,2996540.0,Q1374766,,,,,Maizières-la-Grande-Paroisse,609427.0,,1229165.0,,,,,30
2813,22813,61642,03a04e5c-8f76-11e1-848f-cfd5bf3ef515,,101786025.0,,,,677667.0,Q664479,,,,,NaN,872567.0,,255879.0,,,,,2354
2814,22814,61645,,,101786027.0,,,,663813.0,Q1096174,,,,,NaN,,,126710.0,,,,,2354
2815,22815,61647,,,101786029.0,,,,674847.0,Q12117739,,,,,NaN,,,2.0,,,,,2354
2816,22816,61651,03a4da58-8f76-11e1-848f-cfd5bf3ef515,,101786033.0,,,,665754.0,Q2281894,,,,,NaN,881326.0,,1084398.0,,,,,2354
2817,22817,61655,,,101786035.0,,,,684057.0,Q12084423,,,,,NaN,,,1.0,,,,,2354
2818,22818,61656,,,421180949.0,,,,3847935.0,Q6492394,,,,,Las Paredes,468927.0,,468149.0,,,,,27
2819,22819,61657,,,421180951.0,,,,1729557.0,Q55696,,,,,"Bacolor, Pampanga",1160158.0,,468247.0,,,,,1265
2820,22820,61658,03a2b570-8f76-11e1-848f-cfd5bf3ef515,,101786037.0,,,,671443.0,Q2722204,,,,,NaN,877141.0,,127328.0,,,,,2354
2821,22821,61661,,,101786039.0,,,,669274.0,Q2289366,,,,,NaN,878803.0,,883774.0,,,,,2354
2822,22822,61663,,,421180959.0,,,,3836702.0,Q1874163,,,,,San Pedro de Colalao,332046.0,,468735.0,,,,,413
2823,22823,61665,03a5fd8e-8f76-11e1-848f-cfd5bf3ef515,,101786041.0,,,,662842.0,Q2291891,,,,,NaN,883589.0,,916562.0,,,,,2354
2824,22824,61666,,,421180963.0,,,,7289740.0,Q2641398,,,,,Orchard MRT Station,24703024.0,,468887.0,,,,,197
2825,22825,61668,03a4321a-8f76-11e1-848f-cfd5bf3ef515,,101786043.0,,,,667465.0,Q15884467,,,,,NaN,880087.0,,1279431.0,,,,,2354
2826,22826,61670,03a30dea-8f76-11e1-848f-cfd5bf3ef515,,101786045.0,,,,670472.0,Q15732446,,,,,NaN,877875.0,,1279145.0,,,,,2354
2827,22827,61671,,,421180971.0,,,,1722818.0,Q212280,,,,,"Buluan, Maguindanao",1198971.0,,1217357.0,,,,,473
2828,22828,61673,03a37d70-8f76-11e1-848f-cfd5bf3ef515,,101786047.0,,,,669339.0,Q15758000,,,,,NaN,878758.0,,1279257.0,,,,,2354
2829,22829,61674,,,421180975.0,,,,1710011.0,Q315164,,,,,"Kabacan, Cotabato",1199271.0,,1217374.0,,,,,1050
2830,22830,61676,,,101786051.0,,,,670134.0,Q12143139,,,,,NaN,878139.0,,412236.0,,,,,2354
2831,22831,61678,,,421180981.0,,,,3675214.0,Q1441429,,,,,Marsella,26797401.0,,483623.0,,,,,185
2832,22832,61679,,,101786053.0,,,,681557.0,Q12109977,,,,,NaN,,,2.0,,,,,2354
2833,22833,61683,,,101786055.0,,,,663255.0,Q738173,,,,,NaN,,,1.0,,,,,2354
2834,22834,61686,,,101786057.0,,,,686420.0,Q1096291,,,,,NaN,15001326.0,,128127.0,,,,,2354
