,Unnamed: 0,Unnamed: 0.1,fct:id,nyt:id,wof:id,dbp:id,iata:code,faa:code,gn:id,wd:id,fips:code,fb:id,mzb:id,icao:code,wk:page,gp:id,loc:id,qs:id,oa:id,tgn:id,link,wk_page_id,wordcount
0,70000,168520,01f03f86-8f76-11e1-848f-cfd5bf3ef515,,101855413.0,,,,2759483.0,Q2319771,,,,,Bakkum,727455.0,,5.0,,7257612.0,,,93
1,70001,168522,115bb4dc-8f76-11e1-848f-cfd5bf3ef515,,101844787.0,,,,3200917.0,Q1018619,,,,,"Dvor, Croatia",847645.0,,218873.0,,,,,496
2,70002,168523,0a608748-8f76-11e1-848f-cfd5bf3ef515,,101893595.0,,,,2980825.0,Q17804,,,,,Cortiglione,623782.0,,35515.0,,,http://en.wikipedia.org/wiki/Cortiglione,6557983.0,108
3,70003,168525,,,101833783.0,,,,675791.0,Q12173411,,,,,NaN,,,,,,,,2354
4,70004,168526,0a5a2c72-8f76-11e1-848f-cfd5bf3ef515,,101895635.0,,,,2976554.0,Q488388,,,,,Hemne,627323.0,,1232665.0,,,http://en.wikipedia.org/wiki/Hemne,178430.0,449
5,70005,168528,115dd262-8f76-11e1-848f-cfd5bf3ef515,,101844789.0,,,,3187232.0,Q4550,,,,,Gvozd,55853642.0,,1098751.0,,,,,413
6,70006,168530,0a47f4a8-8f76-11e1-848f-cfd5bf3ef515,,101887777.0,,,,3024268.0,Q1936970,,,,,Natural Bridges National Monument,586519.0,,1225993.0,,,http://en.wikipedia.org/wiki/Natural_Bridges_National_Monument,293870.0,1135
7,70007,168532,0a5c822e-8f76-11e1-848f-cfd5bf3ef515,,101895637.0,,,,3003132.0,Q5504635,,,,,Frio Town,605139.0,,934097.0,,,http://en.wikipedia.org/wiki/Frio_Town,7129787.0,690
8,70008,168533,0a62a438-8f76-11e1-848f-cfd5bf3ef515,,101893601.0,,,,2981316.0,Q103058,,,,,Castellina Marittima,623322.0,,1138570.0,,,http://en.wikipedia.org/wiki/Castellina_Marittima,6737215.0,71
9,70009,168534,0a47fb10-8f76-11e1-848f-cfd5bf3ef515,,101884863.0,,,,2967316.0,Q516081,,,,,Bully-les-Mines,632967.0,,200285.0,,,http://en.wikipedia.org/wiki/Bully-les-Mines,5404967.0,638
10,70010,168535,,,101846969.0,,,,660652.0,Q15199541,,,,,Björköby,564412.0,,1165977.0,,,,,66
11,70011,168537,,,101833789.0,,,,677154.0,Q12095996,,,,,NaN,,,1.0,,,,,2354
12,70012,168538,1463b74c-8f76-11e1-848f-cfd5bf3ef515,,101927831.0,,,,948468.0,Q993189,,,,,Tongaat,1588171.0,,,,,,,503
13,70013,168542,1463b74c-8f76-11e1-848f-cfd5bf3ef515,,101927833.0,,,,948468.0,Q993189,,,,,Tongaat,1588171.0,,,,,,,503
14,70014,168543,,,101844793.0,,,,3194258.0,Q2094716,,,,,Odranski Obrež,,,6.0,,,,,48
15,70015,168544,03a3cec4-8f76-11e1-848f-cfd5bf3ef515,,101833791.0,,,,668488.0,Q913417,,,,,NaN,879350.0,,967843.0,,,,,2354
16,70016,168546,,,101822757.0,,,,760055.0,Q1028027,,,,,Rudnik nad Sanem,12618360.0,,24200.0,,,,,610
17,70017,168547,,,101844795.0,,,,3186671.0,Q1270346,,,,,Zdenci,851192.0,,1275752.0,,,,,49
18,70018,168548,,,101846973.0,,,,654533.0,Q646502,,,,,Kälviä,566678.0,,1206919.0,,,,,199
19,70019,168551,,,101846975.0,,,,648178.0,Q1009103,,,,,Lestijärvi,12591057.0,,1027234.0,,,,,216
20,70020,168554,,,101817731.0,,,,3100637.0,Q497138,,,,,Darłowo,491267.0,,1058701.0,,,,,4454
21,70021,168555,,,101833793.0,,,,6945426.0,Q16898352,,,,,NaN,,,653155.0,,,,,2354
22,70022,168556,0a430736-8f76-11e1-848f-cfd5bf3ef515,,101882591.0,,,,3013713.0,Q224872,,,,,Lake Winnipesaukee,594520.0,,929275.0,,,http://en.wikipedia.org/wiki/Lake_Winnipesaukee,212410.0,2884
23,70023,168559,,,101833795.0,,,,669012.0,Q12147353,,,,,NaN,878980.0,,412469.0,,,,,2354
24,70024,168561,,,101817733.0,,,,3089392.0,Q988651,,,,,Pasłęk,24547632.0,,962426.0,,,,,278
25,70025,168565,,,101874277.0,,,,2759757.0,Q551562,,,,,Anjum,727302.0,,1350362.0,,4000704.0,,,152
26,70026,168568,,,101833797.0,,,,684618.0,Q12082888,,,,,NaN,,,5.0,,,,,2354
27,70027,168570,03a26cfa-8f76-11e1-848f-cfd5bf3ef515,,101835533.0,,,,672156.0,Q12133890,,,,,NaN,876603.0,,411839.0,,,,,2354
28,70028,168571,0a410e0e-8f76-11e1-848f-cfd5bf3ef515,,101882597.0,,,,3021390.0,Q22453,,,,,Diffembach-lès-Hellimer,588749.0,,928982.0,,,,,24
29,70029,168572,0a4bce2a-8f76-11e1-848f-cfd5bf3ef515,,101830773.0,,,,3037689.0,Q1066223,,,,,Andrézieux-Bouthéon,576086.0,,245216.0,,,,,43
30,70030,168575,,,101835535.0,,,,669914.0,Q12142346,,,,,NaN,878360.0,,412288.0,,,,,2354
31,70031,168579,0a4b2f10-8f76-11e1-848f-cfd5bf3ef515,,101830775.0,,,,2980052.0,Q687892,,,,,Saint-Galmier,624081.0,,1040953.0,,,,,141
