,fct:id,nyt:id,wof:id,dbp:id,iata:code,faa:code,gn:id,wd:id,fips:code,fb:id,mzb:id,icao:code,wk:page,gp:id,loc:id,qs:id,oa:id,tgn:id,link,wk_page_id,wordcount
0,08c93e16-8f76-11e1-848f-cfd5bf3ef515,,85971711.0,,,,4401487.0,Q373537,2953786.0,,,,"Oak Ridge, Missouri",28339244.0,,206656.0,,,,,1168
1,,,101934789.0,,,,7289870.0,Q1964621,,,,,"Marcus Beach, Queensland",22721597.0,,31012.0,,,,,127
2,,,101934795.0,,,,8348890.0,Q6773221,,,,,"Marsden, Queensland",,,,,,,,232
3,038a3252-8f76-11e1-848f-cfd5bf3ef515,,101941855.0,,,,6317835.0,Q1647045,,,,,Pacaraima,56123241.0,,1029030.0,,,,,80
4,0348ecfc-8f76-11e1-848f-cfd5bf3ef515,,101934803.0,,,,8348883.0,Q6801003,,,,,"McDowall, Queensland",7225479.0,,,,,,,634
5,,,85969975.0,,,,4444901.0,Q2037778,2864800.0,,,,"Sallis, Mississippi",2487524.0,,1158267.0,,,,,506
6,032fcbbe-8f76-11e1-848f-cfd5bf3ef515,,101935741.0,,,,6941403.0,Q489981,,,,,"Andamooka, South Australia",1099906.0,,875918.0,,,,,1122
7,,,101934807.0,,,,8348893.0,Q6803323,,,,,"Meadowbrook, Queensland",,,,,,,,641
8,0386818e-8f76-11e1-848f-cfd5bf3ef515,,101953329.0,,,,3446392.0,Q2077872,,,,,"Tocantins, Minas Gerais",453800.0,,147875.0,,,,,53
9,,,101935761.0,,,,8349337.0,Q4821752,,,,,"Auldana, South Australia",22721645.0,,112939.0,,,,,90
10,032fd226-8f76-11e1-848f-cfd5bf3ef515,,101935763.0,,,,2077347.0,Q2086426,,,,,"Balaklava, South Australia",1100051.0,,138229.0,,,,,1141
11,032fbe62-8f76-11e1-848f-cfd5bf3ef515,,101935765.0,,,,2077296.0,Q2675436,,,,,Balhannah,1094205.0,,,,,,,137
12,,,101935767.0,,,,8347849.0,Q4856537,,,,,"Banksia Park, South Australia",22721721.0,,205791.0,,,,,203
13,08c2e2e6-8f76-11e1-848f-cfd5bf3ef515,,85970463.0,,,,4385660.0,Q956314,2922312.0,,,,"Emma, Missouri",2399440.0,,1152465.0,,,,,738
14,038696e2-8f76-11e1-848f-cfd5bf3ef515,,101941571.0,,,,3662574.0,Q171612,,,,,"Rio Branco, Acre",455904.0,,353367.0,,,,,1954
15,08c2dae4-8f76-11e1-848f-cfd5bf3ef515,,85970467.0,,,,4385603.0,Q953283,2922114.0,,,,"Elsberry, Missouri",2399154.0,,848718.0,,,,,852
16,,,101935783.0,,,,8349404.0,Q4899382,,,,,"Beverley, South Australia",,,,,,,,622
17,,,101935779.0,,,,2176071.0,Q827089,,,,,"Berri, South Australia",,,1034244.0,,,,,900
18,,,85826347.0,,,,5194366.0,Q1182276,,,,,"Houserville, Pennsylvania",2424740.0,,157839.0,,,,,633
19,,,85970685.0,,,,4374751.0,Q2178535,2901018.0,,,,"Amazonia, Missouri",,,1048675.0,,,,,767
20,08b9d3fe-8f76-11e1-848f-cfd5bf3ef515,,85970243.0,,,,4436543.0,Q6908363,2848720.0,,,,"Mooreville, Mississippi",2366885.0,,1077331.0,,,,,127
21,08b87f04-8f76-11e1-848f-cfd5bf3ef515,,85970247.0,,,,4429973.0,Q3471905,2832820.0,,,,"Holcomb, Mississippi",2422908.0,,1048925.0,,,,,182
22,087aeca2-8f76-11e1-848f-cfd5bf3ef515,,85970245.0,,,,4425561.0,Q3613115,2821940.0,,,,"Elliott, Mississippi",2398703.0,,261671.0,,,,,55
23,,,101934643.0,,,,8349198.0,Q14935458,,,,,"Kearneys Spring, Queensland",,,,,,,,192
24,08c1886a-8f76-11e1-848f-cfd5bf3ef515,,85970483.0,,,,4382384.0,Q963909,2916408.0,,,,"Corder, Missouri",2384962.0,,234736.0,,,,,766
25,,,101936993.0,,,,8348599.0,Q5050647,,,,,"Castletown, Western Australia",,,,,,,,214
26,,,85827381.0,,,,5122584.0,Q3460393,,,,,"Jefferson Heights, New York",2428886.0,,1174105.0,,,,,475
27,08cbda18-8f76-11e1-848f-cfd5bf3ef515,,85972143.0,,,,4408000.0,Q966486,2966440.0,,,,"Sedalia, Missouri",2490493.0,,353788.0,,,,,5165
28,03315e3e-8f76-11e1-848f-cfd5bf3ef515,,101936999.0,,,,2074700.0,Q5055079,,,,,"Caversham, Western Australia",1094993.0,,918368.0,,,,,69
29,08ad95e4-8f76-11e1-848f-cfd5bf3ef515,,85970195.0,,,,4450964.0,Q3612356,2879620.0,,,,"White Oak, Mississippi",2519384.0,,15121.0,,,,,48
30,08c15070-8f76-11e1-848f-cfd5bf3ef515,,85969695.0,,,,4422289.0,Q892656,2814900.0,,,,"Coldwater, Mississippi",2382806.0,,153677.0,,,,,1089
31,,,101933795.0,,,,2177970.0,Q4741354,,,,,"Amberley, Queensland",,,,,,,,395
32,0348ea04-8f76-11e1-848f-cfd5bf3ef515,,101934601.0,,,,8347909.0,Q6127839,,,,,"Jamboree Heights, Queensland",7225462.0,,1236734.0,,,,,225
33,0330980a-8f76-11e1-848f-cfd5bf3ef515,,101937669.0,,,,2063604.0,Q918067,,,,,"Pemberton, Western Australia",1104954.0,,138002.0,,,,,1135
34,0349dcc0-8f76-11e1-848f-cfd5bf3ef515,,101934619.0,,,,8349247.0,Q14935456,,,,,"Kangaroo Point, Queensland",22721498.0,,,,,,,2202
35,08c296ce-8f76-11e1-848f-cfd5bf3ef515,,85970771.0,,,,4385127.0,Q952439,2921034.0,,,,"Easton, Missouri",2396498.0,,802812.0,,,,,896
36,,,101939819.0,,,,2157076.0,Q2247748,,,,,"Moonbi, New South Wales",1104059.0,,1205715.0,,,,,424
37,,,85827581.0,,,,5195578.0,Q6271981,,,,,"Jonas, Pennsylvania",2429737.0,,328850.0,,,,,68
38,08cd2968-8f76-11e1-848f-cfd5bf3ef515,,85971659.0,,,,4411733.0,Q2375092,2973240.0,,,,"Tightwad, Missouri",2506312.0,,271486.0,,,,,844
39,,,101935743.0,,,,8348194.0,Q4759071,,,,,"Andrews Farm, South Australia",22721719.0,,246092.0,,,,,459
40,03869d9a-8f76-11e1-848f-cfd5bf3ef515,,101951825.0,,,,3456500.0,Q1637446,,,,,Muriaé,455971.0,,1256090.0,,,,,429
41,,,85972009.0,,,,4385974.0,Q957165,2923122.0,,,,"Exeter, Missouri",2401072.0,,197146.0,,,,,818
42,,,85972011.0,,,,4404848.0,Q964928,2960176.0,,,,"Purdy, Missouri",2477329.0,,919272.0,,,,,894
43,,,85972017.0,,,,4414343.0,Q960346,2979126.0,,,,"Wheaton, Missouri",2518893.0,,202069.0,,,,,781
44,0388c638-8f76-11e1-848f-cfd5bf3ef515,,101941603.0,,,,3924895.0,Q22057030,,,,,,457832.0,,213077.0,,,,,2354
45,08c707a4-8f76-11e1-848f-cfd5bf3ef515,,85971561.0,,,,4396611.0,Q954724,2944390.0,,,,"Ludlow, Missouri",2442954.0,,1048796.0,,,,,740
46,08c8bde2-8f76-11e1-848f-cfd5bf3ef515,,85971441.0,,,,4400260.0,Q952379,2951824.0,,,,"New Franklin, Missouri",2458303.0,,153575.0,,,,,924
47,08c7732e-8f76-11e1-848f-cfd5bf3ef515,,85971201.0,,,,4397211.0,Q954882,2946316.0,,,,"Marshall, Missouri",2446109.0,,464125.0,,,,,1869
48,08c661aa-8f76-11e1-848f-cfd5bf3ef515,,85971671.0,,,,5055870.0,Q966205,2940736.0,,,,"Laredo, Missouri",2436568.0,,1051191.0,,,,,765
49,08c500da-8f76-11e1-848f-cfd5bf3ef515,,85971567.0,,,,4390602.0,Q963991,2932068.0,,,,"Highlandville, Missouri",2421635.0,,198007.0,,,,,766
50,0385f6b0-8f76-11e1-848f-cfd5bf3ef515,,101951777.0,,,,3459860.0,Q1791300,,,,,Joanésia,436916.0,,8.0,,,,,130
51,08c3bbe4-8f76-11e1-848f-cfd5bf3ef515,,85971673.0,,,,5055093.0,Q958186,2926362.0,,,,"Galt, Missouri",2408572.0,,273669.0,,,,,740
52,03869020-8f76-11e1-848f-cfd5bf3ef515,,101952957.0,,,,3444876.0,Q276176,,,,,Volta Redonda,455666.0,,1141993.0,,,,,598
53,08c9d790-8f76-11e1-848f-cfd5bf3ef515,,85970341.0,,,,4402578.0,Q1875997,2956432.0,,,,"Pascola, Missouri",2469021.0,,592154.0,,,,,721
54,08c543f6-8f76-11e1-848f-cfd5bf3ef515,,85971679.0,,,,4391398.0,Q126068,2933364.0,,,,"Howardville, Missouri",2424998.0,,1022533.0,,,,,764
55,08be7170-8f76-11e1-848f-cfd5bf3ef515,,85971689.0,,,,4374669.0,Q2121434,2900748.0,,,,"Allenville, Missouri",2353427.0,,45193.0,,,,,850
56,08cede7a-8f76-11e1-848f-cfd5bf3ef515,,85970345.0,,,,5057950.0,Q954979,2981070.0,,,,"Worth, Missouri",2523997.0,,1148221.0,,,,,763
57,08cbe198-8f76-11e1-848f-cfd5bf3ef515,,85971115.0,,,,4408052.0,Q960374,2966638.0,,,,"Senath, Missouri",2490788.0,,200939.0,,,,,871
58,08cc9c1e-8f76-11e1-848f-cfd5bf3ef515,,85970337.0,,,,4410101.0,Q955617,2970558.0,,,,"Steele, Missouri",2499432.0,,211788.0,,,,,843
59,,,85827667.0,,,,4473860.0,Q6297734,,,,,"Joyland, North Carolina",2430120.0,,1170901.0,,,,,41
60,03496952-8f76-11e1-848f-cfd5bf3ef515,,101932721.0,,,,8348829.0,Q47002,,,,,"Carlton, Victoria",7226265.0,,,,,,,1943
61,08c735e4-8f76-11e1-848f-cfd5bf3ef515,,85971119.0,,,,4396871.0,Q954015,2945614.0,,,,"Malden, Missouri",2444444.0,,464038.0,,,,,1300
62,,,101932725.0,,,,7932636.0,Q5043870,,,,,"Carnegie, Victoria",,,,,,,,598
63,08988758-8f76-11e1-848f-cfd5bf3ef515,,85971223.0,,,,4402889.0,Q3709710,2956882.0,,,,"Pendleton, Missouri",2470163.0,,1335560.0,,,,,347
64,08c777ca-8f76-11e1-848f-cfd5bf3ef515,,85971225.0,,,,4397248.0,Q964448,2946424.0,,,,"Marthasville, Missouri",2446245.0,,153557.0,,,,,876
65,08c56dfe-8f76-11e1-848f-cfd5bf3ef515,,85971449.0,,,,4391812.0,Q24603,2935000.0,,,,"Independence, Missouri",2426709.0,,364531.0,,,,,4269
66,08ccb578-8f76-11e1-848f-cfd5bf3ef515,,85971529.0,,,,4410425.0,Q958883,2971044.0,,,,"Stover, Missouri",2500636.0,,1048835.0,,,,,803
67,08c1ed64-8f76-11e1-848f-cfd5bf3ef515,,85971235.0,,,,5054670.0,Q1824749,2918316.0,,,,"Darlington, Missouri",2389437.0,,470556.0,,,,,691
68,08be587a-8f76-11e1-848f-cfd5bf3ef515,,85971233.0,,,,5053875.0,Q945046,2900514.0,,,,"Albany, Missouri",2352643.0,,924427.0,,,,,878
69,08cf0fd0-8f76-11e1-848f-cfd5bf3ef515,,85971227.0,,,,4391980.0,Q2281804,2935240.0,,,,"Innsbrook, Missouri",23417648.0,,24808.0,,,,,780
70,,,85824419.0,,,,5355989.0,Q981393,,,,,"Hazelton, California",2419272.0,,468534.0,,,,,101
71,03307708-8f76-11e1-848f-cfd5bf3ef515,,101939827.0,,,,2156927.0,Q187859,,,,,"Moree, New South Wales",1104099.0,,273638.0,,,,,2175
72,08b8e278-8f76-11e1-848f-cfd5bf3ef515,,85970311.0,,,,4432310.0,Q2131161,2837600.0,,,,"Kiln, Mississippi",2432310.0,,1048928.0,,,,,745
73,,,101930881.0,,,,8348617.0,Q6406492,,,,,"Kilaben Bay, New South Wales",28645158.0,,345467.0,,,,,265
74,08c518ea-8f76-11e1-848f-cfd5bf3ef515,,85971127.0,,,,4390911.0,Q959942,2932536.0,,,,"Holcomb, Missouri",2422903.0,,1227937.0,,,,,783
75,08c15174-8f76-11e1-848f-cfd5bf3ef515,,85971133.0,,,,4381856.0,Q957564,2915436.0,,,,"Cole Camp, Missouri",2382829.0,,12150.0,,,,,914
76,08c6b1dc-8f76-11e1-848f-cfd5bf3ef515,,85971147.0,,,,4395324.0,Q961897,2942608.0,,,,"Lincoln, Missouri",2439454.0,,809673.0,,,,,609
77,08caa436-8f76-11e1-848f-cfd5bf3ef515,,85971751.0,,,,4404916.0,Q403681,2960428.0,,,,"Qulin, Missouri",2477964.0,,200434.0,,,,,785
