,fct:id,nyt:id,wof:id,dbp:id,iata:code,faa:code,gn:id,wd:id,fips:code,fb:id,mzb:id,icao:code,wk:page,gp:id,loc:id,qs:id,oa:id,tgn:id,link,wk_page_id,wordcount
3554,,,101787583.0,,,,2901572.0,Q533232,,,,,Hohenpeißenberg,,,142384.0,,,,,842
3555,,,101787585.0,,,,2955914.0,Q532016,,,,,Antdorf,,,579962.0,,,,,25
3556,,,101787587.0,,,,2835470.0,Q513143,,,,,Schwabsoien,,,93092.0,,,,,25
3557,,,101787589.0,,,,2855025.0,Q518123,,,,,Peiting,684452.0,,1074250.0,,,,,58
3558,,,101787591.0,,,,2810581.0,Q7984160,,,,,Wessobrunn Abbey,705641.0,,1152627.0,,,,,854
3559,0836c356-8f76-11e1-848f-cfd5bf3ef515,,101774467.0,,,,3123623.0,Q1641115,,,,,El Burgo de Ebro,759041.0,,1354625.0,,,,,46
3560,,,421195883.0,,,,1680932.0,Q2200,,,,,Tuguegarao,1199949.0,,133949.0,,,,,1786
3561,,,421195885.0,,,,1712240.0,Q132141,,,,,"Guipos, Zamboanga del Sur",1173716.0,,135318.0,,,,,260
3562,082be6fc-8f76-11e1-848f-cfd5bf3ef515,,101774469.0,,,,3119384.0,Q1639365,,,,,La Muela,763735.0,,241167.0,,,,,49
3563,,,421195891.0,,,,1723313.0,Q492325,,,,,"Bugasong, Antique",56121399.0,,135581.0,,,,,487
3564,08377c06-8f76-11e1-848f-cfd5bf3ef515,,101774471.0,,,,3123106.0,Q1553092,,,,,Épila,759959.0,,1354705.0,,,,,105
3565,08416504-8f76-11e1-848f-cfd5bf3ef515,,101779233.0,,,,2511633.0,Q1641690,,,,,Sabiote,772358.0,,1036147.0,,,,,27
3566,,,421195895.0,,,,2095038.0,Q4208534,,,,,Kainantu,1062117.0,,138351.0,,,,,3485
3567,,,421195897.0,,,,2230028.0,Q6430329,,,,,Kontcha,1302167.0,,139038.0,,,,,83
3568,08314034-8f76-11e1-848f-cfd5bf3ef515,,101774473.0,,,,3130409.0,Q1639169,,,,,Alfajarín,752027.0,,450485.0,,,,,43
3569,,,101774477.0,,,,6362890.0,Q1641053,,,,,Pastriz,779320.0,,987213.0,,,,,45
3570,,,421195899.0,,,,2230876.0,Q2708439,,,,,Guider,1301743.0,,139039.0,,,,,60
3571,,,421195901.0,,,,2231506.0,Q1439847,,,,,Foumban,1301407.0,,139042.0,,,,,818
3572,,,101770699.0,,,,2999296.0,Q1004131,,,,,Le Taillan-Médoc,,,,,,,,21
3573,0a590dba-8f76-11e1-848f-cfd5bf3ef515,,101770701.0,,,,3019016.0,Q457674,,,,,Fargues-Saint-Hilaire,590570.0,,933379.0,,,,,23
