,fct:id,nyt:id,wof:id,dbp:id,iata:code,faa:code,gn:id,wd:id,fips:code,fb:id,mzb:id,icao:code,wk:page,gp:id,loc:id,qs:id,oa:id,tgn:id,link,wk_page_id,wordcount
3540,,,85672367.0,,,,443793.0,Q1105893,,,,,Qazvin Province,20070200.0,,896387.0,,,,,2240
3541,,,85673611.0,,,,2218972.0,Q26153,,,,,Zawiya District,2346136.0,,1083842.0,,,,,149
3542,,,85672927.0,,,,1524787.0,Q815330,,,,,South Kazakhstan Region,2345982.0,,894911.0,,,,,803
3543,,,85673627.0,,,,443289.0,Q32841,,,,,Jabal al Akhdar,2346132.0,,235608.0,,,,,204
3544,,,85672931.0,,,,1524444.0,Q486657,,,,,Jambyl Region,2345983.0,,318524.0,,,,,438
3545,01879e04-8f76-11e1-848f-cfd5bf3ef515,,85672937.0,,,,1537162.0,Q186466,,,,,Almaty Region,20070179.0,,332221.0,,,,,599
3546,,,85673703.0,,,,3576567.0,Q1240193,,,,,Micoud Quarter,2347030.0,,1322126.0,,,,,69
3547,,,85673707.0,,,,3576507.0,Q1567791,,,,,Praslin Quarter,2347033.0,,1083867.0,,,,,45
3548,,,85672369.0,,,,142550.0,Q134411,,,,,West Azerbaijan Province,2345767.0,,890076.0,,,,,2991
3549,12df6a9c-8f76-11e1-848f-cfd5bf3ef515,,85672711.0,,,,1864226.0,Q123376,,,,,Ehime Prefecture,2345855.0,,900702.0,,,,,727
3550,,,85672373.0,,,,142549.0,Q176081,,,,,East Azerbaijan Province,2345768.0,,890077.0,,,,,1548
3551,12df6a6a-8f76-11e1-848f-cfd5bf3ef515,,85672715.0,,,,1860834.0,Q161454,,,,,Kagawa Prefecture,2345866.0,,900705.0,,,,,915
3552,,,85673085.0,,,,1830306.0,Q652830,,,,,Mondulkiri Province,2344936.0,,1083807.0,,,,,800
3553,,,85672379.0,,,,128222.0,Q174010,,,,,Kermanshah Province,2345777.0,,219563.0,,,,,1547
3554,,,85672383.0,,,,133349.0,Q928828,,,,,Gilan Province,2345773.0,,894891.0,,,,,3172
3555,,,85672717.0,,,,1859133.0,Q134093,,,,,Kōchi Prefecture,2345869.0,,221172.0,,,,,448
3556,,,85672387.0,,,,126584.0,Q134386,,,,,Kurdistan Province,2345779.0,,423772.0,,,,,1505
3557,,,85672729.0,,,,1850157.0,Q160734,,,,,Tokushima Prefecture,2345888.0,,221173.0,,,,,1706
3558,,,85673801.0,,,,1250614.0,Q799713,,,,,Badulla District,23706499.0,,219950.0,,,,,287
3559,,,85673803.0,,,,1234818.0,Q923420,,,,,Monaragala District,23706500.0,,219951.0,,,,,152
3560,,,85789427.0,,,,2641479.0,Q7041531,,,,,Nitshill,30331.0,,1113911.0,,,,,494
3561,,,85673711.0,,,,3576441.0,Q1472841,,,,,Soufrière Quarter,2347031.0,,318870.0,,,,,437
3562,,,85673717.0,,,,3576413.0,Q1472864,,,,,Vieux Fort Quarter,2347032.0,,1083866.0,,,,,391
3563,,,85673719.0,,,,1241621.0,Q723002,,,,,Kandy District,23706513.0,,1192924.0,,,,,81
3564,,,85673723.0,,,,1235854.0,Q787421,,,,,Matale District,23706512.0,,1192923.0,,,,,130
3565,,,101735771.0,,,,6067959.0,Q1013150,,,,,"Mattawa, Ontario",,,,,,,,1449
3566,,,101735773.0,,,,6088485.0,Q1993247,,,,,Nipigon,1087.0,,1053540.0,,,,,732
3567,,,101735779.0,,,,6155736.0,Q3182395,,,,,"St. Charles, Ontario",1420.0,,271243.0,,,,,144
3568,,,101735781.0,,,,5977046.0,Q729585,,,,,Hornepayne,3113.0,,160274.0,,,,,493
