,fct:id,nyt:id,wof:id,dbp:id,iata:code,faa:code,gn:id,wd:id,fips:code,fb:id,mzb:id,icao:code,wk:page,gp:id,loc:id,qs:id,oa:id,tgn:id,link,wk_page_id,wordcount
0,12b75692-8f76-11e1-848f-cfd5bf3ef515,,101796437.0,,,,3168855.0,Q18441605,,,,,,722103.0,,270951.0,,,,,2354
1,12b4e858-8f76-11e1-848f-cfd5bf3ef515,,101796449.0,,,,3173370.0,Q100065,,,,,Mirandola,718395.0,,284653.0,,,,,337
2,,,85799161.0,,,,6544487.0,Q2000929,,,,,Arganzuela,752863.0,,217240.0,,,,,88
3,,,101794841.0,,,,664598.0,Q2721524,,,,,,,,126821.0,,,,,2354
4,,,101794863.0,,,,667195.0,Q2721311,,,,,,,,126993.0,,,,,2354
5,,,101794865.0,,,,667168.0,Q2721573,,,,,,,,9.0,,,,,2354
6,,,101794867.0,,,,670222.0,Q2549893,,,,,,878079.0,,127266.0,,,,,2354
7,,,101794871.0,,,,682264.0,Q12170133,,,,,,869177.0,,262273.0,,,,,2354
8,03a28668-8f76-11e1-848f-cfd5bf3ef515,,101794873.0,,,,671902.0,Q2717766,,,,,,876793.0,,127354.0,,,,,2354
9,,,101794875.0,,,,683869.0,Q12084580,,,,,,868017.0,,1288638.0,,,,,2354
10,03a69366-8f76-11e1-848f-cfd5bf3ef515,,101794877.0,,,,679822.0,Q2780037,,,,,,15001737.0,,127726.0,,,,,2354
11,03a09f24-8f76-11e1-848f-cfd5bf3ef515,,101794879.0,,,,676858.0,Q2539448,,,,,,873152.0,,127587.0,,,,,2354
12,039d6764-8f76-11e1-848f-cfd5bf3ef515,,101794883.0,,,,685477.0,Q2717304,,,,,,866867.0,,128051.0,,,,,2354
13,03a36ce0-8f76-11e1-848f-cfd5bf3ef515,,101794885.0,,,,669514.0,Q12145741,,,,,,878636.0,,967816.0,,,,,2354
14,03a39274-8f76-11e1-848f-cfd5bf3ef515,,101794891.0,,,,669126.0,Q2717778,,,,,,878902.0,,1084189.0,,,,,2354
15,03a57f80-8f76-11e1-848f-cfd5bf3ef515,,101794901.0,,,,664050.0,Q12163575,,,,,,882565.0,,914461.0,,,,,2354
16,,,85808499.0,,,,4137864.0,Q4999126,,,,,Burleith,2372035.0,,898213.0,,,,,346
17,,,85799199.0,,,,3128395.0,Q2620343,,,,,Begoña,754074.0,,905398.0,,,,,149
18,03a16602-8f76-11e1-848f-cfd5bf3ef515,,101794917.0,,,,674830.0,Q12117773,,,,,,874627.0,,411316.0,,,,,2354
19,03a461d6-8f76-11e1-848f-cfd5bf3ef515,,101794921.0,,,,667020.0,Q2539190,,,,,,880408.0,,1279490.0,,,,,2354
20,,,101794929.0,,,,678555.0,Q3786792,,,,,,871912.0,,1083597.0,,,,,2354
21,,,101794913.0,,,,683871.0,Q12084781,,,,,,868006.0,,1127662.0,,,,,2354
22,,,85799393.0,,,,3121245.0,Q852697,,,,,Gràcia,761739.0,,1168382.0,,,,,2460
23,08cb21cc-8f76-11e1-848f-cfd5bf3ef515,,85913371.0,,,,4086637.0,Q68041,165472.0,,,,"Rockford, Alabama",2483368.0,,151619.0,,,,,778
24,08b8d6d4-8f76-11e1-848f-cfd5bf3ef515,,85913375.0,,,,4070603.0,Q66856,139472.0,,,,"Kellyton, Alabama",2431287.0,,485768.0,,,,,205
25,08c8deda-8f76-11e1-848f-cfd5bf3ef515,,85913391.0,,,,4080144.0,Q66780,153784.0,,,,"Newbern, Alabama",2459312.0,,245354.0,,,,,778
26,08cc9c50-8f76-11e1-848f-cfd5bf3ef515,,85913387.0,,,,4091755.0,Q67349,172888.0,,,,"Steele, Alabama",2499433.0,,213451.0,,,,,874
27,12b124f2-8f76-11e1-848f-cfd5bf3ef515,,101796455.0,,,,3180916.0,Q100040,,,,,Camposanto,711950.0,,1346750.0,,,,,169
28,12b05f18-8f76-11e1-848f-cfd5bf3ef515,,101796459.0,,,,3182286.0,Q100036,,,,,Bastiglia,710784.0,,1043829.0,,,,,89
29,12b6f85a-8f76-11e1-848f-cfd5bf3ef515,,101796463.0,,,,3169565.0,Q100089,,,,,Ravarino,721532.0,,1043517.0,,,,,98
30,,,101796475.0,,,,3164147.0,Q18447569,,,,,,,,1.0,,,,,2354
31,,,101796481.0,,,,3175720.0,Q111202,,,,,Gualtieri,12677381.0,,1108207.0,,,,,186
32,,,101796487.0,,,,3181056.0,Q111122,,,,,Campagnola Emilia,711828.0,,1147875.0,,,,,94
33,039f6da2-8f76-11e1-848f-cfd5bf3ef515,,101794889.0,,,,680012.0,Q12115609,,,,,,870827.0,,916309.0,,,,,2354
34,08c9f0d6-8f76-11e1-848f-cfd5bf3ef515,,85913409.0,,,,4082589.0,Q79584,158896.0,,,,"Pell City, Alabama",2470039.0,,240332.0,,,,,1959
35,039e34f0-8f76-11e1-848f-cfd5bf3ef515,,101794933.0,,,,683328.0,Q2717380,,,,,,868402.0,,1278046.0,,,,,2354
36,039ef372-8f76-11e1-848f-cfd5bf3ef515,,101794935.0,,,,681338.0,Q2465969,,,,,,869865.0,,1083532.0,,,,,2354
37,,,101794937.0,,,,673093.0,Q2291888,,,,,,,,1027685.0,,,,,2354
38,,,101794943.0,,,,678529.0,Q586861,,,,,,871931.0,,249997.0,,,,,2354
39,039f87ce-8f76-11e1-848f-cfd5bf3ef515,,101794951.0,,,,679772.0,Q12100120,,,,,,871003.0,,410333.0,,,,,2354
40,,,101794881.0,,,,670434.0,Q12140956,,,,,,877905.0,,250065.0,,,,,2354
41,039ed48c-8f76-11e1-848f-cfd5bf3ef515,,101794955.0,,,,681650.0,Q12170627,,,,,,869634.0,,1278210.0,,,,,2354
42,03a13be6-8f76-11e1-848f-cfd5bf3ef515,,101794957.0,,,,675267.0,Q12104926,,,,,,874308.0,,127513.0,,,,,2354
43,,,101794949.0,,,,671681.0,Q16898405,,,,,,,,127341.0,,,,,2354
44,03a60054-8f76-11e1-848f-cfd5bf3ef515,,101794963.0,,,,662805.0,Q16898412,,,,,,883608.0,,632208.0,,,,,2354
45,,,101794965.0,,,,662807.0,Q12089406,,,,,,,,1027281.0,,,,,2354
46,,,101794967.0,,,,671719.0,Q12136283,,,,,,876928.0,,1279047.0,,,,,2354
47,03a3b45c-8f76-11e1-848f-cfd5bf3ef515,,101794971.0,,,,668751.0,Q2465565,,,,,,879163.0,,1219728.0,,,,,2354
48,039fa3c6-8f76-11e1-848f-cfd5bf3ef515,,101794969.0,,,,679450.0,Q1987188,,,,,,871263.0,,410415.0,,,,,2354
49,,,101794973.0,,,,665653.0,Q278492,,,,,,881395.0,,180986.0,,,,,2354
50,03a0dc82-8f76-11e1-848f-cfd5bf3ef515,,101794975.0,,,,676186.0,Q2465415,,,,,,873654.0,,58037.0,,,,,2354
51,,,101794989.0,,,,681026.0,Q12111893,,,,,,870104.0,,410088.0,,,,,2354
52,,,101794981.0,,,,684660.0,Q12087028,,,,,,867435.0,,262239.0,,,,,2354
53,,,101794997.0,,,,680378.0,Q12114611,,,,,,870572.0,,1278310.0,,,,,2354
54,,,101796005.0,,,,675394.0,Q2721090,,,,,,,,127521.0,,,,,2354
55,039e7406-8f76-11e1-848f-cfd5bf3ef515,,101795077.0,,,,682619.0,Q2448868,,,,,,868920.0,,127871.0,,,,,2354
56,,,101794953.0,,,,685720.0,Q283479,,,,,,,,1028284.0,,,,,2354
57,039f20e0-8f76-11e1-848f-cfd5bf3ef515,,101794939.0,,,,680841.0,Q2353798,,,,,,870240.0,,630121.0,,,,,2354
58,,,101796511.0,,,,3165937.0,Q1976012,,,,,,29334311.0,,1026596.0,,,,,2354
59,08cc85e4-8f76-11e1-848f-cfd5bf3ef515,,85913395.0,,,,4091542.0,Q80023,172600.0,,,,"Springville, Alabama",2498523.0,,353432.0,,,,,940
60,12b7c3de-8f76-11e1-848f-cfd5bf3ef515,,101796521.0,,,,3168007.0,Q111278,,,,,San Martino in Rio,722861.0,,217124.0,,,,,444
61,,,101796531.0,,,,3182060.0,Q111107,,,,,Bibbiano,710974.0,,1189463.0,,,,,117
62,,,101796533.0,,,,3169687.0,Q111226,,,,,Quattro Castella,12677545.0,,956877.0,,,,,108
63,12b28bf8-8f76-11e1-848f-cfd5bf3ef515,,101796537.0,,,,3178245.0,Q95097,,,,,Comacchio,714489.0,,1244215.0,,,,,619
64,12b7a8fe-8f76-11e1-848f-cfd5bf3ef515,,101796539.0,,,,3168216.0,Q16268731,,,,,,29340982.0,,905242.0,,,,,2354
65,,,101796541.0,,,,3175248.0,Q95107,,,,,Lagosanto,716968.0,,94858.0,,,,,86
66,12a6c14c-8f76-11e1-848f-cfd5bf3ef515,,101796547.0,,,,3181694.0,Q3642867,,,,,,20112603.0,,1111025.0,,,,,2354
67,,,85799719.0,,,,6295513.0,Q445711,,,,,Altstetten (Zürich),781610.0,,480593.0,,,,,668
68,,,85799725.0,,,,2661666.0,Q677133,,,,,Aussersihl,781693.0,,491431.0,,,,,227
69,,,85806101.0,,,,4316965.0,Q4911779,,,,,"Billeaud, Louisiana",2364244.0,,994536.0,,,,,212
70,03a568ba-8f76-11e1-848f-cfd5bf3ef515,,101795081.0,,,,664314.0,Q2716801,,,,,,882380.0,,275187.0,,,,,2354
71,039eb38a-8f76-11e1-848f-cfd5bf3ef515,,101795083.0,,,,682014.0,Q2453883,,,,,,869365.0,,1028096.0,,,,,2354
72,,,101795087.0,,,,663461.0,Q12087597,,,,,,883083.0,,413517.0,,,,,2354
73,03a386f8-8f76-11e1-848f-cfd5bf3ef515,,101795089.0,,,,669244.0,Q12146615,,,,,,878821.0,,766515.0,,,,,2354
74,,,101795093.0,,,,675550.0,Q537298,,,,,,,,127526.0,,,,,2354
75,,,101795097.0,,,,667256.0,Q1070200,,,,,,880248.0,,275216.0,,,,,2354
76,03a222ea-8f76-11e1-848f-cfd5bf3ef515,,101795099.0,,,,672909.0,Q675152,,,,,,876065.0,,3.0,,,,,2354
77,03a22286-8f76-11e1-848f-cfd5bf3ef515,,101795101.0,,,,672912.0,Q16898176,,,,,,876063.0,,266793.0,,,,,2354
78,03a2ab84-8f76-11e1-848f-cfd5bf3ef515,,101795105.0,,,,671551.0,Q1188719,,,,,,877046.0,,43202.0,,,,,2354
79,,,101794961.0,,,,676414.0,Q12094474,,,,,,,,1.0,,,,,2354
80,03a33dc4-8f76-11e1-848f-cfd5bf3ef515,,101795107.0,,,,669980.0,Q673020,,,,,,878272.0,,1027529.0,,,,,2354
81,03a2d56e-8f76-11e1-848f-cfd5bf3ef515,,101795111.0,,,,671086.0,Q1069554,,,,,,877391.0,,1350781.0,,,,,2354
82,,,101795113.0,,,,686568.0,Q579707,,,,,,,,128144.0,,,,,2354
83,03a258dc-8f76-11e1-848f-cfd5bf3ef515,,101795115.0,,,,672343.0,Q16898217,,,,,,876462.0,,127387.0,,,,,2354
84,039f0d44-8f76-11e1-848f-cfd5bf3ef515,,101795117.0,,,,681037.0,Q868420,,,,,,870097.0,,1028065.0,,,,,2354
85,039eb15a-8f76-11e1-848f-cfd5bf3ef515,,101795119.0,,,,682038.0,Q860821,,,,,,869348.0,,1028099.0,,,,,2354
86,,,101796019.0,,,,663532.0,Q12087563,,,,,,883016.0,,941293.0,,,,,2354
