,Unnamed: 0,bbox,cessation,country_id,deprecated,file_hash,fullname,geom_hash,geom_latitude,geom_longitude,id,inception,iso,iso_country,lastmodified,lbl_latitude,lbl_longitude,locality_id,name,parent_id,path,placetype,region_id,source,superseded_by,supersedes,wk:page,wof_country,wordcount
3405,9062,"0.0,0.0,0.0,0.0",uuuu,85633805.0,,72202852ce16bffd679012e3bdbc0ec3,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102543501.0,uuuu,,,1452296745.0,0.0,0.0,0.0,Krasnoye North Airport,85688843.0,102/543/501/102543501.geojson,campus,85688843.0,missing,,,Nizhny Novgorod,,4393.0
3406,9063,"0.0,0.0,0.0,0.0",uuuu,85633805.0,,5965f0ff498f2cecffa7755bbebb58fd,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102543503.0,uuuu,,,1452296745.0,0.0,0.0,0.0,Lutsk Southeast Airport,85688815.0,102/543/503/102543503.geojson,campus,85688815.0,missing,,,Lutsk Airport,,30.0
3408,9065,"25.487165,50.678404,25.487165,50.678404",uuuu,85633805.0,,a7e7ae944b03182b42be23ad9c0919c8,,b4fa234acaa8bdae3f104f6567a9000d,50.678404,25.487165,102543509.0,uuuu,,,1452296743.0,0.0,0.0,101752883.0,Lutsk Airport,101752883.0,102/543/509/102543509.geojson,campus,85688815.0,ourairports,,,Lutsk Airport,,30.0
3410,9067,"0.0,0.0,0.0,0.0",uuuu,85633805.0,,fb1209e779f75df807e41d8ccc0c6474,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102543513.0,uuuu,,,1452296744.0,0.0,0.0,0.0,Kulbakino Airport,85688819.0,102/543/513/102543513.geojson,campus,85688819.0,missing,,,Mykolaiv,,4759.0
3413,9070,"0.0,0.0,0.0,0.0",uuuu,85633805.0,,3b675fa158c279e5789f99f8840676a4,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102543519.0,uuuu,,,1452296745.0,0.0,0.0,0.0,Novoalekseyevka West Airport,85688843.0,102/543/519/102543519.geojson,campus,85688843.0,missing,,,Aktobe,,2587.0
3414,9071,"0.0,0.0,0.0,0.0",uuuu,85633805.0,,c530ceaa3008daa8f28267712ef96c6f,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102543521.0,uuuu,,,1452296745.0,0.0,0.0,101857297.0,Navvy Mir Airport,101857297.0,102/543/521/102543521.geojson,campus,85688855.0,missing,,,United States Navy SEALs,,9984.0
3415,9072,"0.0,0.0,0.0,0.0",uuuu,85633287.0,,52238138b281b9f2c130b88516974d70,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102543523.0,uuuu,,,1452296744.0,0.0,0.0,0.0,Odessa Central Airport,85688877.0,102/543/523/102543523.geojson,campus,85688877.0,missing,,,Odessa International Airport,,409.0
3421,9078,"0.0,0.0,0.0,0.0",uuuu,85633805.0,,393089c7f570d6d978d4c00aafe38b6d,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102543537.0,uuuu,,,1452296743.0,0.0,0.0,0.0,Krasnyy Luch Airport,85688805.0,102/543/537/102543537.geojson,campus,85688805.0,missing,,,Krasnyi Luch,,282.0
3423,9080,"0.0,0.0,0.0,0.0",uuuu,85633287.0,,d16bd99e7750ca18ffe003e81a8e619e,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102543541.0,uuuu,,,1452296743.0,0.0,0.0,0.0,Odessa Airport,85688877.0,102/543/541/102543541.geojson,campus,85688877.0,missing,,,Odessa International Airport,,409.0
3428,9085,"0.0,0.0,0.0,0.0",uuuu,85633805.0,,c157175f306e5c6f6c8f129982e6ca90,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102543553.0,uuuu,,,1452296742.0,0.0,0.0,0.0,Priluki East Airport,85688825.0,102/543/553/102543553.geojson,campus,85688825.0,missing,,,Engels-2 Air Base,,853.0
