,Unnamed: 0,fct:id,nyt:id,wof:id,dbp:id,iata:code,faa:code,gn:id,wd:id,fips:code,fb:id,mzb:id,icao:code,wk:page,gp:id,loc:id,qs:id,oa:id,tgn:id,link,wk_page_id
55036,143849,08cb46f2-8f76-11e1-848f-cfd5bf3ef515,,85941677.0,,,,4925610.0,Q2358262,1866150.0,,,,"Rossville, Indiana",2485036.0,,465586.0,,,,
55037,143850,,,85940629.0,,,,4245136.0,Q576227,1751154.0,,,,"Mount Sterling, Illinois",,,848572.0,,,,
55038,143851,,,101806871.0,,,,2836031.0,Q561176,,,,,Schuby,,,576997.0,,,,
55039,143852,08cbb790-8f76-11e1-848f-cfd5bf3ef515,,85940713.0,,,,4249511.0,Q2516597,1767756.0,,,,"Sauget, Illinois",2489224.0,,1176820.0,,,,
55040,143853,08ce7264-8f76-11e1-848f-cfd5bf3ef515,,85940637.0,,,,4252975.0,Q577345,1781256.0,,,,"White Hall, Illinois",2519286.0,,450644.0,,,,
55041,143854,08c4bb0c-8f76-11e1-848f-cfd5bf3ef515,,85939005.0,,,,4895282.0,Q575682,1733331.0,,,,"Harvard, Illinois",2418414.0,,1050375.0,,,,
55042,143855,08bf50ea-8f76-11e1-848f-cfd5bf3ef515,,85944621.0,,,,4848124.0,Q815958,1905635.0,,,,"Bellevue, Iowa",2362030.0,,1093557.0,,,,
55043,143856,08cb364e-8f76-11e1-848f-cfd5bf3ef515,,85940639.0,,,,4248420.0,Q577382,1765481.0,,,,"Roodhouse, Illinois",2484343.0,,29916.0,,,,
55044,143857,08c62226-8f76-11e1-848f-cfd5bf3ef515,,85944623.0,,,,4863817.0,Q1930181,1943050.0,,,,"La Motte, Iowa",2434283.0,,1056783.0,,,,
55045,143858,08819bd8-8f76-11e1-848f-cfd5bf3ef515,,85939007.0,,,,4894711.0,Q1997976,1731667.0,,,,"Greenwood, Illinois",2414686.0,,1081372.0,,,,
55046,143859,08c21c44-8f76-11e1-848f-cfd5bf3ef515,,85941679.0,,,,4919555.0,Q2348578,1817722.0,,,,"DeMotte, Indiana",2391045.0,,817410.0,,,,
55047,143861,08ced34e-8f76-11e1-848f-cfd5bf3ef515,,85940203.0,,,,4917089.0,Q1020589,1783245.0,,,,"Woodridge, Illinois",2523528.0,,1063147.0,,,,
55048,143864,08c61f88-8f76-11e1-848f-cfd5bf3ef515,,85940803.0,,,,4898850.0,Q2358179,1740793.0,,,,"La Grange Park, Illinois",2434220.0,,237596.0,,,,
