,Unnamed: 0,fct:id,nyt:id,wof:id,dbp:id,iata:code,faa:code,gn:id,wd:id,fips:code,fb:id,mzb:id,icao:code,wk:page,gp:id,loc:id,qs:id,oa:id,tgn:id,link,wk_page_id
60000,151077,,,101827307.0,,,,3093433.0,Q11756736,,,,,"Ligota, Silesian Voivodeship",504640.0,,963074.0,,,,
60001,151079,,,101827309.0,,,,3086728.0,Q7377734,,,,,"Rudzica, Silesian Voivodeship",516570.0,,306344.0,,,,
60002,151083,,,101827311.0,,,,3088290.0,Q2175884,,,,,"Porąbka, Silesian Voivodeship",12617525.0,,1019722.0,,,,
60003,151086,08c36dba-8f76-11e1-848f-cfd5bf3ef515,,85939589.0,,,,4892812.0,Q2671811,1727026.0,,,,"Forrest, Illinois",2405534.0,,1221428.0,,,,
60004,151090,08c34f42-8f76-11e1-848f-cfd5bf3ef515,,85939591.0,,,,4892637.0,Q1929330,1726311.0,,,,"Flanagan, Illinois",2404072.0,,687810.0,,,,
60005,151091,,,101827317.0,,,,775796.0,Q2341034,,,,,Bobowa,486710.0,,925494.0,,,,
60006,151092,,,101863141.0,,,,3093664.0,Q2181417,,,,,"Łękawica, Silesian Voivodeship",504215.0,,1165625.0,,,,
60007,151093,01a56fa6-8f76-11e1-848f-cfd5bf3ef515,,101858077.0,,,,617110.0,Q2454309,,,,,"Vălcineț, Călărași",481541.0,,2.0,,,,
60008,151094,,,101827319.0,,,,757503.0,Q7664103,,,,,Szalowa,521502.0,,1011576.0,,,,
60009,151097,,,101863145.0,,,,3089882.0,Q2690943,,,,,Osielec,510923.0,,252388.0,,,,
60010,151100,,,101840341.0,,,,2981081.0,Q34927,,,,,Champdepraz,623541.0,,340145.0,,,http://en.wikipedia.org/wiki/Champdepraz,6154402.0
60011,151101,,,101863147.0,,,,3083275.0,Q7825081,,,,,"Toporzysko, Lesser Poland Voivodeship",522671.0,,1217486.0,,,,
60012,151105,,,101863149.0,,,,3102172.0,Q2296118,,,,,"Budzów, Lesser Poland Voivodeship",12617063.0,,1003816.0,,,,
