wof:id,status
102521663,OK
102521669,NO
102521677,NO
102521695,NO
102521705,NO
102521717,OK
102521723,OK
102521725,NO
102521753,OK
102521755,NO
102521777,OK
102521787,NO
102521795,OK
102521831,NO
102521869,OK
102521927,NO
102521999,NO
102522063,NO
102522065,NO
102522111,NO
102522133,NO
102522175,NO
102522255,NO
102522401,NO
102522445,NO
102522561,OK
102522577,OK
102522657,OK
102522679,OK
102522775,OK
102522813,OK
102522829,NO
102522839,OK
102522975,NO
102523047,NO
102523245,NO
102523391,OK
102523543,NO
102523681,NO
102523837,OK
102523969,NO
102524117,NO
102524419,NO
102524447,NO
102524501,NO
102524621,NO
102524693,NO
102524745,OK
102524825,OK
102525037,NO
102525141,NO
102525187,NO
102525375,OK
102525385,NO
102525481,OK
102525491,OK
102525569,NO
102525587,NO
102525859,NO
102526013,NO
102526117,NO
102526127,NO
102526439,NO
102526453,OK
102526463,NO
102526523,NO
102526547,NO
102526583,NO
102526589,NO
102526603,NO
102526663,NO
102526781,NO
102526815,NO
102526817,NO
102526877,NO
102526887,NO
102526899,NO
102526997,OK
102527079,OK
102527169,OK
102527183,NO
102527267,NO
102527297,OK
102527311,OK
102527571,NO
102527641,NO
102527869,OK
102527957,NO
102527977,NO
102528043,NO
102528129,NO
102528205,NO
102528255,NO
102528293,NO
102528323,NO
102528381,NO
102528393,NO
102528449,NO
102528633,OK
102528669,NO
102528753,NO
102528781,NO
102528829,NO
102528881,NO
102528961,OK
102529013,OK
102529043,OK
102529045,NO
102529067,NO
102529103,OK
102529151,NO
102529175,NO
102529283,OK
102529437,OK
102529537,OK
102529693,OK
102529877,OK
102529947,OK
102529991,OK
102530213,NO
102530271,NO
102530347,OK
102530355,NO
102530399,NO
102530423,NO
102530485,NO
102530573,NO
102530595,OK
102530643,NO
102530971,OK
102531019,NO
102531153,OK
102531211,NO
102531265,NO
102531295,OK
102531299,OK
102531309,NO
102531333,NO
102531349,NO
102531527,NO
102531615,NO
102531659,NO
102531673,OK
102531725,NO
102531727,NO
102531731,NO
102531751,NO
102531759,NO
102531783,NO
102531793,NO
102531809,NO
102531817,NO
102532029,OK
102532097,NO
102532165,NO
102532317,NO
102532395,NO
102532441,OK
102532499,NO
102532551,NO
102532601,NO
102532607,NO
102532731,NO
102532733,NO
102532735,NO
102532767,OK
102532881,OK
102532895,NO
102532919,NO
102532949,NO
102532963,NO
102533003,OK
102533079,NO
102533241,NO
102533275,NO
102533289,NO
102533295,NO
102533357,NO
102533379,NO
102533395,NO
102533415,NO
102533503,NO
102533545,NO
102533587,OK
102533609,OK
102533655,NO
102533721,NO
102533737,NO
102533917,NO
102533945,NO
102533977,NO
102533991,NO
102534035,NO
102534049,NO
102534099,NO
102534245,NO
102534375,NO
102534377,NO
102534379,NO
102534409,NO
102534443,NO
102534449,NO
102534451,NO
102534481,NO
102534505,OK
102534509,OK
102534511,OK
102534531,OK
102534535,OK
102534539,OK
102534549,OK
102534557,OK
102534571,OK
102534575,OK
102534577,OK
102534583,OK
102534591,NO
102534607,OK
102534609,OK
102534611,OK
102534629,NO
102534635,OK
102534643,OK
102534647,OK
102534655,OK
102534665,OK
102534683,OK
102534689,OK
102534693,OK
102534731,OK
102534735,OK
102534749,OK
102534757,OK
102534761,OK
102534767,OK
102534773,OK
102534783,OK
102534799,OK
102534803,OK
102534807,OK
102534815,OK
102534835,OK
102534845,OK
102534853,NO
102534859,NO
102534865,OK
102534883,NO
102534911,NO
102534915,NO
102534923,NO
102534949,NO
102534953,NO
102534963,OK
102534977,NO
102535003,OK
102535013,NO
102535017,OK
102535025,OK
102535027,OK
102535031,OK
102535033,OK
102535037,OK
102535043,OK
102535063,OK
102535073,OK
102535075,OK
102535087,OK
102535091,OK
102535111,NO
102535125,OK
102535143,OK
102535149,OK
102535153,OK
102535159,NO
102535163,NO
102535169,NO
102535201,OK
102535211,OK
102535213,OK
102535221,OK
102535275,OK
102535295,OK
102535307,NO
102535309,NO
102535337,NO
102535341,NO
102535359,NO
102535365,NO
102535369,NO
102535395,NO
102535401,OK
102535423,OK
102535485,NO
102535543,NO
102535651,OK
102535667,NO
102535681,NO
102535691,NO
102535703,NO
102535715,NO
102535719,NO
102535721,NO
102535769,OK
102535779,NO
101768455,NO
101768629,NO
101769043,NO
101769443,NO
101769575,NO
101769665,NO
101769863,NO
101770039,NO
101770121,NO
101770277,OK
101770369,NO
101770417,NO
101770507,NO
101770941,NO
101770981,NO
101771303,NO
101771309,NO
101771319,NO
101771365,NO
101771411,NO
101771671,NO
101772389,NO
101772665,NO
101772899,NO
101773243,NO
101773419,NO
101774045,NO
101775061,NO
101775063,NO
101775071,NO
101775101,NO
101776105,NO
101776193,NO
101776233,NO
101776241,NO
101776243,NO
101776283,NO
101776285,NO
101776307,NO
101777113,NO
101777117,NO
101777123,NO
101777145,NO
101777163,NO
101777189,NO
101777205,NO
101777213,NO
101777215,NO
101777217,OK
101777451,OK
101778187,OK
101778195,OK
101778221,NO
101778227,NO
101778249,NO
101778301,OK
101779671,OK
101779679,OK
101779683,NO
101779837,NO
101781595,NO
101782009,OK
101783445,NO
101784133,NO
101784145,NO
101784297,NO
101784477,NO
101784517,NO
101784691,NO
101785357,NO
101785503,NO
101785701,NO
101785733,NO
101786681,NO
101786791,NO
101786813,NO
101787569,NO
101787581,NO
101787773,NO
101788007,NO
101788609,NO
101790091,NO
101792287,NO
101792625,NO
101793029,NO
101793045,NO
101793345,NO
101793785,NO
101794161,NO
101794233,NO
101794327,NO
101794345,NO
101795253,NO
101795495,NO
101795547,NO
101795565,NO
101795659,NO
101795683,NO
101795721,OK
101795907,NO
101796573,NO
101796745,NO
101797581,NO
101797631,NO
101797669,NO
101797781,NO
101797901,NO
101798625,NO
101798665,NO
101798809,NO
101798899,NO
101798929,NO
101798971,NO
101799067,NO
