,wk_page_id,wk_name,wiki_id
0,6575071,Cipayung,Q193393
1,41817797,750 mm gauge railways,Q4032352
2,5514800,Sumbar,Q7637037
3,10848101,Banjarnegara Regency,Q10604
4,9554488,Jalaluddin Airport,Q2903040
5,31027377,Beji Caid Essebsi,Q313539
6,20756153,TAPO,Q1760815
7,19712839,Pohuwato Regency,Q14523
8,40722308,Kampung Bandan railway station,Q2719478
9,20621756,Tanjung Pandan,Q3056359
10,6158745,"Kota, Negeri Sembilan",Q12690409
11,24537435,Macaldenia palumba,Q6722449
12,22144219,Districts of Riau,Q6461244
13,12824063,Aliyudin Ali,Q4727562
14,43071633,South Bekasi,Q1770511
15,26004972,Cibubur,Q5119263
16,957442,Sasak people,Q1560742
17,22626059,Padalarang railway station,Q2045460
18,4740978,Soni,Q4428807
19,30913110,Manduca lamasi,Q6748232
20,10200516,Temanggung Regency,Q10979
21,12908074,Pouteria benai,Q1329171
22,296515,Abdurrahman Wahid,Q76167
23,453714,Bangka-Belitung Islands,Q1866
24,24083549,Ayung River,Q1863583
25,25081021,Languages of Kalimantan,Q2388822
26,4701946,Jangli,Q16799986
27,22120349,Districts of Banten,Q6487854
28,30966732,2012 Liga Indonesia First Division (BLAI),Q4626030
29,314132,Malaysian cuisine,Q772247
30,6574309,Kalideres,Q192729
31,50449831,South Likupang,Q12494851
32,31140785,Kaili language,Q6347964
33,2823762,Tanjung Pinang,Q10104
34,10863185,Karanganyar Regency,Q10616
35,2284901,Pandan,Q192636
36,909704,Parang,Q3365745
37,18870721,Rangas language,Q7292645
38,4788592,Durai,Q13574683
39,31332346,2005 Tentena market bombings,Q4604929
40,15039992,KA Commuter Jabodetabek,Q1926929
41,22121770,Districts of North Sulawesi,Q6487170
42,43225227,Tylomelania helmuti,Q18355443
43,441996,Kota Bharu,Q651131
44,13032499,Batang Hari River,Q810720
45,4367462,An-Nur Kota Raya Mosque,Q4749689
0,22144381,Districts of Southeast Sulawesi,Q6486726
1,22121561,Districts of Lampung,Q6487308
2,30253368,Konawe Regency,Q15359
3,595541,Bugis,Q1002570
4,8932931,Sukoharjo Regency,Q10692
5,31153216,East Bolaang Mongondow Regency,Q15834
6,2270618,Nagara,Q6958515
7,40722272,Muhammadiyah University of Yogyakarta,Q14917503
8,40722308,Kampung Bandan railway station,Q2719478
9,33700496,Bajaw language,Q2157439
10,29497306,Jakarta Outer Ring Road,Q2943867
11,22144472,Districts of West Sulawesi,Q6486970
12,552237,"Cilandak, South Jakarta",Q192987
13,21136560,Cikupa,Q2143853
14,6575096,"Kramat Jati, East Jakarta",Q193356
