,wk_page_id,wk_name,wiki_id
0,30680262,Alaybey railway station,Q4708916
1,13830,Hastings,Q29245
2,35204748,Sardarnagar,Q7423768
3,4138765,Poonamallee,Q2229614
4,25110292,Pune Camp,Q2936867
5,2473574,Multi-Modal Transport System (Hyderabad),Q1952301
6,1338448,Shibpur,Q7496073
7,4532127,Pammal,Q2229622
8,40848785,Mandor,Q12496585
9,34514783,"Edirnekapı, Istanbul",Q647228
10,4138536,Mumbra,Q6935373
11,3376532,Unnao district,Q1937875
12,37534,Hyderabad,Q1361
13,5703003,Anakaputhur,Q582417
14,5376804,Santhome,Q3530204
15,34589745,Şemsipaşa Primary School,Q8082469
16,11078992,List of gurdwaras,Q6621981
17,26198270,Sabzi Mandi,Q7396529
18,12163199,Bhairabi Temple,Q4900791
19,1047025,Vasai,Q1949022
20,16517945,Atatürk Forest Farm and Zoo,Q4811611
21,2095054,Thiruvanmiyur,Q4739849
22,13531190,Mirchi Bada,Q6873056
23,4554505,Kidderpore,Q6404679
24,5810126,South Dumdum,Q41538
25,1544075,T. Nagar,Q7668549
26,36700468,Rander,Q2770152
27,6959258,Ariyankuppam,Q2861453
28,1775768,Osman Sagar,Q7107102
29,542741,Beyazid,Q247357
30,33103562,Ramachandrapuram,Q7288699
31,1745511,Serampore,Q1815367
32,21766779,Sosyo,Q7563941
33,238760,Visakhapatnam,Q200016
34,3512750,List of constituencies of the Lok Sabha,Q3429959
35,15908426,"Kalka Mandir, Delhi",Q6353337
36,37578518,Rajagopala Perumal Temple,Q7285622
37,8078463,Chitpur,Q5102289
38,16449992,Baguiati,Q4842151
39,12963785,Kayseray,Q403283
40,5796826,Kathivakkam,Q658886
41,3254738,Chitlapakkam,Q1190695
42,1748911,Girgaon,Q1931371
43,11707566,Katra,Q1221240
44,1485094,Mandvi,Q2570689
45,100191,Lakshmi,Q131443
46,2760367,Surathkal,Q3633691
47,5798938,Kundrathur,Q2236793
48,1810486,Bahçelievler,Q788634
49,4365290,Güzelyalı,Q5627208
0,1413903,Ortaköy,Q2249546
1,26018822,Di'anmen,Q3431357
2,839453,Haidian District,Q393454
3,30255610,"Line 3, Beijing Subway",Q6553113
4,23914051,Battle of Dasman Palace,Q4870849
5,20197668,Dongdan,Q5295852
6,2019692,Gongzhuling,Q1207108
7,43969284,Tepecik,Q12812133
8,34685618,Xiangheyuan Subdistrict,Q8044156
9,4306874,Khartoum International Airport,Q1050244
10,2256810,Chuiyangliu,Q5115994
11,1120709,Fengtai District,Q393831
12,20752032,Friendship Hall,Q5504399
13,1356315,Moda,Q405471
14,8794746,Bağdat Avenue,Q2873544
15,20219180,Xinjiekou,Q8044628
16,24996230,Xisi,Q8044783
17,7260614,Hepingmen,Q3431663
18,839430,Wangfujing,Q1009423
19,803685,Beijing Railway Station,Q285141
20,45472345,Jiulongshan Station,Q15928637
21,1104032,List of education ministries,Q2269756
22,2074227,Phra Nakhon District,Q1525441
23,28449222,Söğütlüçeşme railway station,Q7666457
24,26430729,Kalaba,Q3192067
25,27772553,Turkcell Kuruçeşme Arena,Q2811614
26,40282587,"Taipingqiao, Liuyang",Q10941397
