,wk_page_id,wk_name,wiki_id
13,6736862,Capoliveri,Q157720
14,1086522,Teramo,Q13137
15,10499502,Farnese,Q351536
16,6138200,Controguerra,Q51444
17,6138135,Ancarano,Q51418
18,6138241,Nereto,Q51457
19,1903653,Vetralla,Q180271
20,6752750,Faleria,Q161657
21,6752852,Monte Romano,Q175961
22,19127236,Capodimonte,Q1232395
23,6752286,Penna in Teverina,Q10880
24,3518877,Acquasparta,Q6029
25,650163,Portoferraio,Q157856
26,4476125,Ronciglione,Q177695
27,13170799,Fórnoles,Q2409408
28,6752717,Cellere,Q160950
29,6736997,Rio Marina,Q157861
30,8067872,Sant'Onofrio,Q1207584
31,6736987,Porto Azzurro,Q157837
32,30865623,Civita Castellana,Q160954
33,6752093,Montecastrilli,Q10830
34,6751987,Castel Giorgio,Q6340
35,92898,Viterbo,Q13395
36,3765345,Nepi,Q176155
37,100543,Atri,Q757727
38,6138265,Sant'Egidio alla Vibrata,Q51464
39,27577506,Garrufo,Q3758430
40,6138239,Mosciano Sant'Angelo,Q51456
41,865566,Caprarola,Q160262
42,2051270,Tuscania,Q180032
43,274851,Metropolitan Atlanta Rapid Transit Authority,Q1423792
44,6752250,Monteleone d'Orvieto,Q10862
45,6752677,Castel Sant'Elia,Q160275
46,6752842,Montalto di Castro,Q175956
47,6752686,Castiglione in Teverina,Q160282
48,704327,Blera,Q159678
0,2203268,Deruta,Q20427
1,6735046,Offida,Q56084
2,2293381,Cetona,Q91160
3,3283990,Castiglione del Lago,Q20390
4,6734601,Visso,Q94986
5,6734626,Acquaviva Picena,Q56021
6,3966357,Orbetello,Q214849
7,5950905,Tocco da Casauria,Q51405
8,6737081,Suvereto,Q141423
9,49496917,"Abbey of Sant'Albino, Mortara",Q3603255
10,6751300,Santa Fiora,Q215008
11,4354020,TREVI,Q649554
12,6751418,Città della Pieve,Q20409
13,38463411,Scarlino Scalo,Q2463282
14,1136900,Castiglione della Pescaia,Q188547
15,6734551,Sarnano,Q94966
16,6751055,Sarteano,Q91447
17,3241042,Massa Marittima,Q214725
18,81705,Assisi,Q20103
19,317994,Todi,Q20579
20,633372,Follonica,Q188587
21,24175952,Rivotorto,Q980584
22,2289857,Cannara,Q20381
23,6734734,Castignano,Q56043
24,6138154,Castellalto,Q51430
25,6735194,Spinetoli,Q56090
26,6734771,Colli del Tronto,Q56049
27,6734468,Penna San Giovanni,Q83226
28,638393,Norcia,Q20494
29,15514837,Eccellenza Marche,Q3718140
30,1372002,Acquaviva,Q342422
31,2026430,Pitigliano,Q214929
32,6734672,Appignano del Tronto,Q56028
33,6751355,Semproniano,Q215152
34,2245687,Montepulciano,Q91217
35,6751290,Roccastrada,Q214997
36,6751136,Castell'Azzara,Q174879
37,43349872,Bagno di Gavorrano,Q2148052
38,2293334,Sorano,Q215164
39,6751042,San Quirico d'Orcia,Q91430
40,27577495,Bellante Stazione,Q2440627
41,6734486,Pieve Torina,Q83308
42,6734484,Pievebovigliana,Q83340
43,5096423,San Vincenzo,Q1209739
44,6750942,Piancastagnaio,Q91292
45,6751150,Cinigiano,Q188565
46,6751110,Campagnatico,Q188480
47,1083359,Manciano,Q214701
48,6750745,Abbadia San Salvatore,Q91096
49,6736832,Campiglia Marittima,Q157686
0,3254285,Parvomay,Q405991
1,44796124,Drangovo,Q4167687
2,1491263,"Borovo, Ruse Province",Q405846
3,29166343,Muldava Glacier,Q6933853
4,27237396,"Eleshnitsa, Blagoevgrad Province",Q2015019
5,4918527,"Voyvodovo, Vratsa Province",Q2459645
6,17959156,Tihomir of Serbia,Q1359011
7,44801581,Perperek,Q1084397
8,13120531,FC Benkovski Byala,Q5424849
9,27237142,Kornitsa,Q2462012
10,27237143,Lazhnitsa,Q2462025
11,6292462,Castrovillari,Q53857
12,27237088,Ribnovo,Q2462805
13,36139023,Komuniga,Q2459013
14,10981406,Klyuch,Q751389
15,2319371,PFC Belasitsa Petrich,Q6707867
16,4617530,Sapareva Banya,Q405166
17,15756604,Valkosel,Q2598125
18,18130235,PFC Brestnik 1948,Q4961901
19,39609047,"Startsevo, Russia",Q16883801
20,30520927,Hitrino Municipality,Q2220759
21,22720185,"Brestovitsa, Plovdiv Province",Q2990522
22,40594077,Markovo Airport,Q4282160
23,44796116,Dobromirtsi,Q1082996
24,36080839,"Iskra, Kardzhali Province",Q4203899
25,6292561,San Nicola Arcella,Q53977
26,5985159,Saint Paraskevi,Q7401978
27,44801845,Shiroko pole,Q4524382
28,44796154,Gorski izvor,Q4145900
29,12888712,Belo pole,Q2652961
30,44435007,Zvezdel,Q2457895
31,27237174,"Ablanitsa, Blagoevgrad Province",Q1989963
32,26066933,Bukovo monastery,Q4987028
33,27237070,Hvostyane,Q2654497
34,15851504,List of former toponyms in Pella Prefecture,Q5470163
35,30818495,Glavinitsa Municipality,Q303082
36,44796092,Chorbadzhiysko,Q4517203
37,48247724,Byaga Point,
38,44799735,Gluhar,Q1082821
39,27237498,"Krupnik, Blagoevgrad Province",Q2462044
40,6075103,Lyaskovets,Q406869
41,44438843,Potochnitsa,Q1084987
42,21281339,Gyovren,Q3623055
43,27161805,Ustina Point,Q883014
44,44798817,Boyno,Q1082142
45,44801825,Rani list,Q1083711
46,16844296,"Parvenets, Plovdiv Province",Q941830
47,26120091,List of cities of Thrace,Q6609863
48,44842663,Zhinzifovo,Q1083377
49,44889862,Slokostitsa,Q1088445
0,2076624,Rapolla,Q52644
1,5947660,Montefalcione,Q55057
2,19774102,"Licola, Italy",Q3832027
3,5947732,Pratola Serra,Q55082
4,39509380,Aquilonia,Q3621143
5,6771224,Roccarainola,Q72449
6,2347717,Venosa,Q52691
7,5947656,Montecalvo Irpino,Q55056
8,5947776,Santa Lucia di Serino,Q55104
9,1898931,Rionero in Vulture,Q52646
10,5947835,Summonte,Q55122
11,6125938,Monteforte Cilento,Q81080
12,5947639,Guardia Lombardi,Q55042
13,3202852,Galatina,Q52141
14,5947880,Vallesaccarda,Q55136
