,wk_page_id,wk_name,wiki_id
0,11241627,Tekirdağ Çorlu Airport,Q1433025
1,9137468,Harriet Alexander Field,Q3888275
2,9363177,Malatya Erhaç Airport,Q1432008
3,7944872,Ağrı Airport,Q1307034
4,10865429,Balıkesir Airport,Q1164320
5,1597543,Incirlik Air Base,Q1083424
6,9362720,Batman Airport,Q1163824
7,9362975,Oğuzeli Airport,Q1431357
8,9362938,Erzurum Airport,Q1431265
9,447649,Erkilet International Airport,Q1431698
10,10865884,Isparta Süleyman Demirel Airport,Q1264524
11,10978819,Anadolu Airport,Q1431269
12,3520009,Antalya Airport,Q827480
13,12590465,Bodrum-Imsik Airport,Q3886424
14,7948646,Dalaman Airport,Q1431180
15,9363209,Muş Airport,Q1432103
16,9363017,Kahramanmaraş Airport,Q1431619
17,8507415,Siirt Airport,Q1164314
18,10865801,Eskişehir Airport,Q1164085
19,26299509,Çiğli Air Base,Q3274227
20,1030868,United States Air Forces in Europe - Air Forces Africa,Q520693
21,10865706,Yenişehir Airport,Q250026
22,9362862,Elazığ Airport,Q1431244
23,9362882,Erzincan Airport,Q1431262
24,27816559,Gaziemir railway station,Q5529141
25,10866092,Samsun-Çarşamba Airport,Q1432694
26,2065265,Esenboğa International Airport,Q430490
27,28958126,Ankara Güvercinlik Army Air Base,Q4765979
28,30873429,Sabiha Gökçen International Airport,Q723622
29,9363157,Konya Airport,Q1431754
30,38288979,Balıkesir Koca Seyit Airport,Q1431233
31,591981,Karadeniz Ereğli,Q1012887
32,1655565,Adnan Menderes Airport,Q504382
33,9422061,Nakhchivan International Airport,Q619376
34,8343864,Afyon Airport,Q1430723
35,5791054,Tuzla International Airport,Q1433133
36,41348942,"Chah Paliz, South Khorasan",Q5785861
37,9362790,Denizli Çardak Airport,Q1431199
38,9362796,Diyarbakır Airport,Q525377
39,14524358,Akıncı Air Base,Q4702112
40,3613782,List of airports by ICAO code: L,Q2755482
41,21165765,Istanbul Samandıra Army Air Base,Q2902947
42,575914,Imbros,Q658437
43,14716736,Bandırma Airport,Q1430926
44,9704265,Hua Hin Airport,Q1431510
45,8420699,Tokat Airport,Q1164133
0,36590894,Cities and towns during the Syrian Civil War,Q5122482
1,8392073,Van Ferit Melen Airport,Q1431293
2,3124728,Tarnak Farms,Q7686383
3,267703,Norman Manley International Airport,Q1432206
4,4920869,Rota International Airport,Q1187633
5,10865706,Yenişehir Airport,Q250026
6,5895749,Milas–Bodrum Airport,Q766860
7,36055156,Cengiz Topel Naval Air Station,Q1961428
8,28712368,List of surviving Lockheed F-104 Starfighters,Q6641979
9,9363017,Kahramanmaraş Airport,Q1431619
10,400388,Cairo Governorate,Q30805
11,1120351,Kars,Q127063
12,7944264,Adana Şakirpaşa Airport,Q1430728
13,37068428,Şanlıurfa GAP Airport,Q1433329
14,38008970,Halfaya,Q1704164
15,16150813,Negril Aerodrome,Q2531237
16,46772,Lake Van,Q126307
17,38354973,Kütahya Air Base,Q5469363
18,16986021,St. Catherine International Airport,Q1936042
19,3432143,Ras Banas,Q3419767
20,9774365,Binali Yıldırım,Q863496
21,16094204,Ken Jones Aerodrome,Q2631578
22,15940870,New River Valley Airport,Q7011267
23,419335,Sharm el-Sheikh,Q644
24,9291128,Tinson Pen Aerodrome,Q2320308
25,589227,Cairo International Airport,Q461793
26,15383575,Port Said Airport,Q1432451
27,4919706,Saipan International Airport,Q1257667
28,1351660,Sangster International Airport,Q174140
29,317144,List of airports by IATA code: S,Q1758131
30,317145,List of airports by IATA code: T,Q680342
31,40390122,El Arish International Airport,Q201626
32,8445006,Sivas Airport,Q1432867
33,46381666,2015–16 Fenerbahçe S.K. season,Q20160126
34,189954,Konya,Q79857
35,16150820,Boscobel Airport,Q3813399
36,9362790,Denizli Çardak Airport,Q1431199
37,2522189,Helwan,Q771345
38,3613782,List of airports by ICAO code: L,Q2755482
39,43506271,Bayraktar Tactical UAS,Q17501733
40,43509385,Ras Shokeir New Airport,Q18618948
41,3123421,Luxor International Airport,Q1347322
42,2064865,Turkish Airlines destinations,Q2458595
0,32541685,Kitona Air Base,Q6418282
1,6846998,Hurghada International Airport,Q385191
2,32541684,Kotakoli Air Base,Q6433854
3,32541688,Buta Zega Airport,Q3813401
4,27858489,Nesma Airlines,Q1572717
5,2294625,Rarotonga International Airport,Q954472
6,48029501,AB Aviation,Q22080283
7,9202755,Kindu Airport,Q617351
8,24096664,Abu Suwayr Air Base,Q4670373
9,377726,Egyptian Air Force,Q1351405
10,43490530,Abu Rudeis Airport,Q18204820
11,32529622,Kamina Air Base,Q6358138
12,43491057,El Gora Airport,Q18208115
13,1511933,Inshallah (disambiguation),Q414966
14,16099125,Tourism in Myanmar,Q4553222
15,46263366,Almaza Air Base,Q19694721
16,9202342,Gemena Airport,Q3275195
17,204112,Mersa Matruh,Q393829
18,9215191,Abu Simbel Airport,Q774216
19,43492749,El Tor Airport,Q18208126
20,43493549,Imbaba Airport,Q18208145
21,9353,Transport in Egypt,Q3997820
22,12550564,Aswan International Airport,Q752537
23,13629027,Kibrit Air Base,Q6404068
24,24047033,Bir Gifgafa Airfield,Q597588
25,37063427,List of airports by IATA code: A,Q1077144
26,1595536,MIM-23 Hawk,Q482414
27,3371273,Clayton J. Lloyd International Airport,Q1657604
28,277718,Jeddah,Q374365
29,9202767,Kananga Airport,Q2443546
30,1595594,Comores Aviation International,Q2736076
31,7898090,Borg El Arab Airport,Q1194015
32,317103,List of airports by IATA code: E,Q1357256
33,28599216,Iconi Airport,Q1432070
34,24098222,Al Ismailiyah Air Base,Q4704083
35,290711,"Moroni, Comoros",Q3901
36,1606946,Wimbi Dira Airways,Q593510
37,9621959,151st Air Refueling Wing,Q4550255
38,39276988,2013 in France,Q2814638
39,13672583,N'Dolo Airport,Q1432212
40,9203348,Kikwit Airport,Q6406465
41,2601678,Military deception,Q2914732
42,9215489,Marsa Matruh International Airport,Q651557
43,1863102,Malta International Airport,Q672289
