,wk_page_id,wk_name,wiki_id
0,15918928,Perrecy-les-Forges,Q668572
1,15606697,Le Russey,Q837507
2,15790991,Nantiat,Q508836
3,10431614,Mirambeau,Q249448
4,15790694,Bussière-Galant,Q926467
5,15927235,La Motte-Saint-Jean,Q1454524
6,15415474,Vendat,Q1018226
7,15790745,Saint-Germain-les-Belles,Q607905
8,15414905,Bessay-sur-Allier,Q853434
9,15914208,Crêches-sur-Saône,Q1423324
10,15930997,Greux,Q226100
11,2436129,Matha,Q2069741
12,15790671,Pierre-Buffière,Q626156
13,4181849,Magny-Cours,Q269952
14,15919173,Romanèche-Thorins,Q947091
15,15502213,Corme-Royal,Q527879
16,15914601,Étang-sur-Arroux,Q1411218
17,2858754,Saint-Laurent-sur-Gorre,Q1075400
18,15790847,Saint-Priest-Taurion,Q1075121
19,15568261,Auzances,Q193621
20,12500236,Saint-Pierre-le-Moûtier,Q37176
21,15790864,Ladignac-le-Long,Q1078760
22,229296,Pons,Q192570
23,15791049,Rilhac-Rancon,Q1136358
24,15790861,Séreilhac,Q1088833
25,15415076,Dompierre-sur-Besbre,Q243724
26,15790806,Châteauneuf-la-Forêt,Q177731
27,15914077,Ciry-le-Noble,Q839543
28,4720268,Marmagne,Q252389
29,15415368,Saint-Rémy-en-Rollat,Q245015
30,2591196,Aubusson,Q230528
31,15594182,Saint-Vit,Q906399
32,13448571,Souvigny,Q245064
33,15349417,Diou,Q252467
34,15790856,Saint-Victurnien,Q766537
35,15578660,Pierrefontaine-les-Varans,Q841433
36,13288531,Saint-Yan,Q1468544
37,15790662,Oradour-sur-Vayres,Q1076759
38,414279,Saint Eligius,Q360798
39,15899973,Garchizy,Q1115233
40,14852889,Le Gua,Q393537
41,15790664,Peyrat-le-Château,Q779574
42,15477216,Compreignac,Q1025033
43,15791005,Nieul,Q1076330
44,15915527,Génelard,Q949538
45,450658,Breuillet,Q251429
46,8744786,Nexon,Q562078
47,15415273,Neuilly-le-Réal,Q779711
48,15607226,Vercel-Villedieu-le-Camp,Q838007
49,11895614,Cussac,Q252889
0,6825887,Primaluna,Q42533
1,6719448,Bettola,Q102569
2,6707976,Sannazzaro de' Burgondi,Q40926
3,6705380,Onore,Q101304
4,6708083,Scaldasole,Q40045
5,6478169,Carema,Q9173
6,6520254,Quincinetto,Q10213
7,6705678,Rogno,Q101510
8,6479293,Lessolo,Q9423
9,6523881,San Maurizio d'Opaglio,Q22605
10,6703755,Pessano con Bornago,Q42520
11,15900068,Luzy,Q681237
12,6827172,Crodo,Q23319
13,6827287,Malesco,Q23617
14,6827431,Toceno,Q23703
15,11243537,MEDA,Q6715310
16,6827541,Villadossola,Q23726
17,6704646,Castione della Presolana,Q100170
18,5543319,Clusone,Q100388
19,15900455,Saint-Benin-d'Azy,Q41714
20,6825667,Dervio,Q42933
21,24730480,Dornes,Q409880
22,15900084,La Machine,Q1100486
23,6827192,Druogno,Q23328
24,15610783,Thénac,Q346734
25,2892610,Imphy,Q389357
26,6557914,Cocconato,Q17798
27,6825539,Bellano,Q43032
28,7493088,Serina,Q3957896
29,2783786,"Soure, Portugal",Q543993
30,6706196,Villa d'Ogna,Q101766
31,1369310,Ardesio,Q95073
32,6702137,Berbenno di Valtellina,Q39479
33,6704857,Dossena,Q101032
34,15899734,Châtillon-en-Bazois,Q752591
35,6703482,Inzago,Q43085
36,6825870,Perledo,Q42529
37,15567653,La Guerche-sur-l'Aubois,Q1163750
38,639614,Basilica di Santa Maria Maggiore,Q186282
39,6827293,Masera,Q23627
40,6478884,Fiorano Canavese,Q9357
41,6708074,Sartirana Lomellina,Q40065
42,6827477,Varzo,Q23713
43,6705349,Oltre il Colle,Q101295
44,5923961,Belmonte,Q243029
45,13835077,Aiserey,Q46986
46,6825730,Introbio,Q42856
47,127792,Besalú,Q12586
48,6705114,Gromo,Q101155
49,15568956,Brazey-en-Plaine,Q16777
0,3519140,Southern University at New Orleans,Q12002144
1,6523546,Divignano,Q22203
2,6523271,Bellinzago Novarese,Q22070
3,46677003,Borriana,Q2911337
4,6825291,Salussola,Q18159
5,6523563,Fara Novarese,Q22226
6,6523429,Carpignano Sesia,Q22135
7,1925854,Arona,Q248055
8,6825250,Pollone,Q18144
9,6523402,Briona,Q22120
10,6536597,Vicolungo,Q22653
11,6825273,Ronco Biellese,Q18153
12,6523252,Armeno,Q22045
13,6825330,Sordevolo,Q18167
14,6523574,Fontaneto d'Agogna,Q22266
15,6523495,Cavaglio d'Agogna,Q22170
16,6703046,Briosco,Q39423
17,6825025,Brusnengo,Q18027
18,6523724,Mezzomerico,Q22500
19,6523863,Recetto,Q22584
20,6523380,Borgo Ticino,Q22098
21,6523900,San Pietro Mosezzo,Q22618
22,6523609,Gattico,Q22454
23,25042,Prayer,Q40953
24,6523749,Nebbiuno,Q22512
25,6523342,Bogogno,Q22088
26,25993459,1989 Mantegazza Cup,Q4585267
27,6523554,Dormelletto,Q22216
28,6825100,Crevacuore,Q18057
29,6523647,Invorio,Q22472
30,6703780,Pozzo d'Adda,Q42429
31,6523412,Caltignaga,Q22125
32,6523282,Biandrate,Q22075
33,1344618,Momo,Q232424
34,5245701,Pella,Q213679
35,6523855,Prato Sesia,Q22578
36,6824882,Terralba,Q389264
37,6523653,Landiona,Q22475
38,6825088,Cerrione,Q18052
39,6523805,Pettenasco,Q22554
40,6704535,Canonica d'Adda,Q100135
41,6523829,Pogno,Q22566
42,37962367,Ameno,Q16263246
43,6523916,Sizzano,Q22630
44,6536484,Soriso,Q22631
45,6523615,Ghemme,Q22458
46,6523525,Cressa,Q22191
47,23180604,Livera,Q6658226
48,6536545,Vaprio d'Agogna,Q22644
49,6523449,Casaleggio Novara,Q22145
0,6704386,Berbenno,Q99966
1,35781208,Calcio,Q412180
2,6154473,Torgnon,Q35504
3,6730739,Fontanella,Q1435844
4,6705949,Strozza,Q101634
5,6154436,Gignod,Q35060
6,9074591,La Thuile,Q241565
7,6522711,Postua,Q25175
8,6154496,Morgex,Q35226
9,6704959,Foppolo,Q101067
10,6154454,Pollein,Q35275
11,6521950,Buronzo,Q24912
12,6704950,Fonteno,Q101063
13,6705515,Piazzatorre,Q101409
14,6522851,Rovasenda,Q25196
15,535189,Villeneuve,Q232726
16,3649717,San Pellegrino Terme,Q101551
17,6522287,Ghislarengo,Q25084
18,6704253,Adrara San Rocco,Q95053
19,6154057,Aymavilles,Q34791
20,6705653,Ranzanico,Q101503
21,6706228,Zogno,Q101812
22,6522951,Valduggia,Q25215
23,6704768,Colere,Q100391
24,6706206,Vilminore di Scalve,Q101780
25,6705354,Cusio,Q1146062
