,wk_page_id,wk_name,wiki_id
0,156277,Northridge,Q280883
1,1324722,Bassett,Q362342
2,3276702,Bicycle boulevard,Q1249483
3,4598640,Lakeridge High School,Q14709032
4,23005914,Hawthorne (TV series),Q1591785
5,36757935,Michele Clark Magnet High School,Q6836718
6,47033689,Bear Tavern Road--Jacob's Creek Crossing Rural Historic District,Q20630761
7,24020299,Citibus (Lubbock),Q5122457
8,13865024,"Evergreen, Memphis",Q5417153
9,445309,U.S. Route 84,Q410700
10,684259,East Side,Q364587
11,2427817,Stubbs,Q420067
12,3733161,Lubbock Lake Landmark,Q6695122
13,34628920,"Mansion Hill Historic District (Madison, Wisconsin)",Q16979368
14,29435483,Jeffries Point,Q375948
15,18302228,Isthmus of Catalina Island,Q14682494
16,12680057,The New Orleans Bingo! Show,Q7753701
17,119417,"Sugar Bush Township, Becker County, Minnesota",Q1916112
18,61026,West,Q679
19,621834,Northside,Q451980
20,7321300,Military Ridge State Trail,Q6852149
21,3286162,"Zorro, The Gay Blade",Q577991
22,1277943,Emporium,Q16775532
23,6467304,Casa Loma (neighbourhood),Q5047848
24,1316472,West Side,Q416052
25,14002134,Near West Side,Q6984388
26,285284,Altrincham,Q445058
27,48966643,Sid Boyum,Q21996912
28,77173,South,Q667
29,24426610,HaOved HaTzioni,Q2889682
30,41562211,Skyview,Q16883424
31,24390549,Barrymore Theatre,Q4864943
32,35348624,Regent,Q477406
33,1316019,Wham!,Q744087
34,14354225,"Southside, Berkeley, California",Q7571025
35,5970,Capitol,Q224158
36,12582114,Near East Side,Q6984364
37,2217743,"Emerson, Manitoba",Q312121
38,24787639,Texas Technological College Historic District,Q7708165
39,465479,John Langdon (politician),Q554454
40,383044,Galloway,Q2342092
41,35850781,"Mifflin, West Virginia",Q6843986
42,263356,Greenbush,Q413292
43,4363212,Rain tree,Q16878653
44,56478,North,Q659
45,34642596,Joplin School District,Q6276183
46,36919634,Richards Career Academy,Q7330284
47,91725,"Jackson County, Tennessee",Q490306
48,61291,Glendale,Q1530929
49,633813,Broadmoor,Q922650
0,25018477,Wachovia LPGA Classic,Q7958763
1,42196247,Secondary education in Italy,Q15938054
2,160463,Central business district,Q738570
3,9172963,Star Island,Q2332283
4,882593,Orange Grove,Q1777008
5,683077,Palos Verdes Peninsula,Q375070
6,58362,Arlington,Q224738
7,131405,"Spring Ridge, Pennsylvania",Q1186224
8,41781615,North Karachi Industrial Area,Q15983566
9,15475590,Leinkauf Historic District,Q6519968
10,105335,Los Altos,Q299298
11,244617,Claremont,Q294388
12,757662,List of Irish Victoria Cross recipients,Q6574533
13,49402170,Carlen,Q1043474
14,151160,"Mesquite, Texas",Q51696
15,1164908,Palm Island,Q453960
16,30356816,December 1969 nor'easter,Q5248946
17,108259,"Modesto, California",Q204561
18,115179,"Bellewood, Kentucky",Q2325869
19,621834,Northside,Q451980
20,1313378,Bellmont,Q816003
21,36626602,Minot Commercial Historic District,Q6869339
22,30549019,"Wycliffe, Modesto, California",Q8039603
23,251024,Downtown,Q1050303
24,41719505,List of communities served by Comcast,Q16988560
25,623022,Southside,Q413259
26,3127775,Llanfair,Q525641
27,4198100,Georgia Avenue,Q5547350
28,40294334,Long–Allen Bridge (Shreveport),Q15145071
29,15286562,Hibiscus Island,Q5750805
30,31428430,Pamona language,Q3513320
31,26509,Riverside,Q225614
32,43318889,Sylvan Esso (album),Q18164175
33,1537453,Disney's Port Orleans Resort,Q3030339
34,931319,Connetquot River State Park Preserve,Q5161790
35,416904,Maysville,Q401857
36,42574788,Rochon,Q16867772
37,338801,Bel Air,Q402486
38,8892887,Park Hill,Q410921
39,352418,Bolton,Q184579
40,366583,Hillsdale,Q403159
41,28739,Sherwood Forest,Q919191
42,6890521,B. D. Foxmoor,Q4833949
43,4501838,Park Place,Q7137920
44,97340,Nautilus,Q223939
45,38413346,Venetian Islands,Q7903522
46,44750,Driftwood,Q1541894
0,126575,"Diana, New York",Q3710112
1,27373127,California Oaks,Q5020722
2,27656292,Middlebush Brook (New Jersey),Q14705744
3,44345376,"Country Squire Lakes, Indiana",Q5790305
4,27455221,"Montgomery Heights, West Virginia",Q6905729
5,3950926,Garden District,Q3095428
6,1278191,Aaron Brooks (American football),Q2820027
7,18765262,Quality Hill,Q2122082
8,5357646,Maplebrook School,Q6754023
9,1542887,North Central College,Q7054728
10,7571485,Port Plaza Mall,Q7230867
11,31668730,South Pointe,Q7568253
12,7542990,List of homesteads in Western Australia: R,Q6623413
13,2432790,Missouri Route 161,Q2485430
14,18118227,Kainantu–Goroka languages,Q3217463
15,3287804,River Run Riot,Q7337779
16,2910684,Northeast Consortium,Q7057866
17,52302,Monticello,Q199618
18,866366,Woodmere,Q403317
19,212614,Rural area,Q175185
20,58366,Bridgewater,Q248282
21,251024,Downtown,Q1050303
22,4501838,Park Place,Q7137920
23,12219286,"List of neighbourhoods in Regina, Saskatchewan",Q6630366
24,6987911,Ulmus 'Morton Red Tip' Danada Charm,Q7879313
25,21092424,Povir,Q553777
26,1690448,Ailanthus altissima,Q159570
27,27089985,Tamarack Golf Club,Q7680865
28,259517,"Sturbridge, Massachusetts",Q3976365
29,56217,Poaceae,Q43238
30,1260381,Graham Yost,Q2712978
31,1312129,Deer Creek,Q127447
32,19456613,Old Alabama Town,Q7083373
33,31117916,New Highland Park,Q16956118
34,17313620,Palo Alto Unified School District,Q7128512
35,27030501,Tornadoes of 1992,Q7826032
36,1240251,West Virginia University Institute of Technology,Q7986928
37,10740865,Hidden Springs State Forest,Q5751911
38,61591,Farmington,Q239659
39,30178040,List of hill forts and ancient settlements in Somerset,Q6623228
40,18907535,"Taylorville, Alberta",Q7690274
41,594950,1885 in architecture,Q2744677
42,138383,"Pea Ridge, West Virginia",Q3316257
43,397796,University Heights,Q438723
44,250016,London Necropolis Company,Q6670617
45,810683,John W. Griffin (politician),Q16017411
46,107931,"Moreno Valley, California",Q494720
47,28894,Scottish Highlands,Q106652
48,11119381,Naperville Community Unit School District 203,Q6964850
0,4000472,Newmarket Line,Q4819592
1,539686,John Dixwell,Q6229525
2,5751545,Larchmont-Edgewater,Q6488795
3,161781,Covent Garden,Q55019
4,14858454,West Rock Ridge,Q3567443
5,28291170,Nelson Place West,Q6990691
6,7619640,Mill River,Q6858390
7,350445,DNC,Q1154645
8,1958694,Green Oaks,Q1544624
9,381679,West River,Q4479819
10,60669,Edgewood,Q253957
11,299174,Campbell,Q226474
12,1033634,The Peach Orchard,Q7756426
13,39113369,Beaverhill,Q16256369
14,11429569,Parkview,Q1389200
15,4978683,The Forest,Q7734772
16,42863253,2014–15 Exeter City F.C. season,Q16991944
17,372958,Glengarriff,Q1530993
18,10986735,JANAF,Q6107676
19,473833,Stony Brook,Q1040929
20,5751380,Ghent (Norfolk),Q5556226
21,67733,Chestnut,Q773987
22,1972503,"List of parks in Newport News, Virginia",Q6631984
23,1983780,Quinnipiac Meadows,Q7272311
24,251024,Downtown,Q1050303
25,45188075,Listed buildings in Burnley,Q19871722
26,149651,Marshall,Q217983
27,12564229,Kiln Creek,Q14712669
28,239469,Siege of Yorktown (1862),Q2551797
29,496682,Palisades Interstate Parkway,Q811519
30,536865,East Rock,Q770961
31,1429317,Calgary City Council,Q4145705
32,1312109,Dwight,Q355589
33,3862922,City of West Torrens,Q1813391
34,35199692,RAF Warwick,Q7275657
35,174721,Village green,Q57743
36,40920868,List of botanical gardens and arboretums in New Jersey,Q16191570
37,4319169,Prospect Hill,Q2113314
38,13104831,Lake Taylor High School,Q13527988
39,908575,Forrest,Q450872
40,1836234,Myrica,Q133287
41,1422989,Winter Haven,Q8026241
42,96203,"Mason County, Illinois",Q491343
43,1980871,"Fair Haven Heights, New Haven",Q5429822
44,144050,Deerfield,Q254056
45,152474,Baildon,Q2575062
46,1297962,Amity,Q347952
47,10334963,Turnberry,Q7855822
48,4303938,Warwick River,Q7971175
49,15760769,Courthouse Green,Q15211860
0,5130338,Fire Mountain,Q5451394
1,1357807,Interstate 264 (Virginia),Q2450201
2,15334002,New York State Route 323,Q2487592
3,14287223,Rancho Guajome Adobe,Q9066581
4,339183,Points of the compass,Q11114344
5,1453871,"Stow Hill, Newport",Q7620664
6,45535485,List of Farm to Market Roads in Texas (200–299),Q19868068
7,13955405,Woods,Q408487
8,2782745,"South West Rocks, New South Wales",Q2034312
9,5020033,Florida State Road 686,Q2433002
10,60660,Burbank,Q225676
11,684259,East Side,Q364587
12,24863388,El Infiernito,Q1987940
13,308709,Strawberry Hill,Q7622429
14,27493913,Mesa Grande Band of Diegueno Mission Indians,Q6821065
15,2618050,Hungarian rock,Q3437846
16,2854589,Broad River,Q921946
17,2845789,South Capitol Street,Q7566511
18,1523576,Mapleview,Q1423186
19,11086171,Bigelow Hollow State Park,Q4906808
20,661353,Tri-Cities,Q2452194
21,9726876,Upper Eastside,Q3552093
22,18842431,Lake,Q23397
23,69730,Wildwood,Q402416
24,884903,Conejo Valley,Q2555617
25,251024,Downtown,Q1050303
26,30272689,"Ocean View Hills, San Diego",Q7076110
27,3836652,The Green,Q7738109
28,44176665,Beulah Woodard,Q18357802
29,2516583,Mira Costa High School,Q6872198
30,314046,"Norwalk, Connecticut",Q54217
31,921935,Central Ontario,Q2945361
32,21487845,Molly Bee,Q293176
33,357309,Brookside,Q181321
34,109444,"Key Biscayne, Florida",Q1650594
35,446147,City centre,Q1468524
36,17463994,"Villa Heights, Roanoke, Virginia",Q17109876
37,3017928,Florida State Road 915,Q2433220
38,1842872,Don Valley (electoral district),Q3035928
39,686099,North Valley,Q7057094
40,2931766,"Brambleton, Virginia",Q659359
41,2324958,Pickwick,Q344920
42,334321,Goldcrest,Q26657
43,11908716,Bigelow Neighborhood,Q4906810
44,111656,"Holiday Hills, Illinois",Q1839702
45,4108517,Stonebridge,Q2351560
46,31555577,Skylake (microarchitecture),Q1058943
47,309549,Oceana,Q409620
48,16824480,West Main,Q7985830
0,3236960,Saint John River High Level Crossing,Q7401469
1,42687389,"List of neighborhoods in Orlando, Florida",Q16821456
2,228736,Lorna Doone,Q3400981
3,5068273,Bryn Mawr,Q995246
4,160463,Central business district,Q738570
5,109522,"Azalea Park, Florida",Q793493
6,106709,"Catalina Foothills, Arizona",Q1050250
7,50737534,"Ontario Ranch, California",
8,20574632,University of Florida International Center,Q7895422
9,1695575,The Block,Q7718623
10,14256964,Rose Isle,Q7367807
11,227922,Hibiscus,Q157124
12,25281813,"Lake Nona, Orlando, Florida",Q6477133
13,201755,Catalina,Q233692
14,2249678,Park Central,Q7137664
15,212614,Rural area,Q175185
16,949909,North Orange County Community College District,Q7056230
17,24414142,Regional League South Division,Q7309093
18,204504,Millennium,Q36507
19,6127440,Lake Eola Heights Historic District,Q6475762
20,2699860,Mercy Drive,Q6818729
21,1290755,Palomar,Q447023
22,294534,Piedmont Triad International Airport,Q847772
23,115423,"Georgetown, Kentucky",Q877247
24,808252,Baldwin Park,Q358617
25,317601,Clear Lake,Q350048
26,125183,"South Orange, New Jersey",Q656185
27,47008748,Pic Mobert South,Q21070955
28,43446035,Boggy Creek,Q17510874
29,30487257,Mennello Museum of American Art,Q7751017
30,17206477,KXAL-LP,Q6341042
31,1283679,Downtown Orlando,Q5303533
32,4680758,Edgewater High School,Q5337843
33,46228687,Winchendon Village Historic District,Q22073924
34,7966,Disco,Q58339
35,1352968,International Drive,Q1666510
36,36893849,Lake Terrace,Q6478011
0,1296609,Pinehurst,Q358549
1,5536993,Northwest Community College,Q7060002
2,84420,Westfield,Q248684
3,2792756,El Cerrito del Norte (BART station),Q5350999
4,259001,Walmer,Q2551894
5,2612512,Gradgrind,Q5591890
6,7169137,The Dovers,Q7730774
7,23789328,Foxhill,Q5477168
8,32484299,Good Neighbours,Q5582820
9,109198,"Brookridge, Florida",Q2423539
10,123217,"Overland, Missouri",Q962314
11,359285,Ventura,Q246162
12,26815255,Central Community College (Nebraska),Q5060624
13,19714897,Buena Vista (Miami),Q4985433
14,36799027,"Milburn, West Virginia",Q6850847
15,379397,List of hospitals in Kansas,Q6623607
16,6940439,William B. Strang Jr.,Q8004866
17,393585,Golf course,Q1048525
18,1923928,Cherry Hill Mall,Q5092388
19,2263756,Centro de Investigación y Docencia Económicas,Q1054347
20,9073985,Windhover,Q8024222
21,36900,Antioch,Q200441
22,858814,Maple Hill,Q20999913
23,8717978,Four Winds,Q5475620
24,310742,Southport,Q868647
25,5672700,"Colonia, Oxnard, California",Q5148196
26,109836,"Ormond Beach, Florida",Q985167
27,1040789,Crestview,Q353039
28,16483,John Wycliffe,Q173893
29,179560,Morning View,Q1955427
30,6712737,Rio Mesa High School,Q7335277
31,338801,Bel Air,Q402486
32,47535419,2004 Senior League World Series,Q20925254
33,154639,Congleton,Q1125738
34,13134928,Queens Community Board 8,Q7270749
35,108337,"Oxnard, California",Q209338
36,29241106,"Westbrooke Crescents, Alberta",Q7987184
37,101373,Spring Lake,Q402464
38,114655,"Overland Park, Kansas",Q500481
39,8279436,The Willows,Q7775012
40,246961,Southdale,Q7569261
41,7914173,Northeast Community,Q7057859
42,73930,Greed (film),Q690583
43,112348,"Kokomo, Indiana",Q913209
44,4172459,Martin West (colonial administrator),Q6776868
45,637145,Shawnee Mission School District,Q7491548
46,612133,Prairie View,Q411845
47,7524196,Oxnard Transit Center,Q501648
0,11171122,List of Presidents of the University of South Carolina,Q6594935
1,3526748,Southeast Community College,Q7569319
2,340721,Watkins Glen,Q411483
3,359285,Ventura,Q246162
4,425059,Ranch dressing,Q507816
5,736893,"Asia District, Oklahoma City",Q4806365
6,9553203,Gateway Community College,Q5527225
7,21883824,Arizona,Q816
8,57861,"Charleston, West Virginia",Q44564
9,3273148,Veer Narmad South Gujarat University,Q2773403
10,577292,Green Acres,Q3230693
11,25645662,Bode Gorge,Q889810
12,13952171,Sunset Station,Q7641354
13,447621,Las Vegas Strip,Q745608
14,77686,Wilson,Q217973
15,17256135,South wind (disambiguation),Q4009728
16,43199611,The Collection at RiverPark,Q18157210
17,6328113,G:link,Q10329246
18,16680797,List of U.S. Open (golf) champions,Q6600864
19,23311055,Palo Verde,Q7128533
20,308310,Midtown,Q418328
21,32837202,Marone family,Q6772316
22,769544,Southgate,Q349362
23,1809645,Teuscher,Q7707078
24,251024,Downtown,Q1050303
25,61024,"Charleston, South Carolina",Q47716
26,17476158,La mia poca grande età,Q3823116
27,26377919,Sequoioideae,Q149335
28,5992383,Aunque me Cueste la Vida,Q1248189
29,5600722,El Dorado Adventist School,Q5351168
30,42123626,List of ghost towns in Mississippi,Q16153335
31,8898545,Maryland Route 30,Q2305999
32,49389790,Julie Goldman (producer),
33,17313620,Palo Alto Unified School District,Q7128512
34,6877399,Ocean View Elementary School District,Q7076109
35,44114,Symphony,Q9734
36,10579212,Battle of Verrières Ridge,Q2890620
37,3185743,Town centre,Q7830048
38,107657,"Marina del Rey, California",Q988140
39,5767898,Catholic High School of Pointe Coupee,Q5053181
40,30657887,Paradise Road,Q7134352
41,3192812,Greenmeadow,Q5604318
42,5559770,History of New Mexico,Q5865632
43,2689823,Community centre,Q77115
44,7980134,Meadow Valley,Q6803290
45,27209159,East Central Tigers,Q16192126
46,2570758,Grevillea robusta,Q1989614
47,33850220,13th Youth in Film Awards,Q4549567
48,9489865,"Holy Trinity Church (Cincinnati, Ohio)",Q5886659
49,347764,Andrew Meikle,Q506301
0,4167775,Hickory Run State Park,Q5751301
1,3377197,Upper Peoria Lake,Q7333822
2,5902890,Garret Mountain Reservation,Q5523838
3,379344,List of hospitals in Alabama,Q6623530
4,132983,"Ancient Oaks, Pennsylvania",Q1132336
5,1319136,Crab Orchard,Q402115
6,4143197,Krachi West District,Q3199541
7,33247729,Manor,Q2116450
8,8686202,Stoney Road,Q7619423
9,34913414,Sandy Hill,Q2221459
10,12828009,Sedlec (Prague-East District),Q1240574
11,684259,East Side,Q364587
12,339183,Points of the compass,Q11114344
13,48832646,"Prospect Road, Adelaide",Q24185605
14,28129507,"List of landmarks in Riverside, California",Q6624914
15,3520905,"Hawthorne Hills, Seattle",Q5685611
16,915016,Oakbrook,Q341244
17,18908533,"Brookside Park/Arroyo Terrace, Pasadena, California",Q4975115
18,124850,"Sunset Hills, Missouri",Q956268
19,1576372,Warehouse district,Q7969286
20,621834,Northside,Q451980
21,594786,Mid central vowel,Q1154123
22,4384555,"Grande-Anse, New Brunswick",Q3114875
23,2760099,West Central,Q7984675
24,251024,Downtown,Q1050303
25,104697,Midwestern United States,Q186545
