,bbox,cessation,country_id,deprecated,file_hash,fullname,geom_hash,geom_latitude,geom_longitude,id,inception,iso,iso_country,lastmodified,lbl_latitude,lbl_longitude,locality_id,name,parent_id,path,placetype,region_id,source,superseded_by,supersedes,wof_country
7093,"0.0,0.0,0.0,0.0",uuuu,85632685.0,,03083f3ab9e474c5ed5eea94b8e19fe2,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102539071.0,uuuu,,,1452298063.0,0.0,0.0,0.0,Kolva East Airport,85688077.0,102/539/071/102539071.geojson,campus,85688077.0,missing,,,
7094,"0.0,0.0,0.0,0.0",uuuu,85632685.0,,dc03dd79bc7bb1a3865bb2c8881263af,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102539073.0,uuuu,,,1452298062.0,0.0,0.0,0.0,Kopana Airport,85688033.0,102/539/073/102539073.geojson,campus,85688033.0,missing,,,
7095,"0.0,0.0,0.0,0.0",uuuu,85632685.0,,27c4096a20df2e71ea7447e3b6daab73,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102539075.0,uuuu,,,1452298063.0,0.0,0.0,0.0,Komsomolsk Airport,85687937.0,102/539/075/102539075.geojson,campus,85687937.0,missing,,,
7096,"0.0,0.0,0.0,0.0",uuuu,85632685.0,,e1a8b8222454d567e8b95116c461d93b,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102539077.0,uuuu,,,1452298062.0,0.0,0.0,0.0,Kubanskiy North Airport,85688029.0,102/539/077/102539077.geojson,campus,85688029.0,missing,,,
7097,"0.0,0.0,0.0,0.0",uuuu,85632685.0,,a6db38b5d7adea304c15c5161ea4c7c0,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102539081.0,uuuu,,,1452298063.0,0.0,0.0,0.0,Krasnoye Airport,85688029.0,102/539/081/102539081.geojson,campus,85688029.0,missing,,,
7098,"0.0,0.0,0.0,0.0",uuuu,85632685.0,,58c3c35d15ba9aa576068f8685af69d9,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102539083.0,uuuu,,,1452298063.0,0.0,0.0,0.0,Kosistyy Airport,85688139.0,102/539/083/102539083.geojson,campus,85688139.0,missing,,,
7099,"0.0,0.0,0.0,0.0",uuuu,85632685.0,,c79e02165513f96a1d2dc1594a2cfa73,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102539085.0,uuuu,,,1452298062.0,0.0,0.0,0.0,Kondratyevo Airport,85688173.0,102/539/085/102539085.geojson,campus,85688173.0,missing,,,
7100,"0.0,0.0,0.0,0.0",uuuu,85632685.0,,589dc7f685e143d69f2c96f6770e43b6,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102539087.0,uuuu,,,1452298063.0,0.0,0.0,0.0,Kosh Agach Airport,85687949.0,102/539/087/102539087.geojson,campus,85687949.0,missing,,,
7101,"0.0,0.0,0.0,0.0",uuuu,85632685.0,,428fe3d5f074815584f30b396fc57f53,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102539089.0,uuuu,,,1452298062.0,0.0,0.0,0.0,Krasnyy Kut-Yeruslan Airport,85687995.0,102/539/089/102539089.geojson,campus,85687995.0,missing,,,
7102,"0.0,0.0,0.0,0.0",uuuu,85632685.0,,8924d25df874daf8601647d5203e9a7c,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102539091.0,uuuu,,,1452298062.0,0.0,0.0,0.0,Kular Southeast Airport,85687843.0,102/539/091/102539091.geojson,campus,85687843.0,missing,,,
