,bbox,cessation,country_id,deprecated,file_hash,fullname,geom_hash,geom_latitude,geom_longitude,id,inception,iso,iso_country,lastmodified,lbl_latitude,lbl_longitude,locality_id,name,parent_id,path,placetype,region_id,source,superseded_by,supersedes,wof_country
69034,"135.634460449,34.724841341,135.649953613,34.7441650859",uuuu,85632429.0,,0ff81540c8d75f5d87dbb3e7b26dd91c,,0699793378485484a474825da26def35,34.73452,135.641989,85917871.0,uuuu,JP,JP,1458858056.0,34.73484,135.639954,102031813.0,１丁目,102031813.0,859/178/71/85917871.geojson,neighbourhood,85672785.0,quattroshapes,,,JP
69035,"135.694885254,34.7474096065,135.721364746,34.7764351861",uuuu,85632429.0,,4f843326c835f8e09c912194b9afbc96,,52bac6e4b3ef9121da9995bbaaecd214,34.763364,135.707941,85917875.0,uuuu,JP,JP,1458858030.0,34.762804,135.706231,0.0,８丁目,-1.0,859/178/75/85917875.geojson,neighbourhood,85672777.0,quattroshapes,,,JP
69036,"135.67939209,34.7383830402,135.704799765,34.7764351861",uuuu,85632429.0,,0925e48b39507f7f96c7f5fea6316596,,7780ef43ce8fc6fcebcaa3e554b8faae,34.756852,135.690102,85917881.0,uuuu,JP,JP,1458858030.0,34.758204,135.689715,0.0,９丁目,-1.0,859/178/81/85917881.geojson,neighbourhood,85672785.0,quattroshapes,,,JP
69037,"135.651630562,34.7440247829,135.670552979,34.7640247829",uuuu,85632429.0,,f1e7e119534eeaed0879aa79decde13e,,37bf41331552fc4d9c7c9636630e2bbe,34.753902,135.661103,85917885.0,uuuu,JP,JP,1458858057.0,34.754025,135.660553,102032083.0,４丁目,102032083.0,859/178/85/85917885.geojson,neighbourhood,85672785.0,quattroshapes,,,JP
69038,"135.528225647,34.5078725833,135.555196533,34.5335300263",uuuu,85632429.0,,6d873ac4b3d66821bb60c92bd83a31b5,,5502c572f631035f2ab4ad52c2b34398,34.521097,135.541999,85917887.0,uuuu,JP,JP,1458858030.0,34.523399,135.544981,102031413.0,１丁目,102031413.0,859/178/87/85917887.geojson,neighbourhood,85672785.0,quattroshapes,,,JP
69039,"135.662912598,34.876918137,135.715871582,34.9071951388",uuuu,85632429.0,,0834f56c639cce5efab3801c0fdc2a39,,19b447fe4cf860483ea41508c0f69c95,34.890903,135.688636,85917889.0,uuuu,JP,JP,1458858030.0,34.892038,135.68133,0.0,１丁目,-1.0,859/178/89/85917889.geojson,neighbourhood,85672777.0,quattroshapes,,,JP
69040,"135.668425135,34.8990976748,135.686935769,34.9117003979",uuuu,85632429.0,,069c319f655c7910668bc46eefe4a4bd,,0dc7d3e45d707b7555b79acde0e4c634,34.90542,135.677427,85917891.0,uuuu,JP,JP,1458858030.0,34.901699,135.678406,0.0,５丁目,-1.0,859/178/91/85917891.geojson,neighbourhood,85672777.0,quattroshapes,,,JP
69041,"135.65192627,34.8646651368,135.675950056,34.8846651367",uuuu,85632429.0,,5858b73a045ff03fcfb8452a02a4d669,,6e400df69d63fc71b41dc2d58b9ec80d,34.874017,135.663345,85917893.0,uuuu,JP,JP,1458858050.0,34.874664,135.664673,102031347.0,３丁目,102031347.0,859/178/93/85917893.geojson,neighbourhood,85672785.0,quattroshapes,,,JP
69042,"135.366281738,34.5033463708,135.39718509,34.5278725833",uuuu,0.0,,cc2147e0af352389046446161f34c5ce,,70010d08751c06d599ceeedd9c198d07,34.516631,135.379969,85917895.0,uuuu,,,1458858030.0,34.514993,135.379776,0.0,３丁目,-1.0,859/178/95/85917895.geojson,neighbourhood,85672785.0,quattroshapes,,,
69043,"135.333322754,34.3946435403,135.353322754,34.4146435404",uuuu,85632429.0,,81e25d7c28d9b23aa41f55d6ad1be856,,a5aec2fd9303f78fcd57093efcabe17b,34.404644,135.343323,85917899.0,uuuu,JP,JP,1458858055.0,34.404644,135.343323,102031673.0,１丁目,102031673.0,859/178/99/85917899.geojson,neighbourhood,85672785.0,quattroshapes,,,JP
69044,"135.613474121,34.449012646,135.649953613,34.48712782",uuuu,85632429.0,,b9669645554dbc016d07db164d42f6da,,d07469101b78cae789dc1ce5a0b9706e,34.467769,135.632068,85917901.0,uuuu,JP,JP,1458858030.0,34.465554,135.627136,0.0,２丁目,-1.0,859/179/01/85917901.geojson,neighbourhood,85672785.0,quattroshapes,,,JP
69045,"135.274658203,34.6977512847,135.302124023,34.7212972991",uuuu,85632429.0,,30aa5ffed6c1e8142fa3dbe63e4ae3fc,,4ffbb2a5c887fa5ac16f93b4516613be,34.710172,135.289336,85917903.0,uuuu,JP,JP,1458858054.0,34.711965,135.294128,102031613.0,１丁目,102031613.0,859/179/03/85917903.geojson,neighbourhood,85672769.0,quattroshapes,,,JP
69046,"135.265490902,34.7173548479,135.284091504,34.739318044",uuuu,85632429.0,,5e10c83e2a4b0173ef94f21497294d3c,,bf75c475d6bcdff497806132bf75a160,34.72853,135.274689,85917905.0,uuuu,JP,JP,1458858054.0,34.727853,135.27597,102031613.0,１丁目,102031613.0,859/179/05/85917905.geojson,neighbourhood,85672769.0,quattroshapes,,,JP
